location	name
LUCA	Lefthand warrior monk
LUCA	Righthand warrior monk
LUCA	Woman in blue (Luca)
LUCA	Islander
LUCA	Mainlander blue sleeves, yellow middle. 
LUCA	Aurochs fan blue top, yellow sleeves. 
LUCA	Sailor with blue cap (S. S. Winno),
LUCA	Shirtless islander
LUCA	Second warrior monk - Dock 2
LUCA	Old Woman (Grandmother)
LUCA	Female Crusader by ferry - Dock 2
LUCA	Female Crusader on opposite side- Dock 2
LUCA	Seated Luca guard - square
LUCA	Female Crusader in Red (Luca)
LUCA	Female warrior monk patrolling square
LUCA	Larger man in green outside cafe
LUCA	Mother on bench
LUCA	Guado teenaged girl
LUCA	Little girl with balloon
LUCA	Merchant in pink
LUCA	Vendor in purple 
LUCA	Opportunistic woman in green
LUCA	Woman in green skirt by TV studio
LUCA	Woman in orange tunic (Luca)
LUCA	Vendor in green and brown
LUCA	Luca guard in brown
LUCA	Guy in red shorts
LUCA	Beaky guy in red
LUCA	Monk in Luca
LUCA	Nun in Luca
LUCA	Portly man with woman (mainland end)
LUCA	Female warrior monk (Sphere Theatre)
LUCA	Male warrior monk on stadium end of causeway
LUCA	Female warrior monk on stadium end of causeway
LUCA	Woman 1 conversing on bench near reporter
LUCA	Woman 2 conversing on bench near reporter
LUCA	Woman talking on mainland side of causeway
LUCA	Woman talking on stadium end of causeway
LUCA	Man in gold tunic on bench
LUCA	Man in yellow and green
LUCA	Mother in tan and orange
LUCA	Guard in front of Goers' locker room
LUCA	Beaky guy
LUCA	Goers Fan
LUCA	Little nun (Dock 4)
LUCA	Nun (Dock 4)
LUCA	Little Crusader near screen
LUCA	Female sailor in striped pants - Dock 4
LUCA	Roving Luca guard in brown
LUCA	Roving Luca guard in blue
LUCA	Man in yellow, blue and green
LUCA	Short nun
LUCA	Woman in white and blue
LUCA	Islander woman in halter top
LUCA	Blue-haired female Ronso
LUCA	White-haired female Ronso
LUCA	Stadium Guard in Gray
LUCA	Roving Luca guard - Dock 1
LUCA	Guy in green
LUCA	Guy in purple
LUCA	Righthand guard
LUCA	Lefthand guard
LUCA	Portly tourist
LUCA	Crusader in purple and white
LUCA	Female Crusader on bench (new, faded blue outfit)
LUCA	Crusader sitting on bench (new guy, green and gold)
AIRSHIP	Al Bhed Child (orange pants)
AIRSHIP	Al Bhed Woman (khaki with green cap)
AIRSHIP	Bearded engineer
AIRSHIP	Man in gas mask
AIRSHIP	Seated Al Bhed
AIRSHIP	Woman in bikini
AIRSHIP	Woman in leggings
AIRSHIP	Woman in striped skirt
AIRSHIP	Child
AIRSHIP	Blond Guy (Observation Deck)
AIRSHIP	Gas Mask Guy (Observation Deck)
AIRSHIP	Woman on right (khaki coat and green cap again)
AIRSHIP	Child on right
BEGINNING (BAAJ/UNDERWATER RUINS)	Al Bhed in blue cap
BEGINNING (BAAJ/UNDERWATER RUINS)	Bearded guy
BEGINNING (BAAJ/UNDERWATER RUINS)	Gas mask guy
MUSHROOM ROCK	Al Bhed in command center
MUSHROOM ROCK	Base Captain
MUSHROOM ROCK	Crusader Captain
MUSHROOM ROCK	Soldier1 
MUSHROOM ROCK	Soldier2
MUSHROOM ROCK	Artillery officer in yellow
MUSHROOM ROCK	Spiked-hair Al Bhed
MUSHROOM ROCK	Female Crusader in gray
MUSHROOM ROCK	Artillery Crusader (purple)
MUSHROOM ROCK	Crusader (red white blue) hammering stake
MUSHROOM ROCK	Crusader by command center
MUSHROOM ROCK	Crusader in green by checkpoint
MUSHROOM ROCK	Short Crusader in purple and green
MUSHROOM ROCK	Crusader in need of pants
MUSHROOM ROCK	Gate captain
MUSHROOM ROCK	Gate guard (red, white, blue)
MUSHROOM ROCK	Robed Guado at s. end of Mushroom Rock Road
MUSHROOM ROCK	Warrior monk just s. of Mushroom Rock Road
MUSHROOM ROCK	Wounded Crusader in green - now Crusader in Green
MUSHROOM ROCK	Wounded Female Crusader
MUSHROOM ROCK	Crusader blocking path south
MUSHROOM ROCK	Wounded Crusader (RWB)
MUSHROOM ROCK	Man in blue vest by Al Bhed wreckage
MUSHROOM ROCK	Monk on beach
MUSHROOM ROCK	Crusader in purple (fork)
MUSHROOM ROCK	Crusader in yellow and purple (fork),
MUSHROOM ROCK	Crusader in green (fork)
MUSHROOM ROCK	Crusader in yellow and green (fork)
MUSHROOM ROCK	Crusader by water-lift
MUSHROOM ROCK	Warrior monk (orange) on lift to Command Center
MI'IHEN HIGHROAD	Hypello
MI'IHEN HIGHROAD	Barechested man in shorts
MI'IHEN HIGHROAD	Man in blue vest on new Mi'ihen Highroad
MI'IHEN HIGHROAD	Old man in blue pants
MI'IHEN HIGHROAD	Rental agent
MI'IHEN HIGHROAD	Warrior monk in gold
MI'IHEN HIGHROAD	Crusader in RWB (Mi'ihen)
MI'IHEN HIGHROAD	Crusader in green (Mi'ihen)
MI'IHEN HIGHROAD	Crusader in purple and green (Mi'ihen)
MI'IHEN HIGHROAD	Man in blue vest (Mi'ihen South)
MI'IHEN HIGHROAD	Man in blue vest (Mi'ihen Central)
MI'IHEN HIGHROAD	Al Bhed woman in bikini
MI'IHEN HIGHROAD	Al Bhed woman in leggins (Mi'ihen)
MI'IHEN HIGHROAD	Monk (Mi'ihen)
MI'IHEN HIGHROAD	Man in green and purple looking at child
MI'IHEN HIGHROAD	Crusader hiding behind bushes
MI'IHEN HIGHROAD	Woman near Rin's billboard
MI'IHEN HIGHROAD	Al Bhed child (rust pants)
MI'IHEN HIGHROAD	Al Bhed child (blue pants)
MI'IHEN HIGHROAD	Al Bhed child kneeling
MI'IHEN HIGHROAD	Woman in tan and orange (Mi'ihen)
MI'IHEN HIGHROAD	Man in white and blue (Mi'ihen)
MI'IHEN HIGHROAD	Spikey-haired Al Bhed
MI'IHEN HIGHROAD	Bearded Al Bhed
MI'IHEN HIGHROAD	Crusader in purple (Mushroom Rock)
MI'IHEN HIGHROAD	Uncertain Crusader in purple - south
MI'IHEN HIGHROAD	Peaceful Crusader in purple - travel agency
MI'IHEN HIGHROAD	Man in green and brown approaches Tidus
MI'IHEN HIGHROAD	Al Bhed in bikini - agency behind counter. 
MI'IHEN HIGHROAD	Crusader in gold and rust
MI'IHEN HIGHROAD	Gate captain
MI'IHEN HIGHROAD	Crusader by empty cages
MI'IHEN HIGHROAD	Woman in blue near Mushroom Rock Gate
MI'IHEN HIGHROAD	First little Crusader
MI'IHEN HIGHROAD	Second little Crusader (in blue)
MI'IHEN HIGHROAD	Gate guard in yellow and green,
MI'IHEN HIGHROAD	Warrior monk at north gate of Mi'ihen Highroad
MI'IHEN HIGHROAD	Gate Guard (RWB)
MI'IHEN HIGHROAD	Little Crusader
MI'IHEN HIGHROAD	Green and gold Crusader
MI'IHEN HIGHROAD	Nun at south end of Highroad
MI'IHEN HIGHROAD	Old woman (Mi'ihen)
MI'IHEN HIGHROAD	Warrior monk officer (orange and red) on ocean overlook
MI'IHEN HIGHROAD	Warrior monk officer (gold) near Chocobo rental agent
MI'IHEN HIGHROAD	Red, white and blue Crusader
MI'IHEN HIGHROAD	Man in green and brown at south end of Mi'ihen Highroad
MI'IHEN HIGHROAD	Man in green shirt and brown overalls
MI'IHEN HIGHROAD	Man in gold tunic
MI'IHEN HIGHROAD	Man in yellow and blue (Mi'ihen)
MI'IHEN HIGHROAD	Man standing in ruins of hollow tower
MI'IHEN HIGHROAD	Portly man beside statue
MI'IHEN HIGHROAD	Female Crusader in blue on bridge
MI'IHEN HIGHROAD	Teenaged girl in halter top
MI'IHEN HIGHROAD	Woman in blue and yellow at railing
MI'IHEN HIGHROAD	Woman in purple apron
MI'IHEN HIGHROAD	Worried man in green and brown
MI'IHEN HIGHROAD	Crusader on steps into Luca
MI'IHEN HIGHROAD	Crusader patrolling on the balcony
MI'IHEN HIGHROAD	Pacing warrior monk
CALM LANDS	Boy in dark red
CALM LANDS	Husband in gold tunic
CALM LANDS	Chocobo Rider
CALM LANDS	Hover driver
CALM LANDS	Man on guard in brown coat
CALM LANDS	Messenger from Cid
CALM LANDS	Wife in tan and orange
CALM LANDS	Crusader in red,white,blue
CALM LANDS	Second Guado
CALM LANDS	First Guado
CALM LANDS	Crusader practicing sword moves
CALM LANDS	Female Crusader in green and gold
CALM LANDS	Crusader in green and gold (The Scar)
GUADOSALAM	Boy in red
GUADOSALAM	Old man in purple
GUADOSALAM	Grieving man in white and blue
GUADOSALAM	Grieving Mother
GUADOSALAM	Father
GUADOSALAM	Grieving Woman
GUADOSALAM	Guado barring entry to upper story of Seymour's mansion
GUADOSALAM	Guado youth in Fusty Elders' hut
GUADOSALAM	Elderly Guado Man
GUADOSALAM	Elderly Guado Woman
GUADOSALAM	Redheaded girl in purple in Glories' house
GUADOSALAM	Hooded woman in shop
GUADOSALAM	Shopkeeper
GUADOSALAM	Guado woman in purple
GUADOSALAM	Guado Innkeeper
GUADOSALAM	Guado barring Thunder Plains exit
GUADOSALAM	Farplane Custodian
GUADOSALAM	Guard on Lord Seymour's Mansion
GUADOSALAM	Woman in brown with Giera
GUADOSALAM	Man in brown talking to Giera
GUADOSALAM	Flaky youth in green
SS LIKI	Woman w/red headband
SS LIKI	Girl in red shorts
SS LIKI	boy with the green headband
SS LIKI	Helmsman (S. S. Liki)
SS LIKI	Old man leaning on railing up front
SS LIKI	Young woman in blue up front
SS LIKI	Sailor with binoculars
SS LIKI	Engineer
SS LIKI	Disgruntled passenger on top deck
SS LIKI	Dog man
SS LIKI	Young woman up front
SS LIKI	Guy in shorts with the hopper-monkey
SS LIKI	1st harpooner
SS LIKI	2nd harpooner
SS LIKI	Female sailor beside gangway
SS WINNO	Helmsman (S. S. Winno)
SS WINNO	Sailor in blue (S. S. Winno)
SS WINNO	Dog man (also on Liki)
SS WINNO	Sailor in white pants slumped nearby
SS WINNO	Queasy man leaning against main cabin
SS WINNO	Man with head in her lap
SS WINNO	Bird-counting person on top deck
SS WINNO	Woman sitting on rear deck
SS WINNO	Young woman in halter-top at railing,
SS WINNO	Sailor in blue slumped against mast
DJOSE	Crusader in green (Djose Highroad)
DJOSE	Short Crusader in purple and green
DJOSE	Crusader in purple/white
DJOSE	Crusader captain
DJOSE	Guado guard
DJOSE	Green Crusader with wound
DJOSE	Female Crusader accompanying friend
DJOSE	Crusader in red, white and blue lying beside road
DJOSE	Crusader in green guarding Djose Temple
DJOSE	Crusader in purple (Djose Bridge)
DJOSE	Monk in orange
DJOSE	Monk (Djose Bridge)
DJOSE	Guado woman in brown
DJOSE	Monk (Djose Temple)
DJOSE	Seated monk in righthand chamber
DJOSE	Young Crusader with red hat
DJOSE	Old monk in red in Djose Temple Great Hall
DJOSE	Nun in lefthand chamber,
DJOSE	Crusader standing by bed of another (unresponsive)
DJOSE	Crusader (R/W/B),
DJOSE	Crusader (purple/white)
DJOSE	Slumped Crusader
DJOSE	Monk at door to Cloister of Trials
DJOSE	Djose Innkeeper
DJOSE	Monk at inner door
MOONFLOW	Green Crusader with wound
MOONFLOW	Hefty merchant in blue vest
MOONFLOW	Hypello behind shoopuf
MOONFLOW	Man in green and white outside pavillion
MOONFLOW	Merchant in pavillion
MOONFLOW	Old man on loading platform
MOONFLOW	Warrior monk (south wharf)
MOONFLOW	Female Crusader accompanying friend
MOONFLOW	Merchant woman in green smock
MOONFLOW	Woman in purple by loading platform
MOONFLOW	Woman in pavillion (Looks like Shuu)
MOONFLOW	Crusader in RWB (Moonflow)
MOONFLOW	Woman with red headband
MOONFLOW	Husband in white and blue by loading platform
MOONFLOW	Man in purple and gold in pavillion
MOONFLOW	Old Man by shoopuf,
MOONFLOW	Old man in pavillion
MOONFLOW	Warrior monk (north wharf)
MOONFLOW	Hooded guado woman near pavillion
MOONFLOW	Old woman in pavillion
MOONFLOW	Female Guado by park bench on Guadosalam side
MOONFLOW	Wife in green skirt by loading platform
MOONFLOW	Woman in green skirt in pavillion
MOONFLOW	Woman in gold and tan by loading platform
MOONFLOW	Guard by park bench
MOONFLOW	Older Guado woman
BIKANEL	Gas mask guy (Bikanel)
BIKANEL	Al Bhed woman in bumblebee-striped robe
BIKANEL	Blond Spikey-hair
MACALANIA	Guado in woods
MACALANIA	Guado youth in green robe
MACALANIA	Grandma Guado
MACALANIA	Borra
MACALANIA	Guado outside Macalania Temple
MACALANIA	Monk at the door
MACALANIA	Man in brown and green 
MACALANIA	Monk on stairs (Macalania)
MACALANIA	Old monk in purple
MACALANIA	Little Nun
MACALANIA	Nun in green
MACALANIA	Woman in winter clothes
MACALANIA	Guard in Monks' Chamber
MACALANIA	Nun in purple
MACALANIA	Macalania Old Woman
MACALANIA	Another frog drummer
MACALANIA	Another horn-player,
MACALANIA	Another pompous harpist,
MACALANIA	Drumming frog musician
MACALANIA	Honking cat musician
MACALANIA	Pompous bird musician
MACALANIA	Warrior monk (Bevelle Crossroads)
MACALANIA	Woman (Shuu clone) just east of him
MACALANIA	Al Bhed woman with leggings
MACALANIA	Macalania Innkeeper
MACALANIA	Seated woman
MACALANIA	Woman in winter clothes in the Agency
MACALANIA	Al Bhed child by fire
MACALANIA	Al Bhed Child running around
MACALANIA	Wrapped-up monk in Agency
OG ZANARKAND	Guy in Spiderman jacket 
OG ZANARKAND	Guy in yellow pants
OG ZANARKAND	Kid w/bandana
OG ZANARKAND	man in yellow pants
OG ZANARKAND	Man sitting in roadway
OG ZANARKAND	Man with Spiderman jacket
OG ZANARKAND	Skate rat
OG ZANARKAND	Another redhead
OG ZANARKAND	Another woman in long skirt
OG ZANARKAND	Woman in pink top
OG ZANARKAND	Redhead
OG ZANARKAND	Girl running from person to person
OG ZANARKAND	Redheaded woman
OG ZANARKAND	another kid
OG ZANARKAND	Woman clasping hands
OG ZANARKAND	Woman in long skirt
OG ZANARKAND	Woman w/nerdy specs
OG ZANARKAND	Kid in Abes T-shirt
OG ZANARKAND	Kid w/dreads
DREAM SEQUENCE	Man in uniform
MT GAGAZET	Merchant Ronso
MT GAGAZET	Ronso in red
MT GAGAZET	Old Ronso in red kilt by save sphere
MT GAGAZET	Ronso boy
MT GAGAZET	Female Ronso in red
MT GAGAZET	Female Ronso in yellow
MT GAGAZET	Ronso woman in purple robe
THUNDER PLAINS	Warrior monk (Thunder Plains)
ZANARKAND RUINS	Seymour's Mother
ZANARKAND SPHERE	Background PA broadcast
BEVELLE	Warrior monk (Highbridge) 
