Conversation,Owner,File
cat002_bridge_crossing_b_dlg,no_owner,BIOD_CAT002_200BRIDGE
cat002_bridge_crossing_b_dlg,no_owner,BIOD_CAT002_200BRIDGE
cat002_bridge_crossing_b_dlg,no_owner,BIOD_CAT002_200BRIDGE
cat002_beforebridge_asari_a_dlg,cat002_soldier,BIOD_CAT002_100INTRO
cat002_shuttle_exit_b_dlg,no_owner,BIOD_CAT002_100INTRO
cat002_beforebridge_asari_a_dlg,cat002_soldier,BIOD_CAT002_100INTRO
cat002_beforebridge_asari_a_dlg,cat002_soldier,BIOD_CAT002_100INTRO
cat002_beforebridge_asari_a_dlg,cat002_soldier,BIOD_CAT002_100INTRO
cat002_beforebridge_asari_a_dlg,cat002_soldier,BIOD_CAT002_100INTRO
cat002_soldier_m_dlg,cat002_soldier,BIOD_CAT002_100INTRO
cat002_asari_encounters_b_dlg,no_owner,BIOD_CAT002_215CHEAPHARV
cat002_asari_encounters_b_dlg,no_owner,BIOD_CAT002_215CHEAPHARV
cat002_combat_b_dlg,no_owner,BIOD_CAT002_300DOWNBUILDING
cat002_combat_b_dlg,no_owner,BIOD_CAT002_300DOWNBUILDING
cat002_combat_b_dlg,no_owner,BIOD_CAT002_300DOWNBUILDING
cat002_broken_elevator_b_dlg,no_owner,BIOD_CAT002_300DOWNBUILDING
cat002_combat_b_dlg,no_owner,BIOD_CAT002_300DOWNBUILDING
cat002_banshee_b_dlg,no_owner,BIOD_CAT002_280BANSHEE
cat002_combat_b_dlg,no_owner,BIOD_CAT002_250COURTYARD
cat002_combat_b_dlg,no_owner,BIOD_CAT002_250COURTYARD
cat002_combat_b_dlg,no_owner,BIOD_CAT002_250COURTYARD
cat002_combat_b_dlg,hench_liara,BIOD_CAT002_250COURTYARD
cat002_combat_b_dlg,no_owner,BIOD_CAT002_250COURTYARD
cat002_combat_b_dlg,no_owner,BIOD_CAT002_250COURTYARD
cat002_view_b_dlg,hench_liara,BIOD_CAT002_485HILLPATH
cat002_view_b_dlg,hench_liara,BIOD_CAT002_485HILLPATH
cat002_asari_help_a_dlg,cat002_asari_soldier02,BIOD_CAT002_400STALINGRAD
cat002_sniper_interrupted_a_dlg,cat002_asari_soldier02,BIOD_CAT002_400STALINGRAD
cat002_asari_help_a_dlg,cat002_asari_soldier02,BIOD_CAT002_400STALINGRAD
cat002_combat2_b_dlg,no_owner,BIOD_CAT002_400STALINGRAD
cat002_combat2_b_dlg,no_owner,BIOD_CAT002_400STALINGRAD
cat002_combat2_b_dlg,no_owner,BIOD_CAT002_400STALINGRAD
cat002_asari_help_a_dlg,cat002_asari_soldier02,BIOD_CAT002_400STALINGRAD
cat002_asari_help_a_dlg,cat002_asari_soldier02,BIOD_CAT002_400STALINGRAD
cat002_reaper_b_dlg,no_owner,BIOD_CAT002_400STALINGRAD
cat002_reaper_b_dlg,no_owner,BIOD_CAT002_400STALINGRAD
cat002_combat2_b_dlg,no_owner,BIOD_CAT002_400STALINGRAD
cat002_asari_encounters_b_dlg,no_owner,BIOD_CAT002_400STALINGRAD
cat002_combat_b_dlg,no_owner,BIOD_CAT002_400STALINGRAD
cat002_combat2_b_dlg,no_owner,BIOD_CAT002_400STALINGRAD
cat002_asari_support_m_dlg,cat002_asari_soldier3,BIOD_CAT002_490HILLCONVO
cat002_air_support_a_dlg,cat002_asari_pilot9,BIOD_CAT002_500CATHEDRAL
cat002_combat2_b_dlg,no_owner,BIOD_CAT002_500CATHEDRAL
cat002_combat2_b_dlg,no_owner,BIOD_CAT002_500CATHEDRAL
cat002_combat2_b_dlg,no_owner,BIOD_CAT002_500CATHEDRAL
cat002_combat2_b_dlg,no_owner,BIOD_CAT002_500CATHEDRAL
cat002_combat2_b_dlg,no_owner,BIOD_CAT002_500CATHEDRAL
cat002_air_support_a_dlg,cat002_asari_pilot9,BIOD_CAT002_500CATHEDRAL
cat002_air_support_a_dlg,cat002_asari_pilot9,BIOD_CAT002_500CATHEDRAL
cat002_air_support_a_dlg,cat002_asari_pilot9,BIOD_CAT002_500CATHEDRAL
cat002_air_support_a_dlg,cat002_asari_pilot9,BIOD_CAT002_500CATHEDRAL
cat002_air_support_a_dlg,cat002_asari_pilot9,BIOD_CAT002_500CATHEDRAL
cat002_air_support_a_dlg,cat002_asari_pilot9,BIOD_CAT002_500CATHEDRAL
cat002_combat2_b_dlg,no_owner,BIOD_CAT002_500CATHEDRAL
cat002_air_support_a_dlg,cat002_asari_pilot9,BIOD_CAT002_500CATHEDRAL
cat002_air_support_a_dlg,cat002_asari_pilot9,BIOD_CAT002_500CATHEDRAL
cat002_air_support_a_dlg,cat002_asari_pilot9,BIOD_CAT002_500CATHEDRAL
cat002_combat2_b_dlg,no_owner,BIOD_CAT002_500CATHEDRAL
cat002_combat2_b_dlg,no_owner,BIOD_CAT002_500CATHEDRAL
cat002_air_support_a_dlg,cat002_asari_pilot9,BIOD_CAT002_500CATHEDRAL
cat002_air_support_a_dlg,cat002_asari_pilot9,BIOD_CAT002_500CATHEDRAL
cat002_air_support_a_dlg,cat002_asari_pilot9,BIOD_CAT002_500CATHEDRAL
cat002_air_support_a_dlg,cat002_asari_pilot9,BIOD_CAT002_500CATHEDRAL
cat002_air_support_a_dlg,cat002_asari_pilot9,BIOD_CAT002_500CATHEDRAL
cat002_outside_monastery_b_dlg,hench_liara,BIOD_CAT002_590LOCKDOOR
cat002_outside_monastery_b_dlg,hench_liara,BIOD_CAT002_590LOCKDOOR
cat002_outside_monastery_b_dlg,hench_liara,BIOD_CAT002_590LOCKDOOR
cat002_outside_monastery_b_dlg,hench_liara,BIOD_CAT002_590LOCKDOOR
cat002_outside_monastery_b_dlg,hench_liara,BIOD_CAT002_590LOCKDOOR
cat002_dead_scientists_b_dlg,no_owner,BIOD_CAT002_600ARCHIVE
cat002_enter_building_m_dlg,hench_liara,BIOD_CAT002_600ARCHIVE
cat002_inside_monastery_b_dlg,no_owner,BIOD_CAT002_600ARCHIVE
cat002_monastery_objects_b_dlg,no_owner,BIOD_CAT002_600ARCHIVE
cat002_monastery_objects_b_dlg,hench_liara,BIOD_CAT002_600ARCHIVE
cat002_monastery_objects_b_dlg,no_owner,BIOD_CAT002_600ARCHIVE
cat002_monastery_objects_b_dlg,no_owner,BIOD_CAT002_600ARCHIVE
cat002_connection_fake_a_dlg,no_owner,BIOD_CAT002_600ARCHIVE
cat002_connection_fake_a_dlg,no_owner,BIOD_CAT002_600ARCHIVE
cat002_monastery_objects_b_dlg,hench_liara,BIOD_CAT002_600ARCHIVE
cat002_monastery_objects_b_dlg,hench_liara,BIOD_CAT002_600ARCHIVE
cat002_connection_fake_a_dlg,no_owner,BIOD_CAT002_600ARCHIVE
cat002_monastery_objects_b_dlg,no_owner,BIOD_CAT002_600ARCHIVE
cat002_connection_scenes_m_dlg,hench_liara,BIOD_CAT002_600ARCHIVE
cat002_connection_scenes_m_dlg,hench_liara,BIOD_CAT002_600ARCHIVE
cat002_connection_fake_a_dlg,no_owner,BIOD_CAT002_600ARCHIVE
cat002_inside_monastery_b_dlg,no_owner,BIOD_CAT002_600ARCHIVE
cat002_monastery_objects_b_dlg,no_owner,BIOD_CAT002_600ARCHIVE
cat002_monastery_objects_b_dlg,no_owner,BIOD_CAT002_600ARCHIVE
cat002_monastery_objects_b_dlg,no_owner,BIOD_CAT002_600ARCHIVE
cat002_connection_scenes_m_dlg,hench_liara,BIOD_CAT002_600ARCHIVE
cat002_connection_fake_a_dlg,no_owner,BIOD_CAT002_600ARCHIVE
cat002_connection_fake_a_dlg,no_owner,BIOD_CAT002_600ARCHIVE
cat002_inside_monastery_b_dlg,no_owner,BIOD_CAT002_600ARCHIVE
cat002_inside_monastery_b_dlg,no_owner,BIOD_CAT002_600ARCHIVE
cat002_inside_monastery_b_dlg,no_owner,BIOD_CAT002_600ARCHIVE
cat002_endfight_kaileng_a_dlg,Not found,BIOD_CAT002_600KLFIGHT
cat002_endfight_kaileng_a_dlg,Not found,BIOD_CAT002_600KLFIGHT
cat002_endfight_kaileng_a_dlg,Not found,BIOD_CAT002_600KLFIGHT
cat002_endfight_banter_b_dlg,no_owner,BIOD_CAT002_600KLFIGHT
cat002_endfight_kaileng_a_dlg,Not found,BIOD_CAT002_600KLFIGHT
cat002_endfight_pilot_a_dlg,cat002_radio_cerberus_pilot,BIOD_CAT002_600KLFIGHT
cat002_endfight_banter_b_dlg,no_owner,BIOD_CAT002_600KLFIGHT
cat002_endfight_kaileng_a_dlg,Not found,BIOD_CAT002_600KLFIGHT
cat002_endfight_kaileng_a_dlg,Not found,BIOD_CAT002_600KLFIGHT
cat002_endfight_banter_b_dlg,no_owner,BIOD_CAT002_600KLFIGHT
cat002_endfight_banter_b_dlg,no_owner,BIOD_CAT002_600KLFIGHT
cat002_endfight_kaileng_a_dlg,Not found,BIOD_CAT002_600KLFIGHT
cat002_endfight_kaileng_a_dlg,Not found,BIOD_CAT002_600KLFIGHT
cat002_endfight_kaileng_a_dlg,Not found,BIOD_CAT002_600KLFIGHT
cat002_confrontation_m_dlg,global_kaileng,BIOD_CAT002_610KLCONVO
cat002_activate_beacon_m_dlg,global_prothean_vi,BIOD_CAT002_610KLCONVO
cat003_nor_warning_v_dlg,no_owner,BIOD_CAT003_000LEVELTRANS
cat003_dock_exitshuttle_a_dlg,no_owner,BIOD_CAT003_080INTROCUTSCENE
cat003_csec_thane_a_dlg,radio_thane,BIOD_CAT003_180DOCKSCOP
cat003_dock_bailey_m_dlg,global_bailey,BIOD_CAT003_180DOCKSCOP
cat003_csec_baileylogin_d_dlg,global_bailey,BIOD_CAT003_180DOCKSCOP
cat003_dock_baileyintro_a_dlg,Not found,BIOD_CAT003_150DOCKSCOMBAT
cat003_csec_bamb2_a_dlg,no_owner,BIOD_CAT003_230CSECLIFT
global_door_access_denied_a_dlg,global_door,BIOD_CAT003_310DESKSVISUAL
cat003_csec_hench_b_dlg,Not found,BIOD_CAT003_310DESKSVISUAL
cat003_csec_cafeteria_b_dlg,no_owner,BIOD_CAT003_310DESKSVISUAL
cat003_csec_bodies_a_dlg,no_owner,BIOD_CAT003_250LOBBYCOMBAT
cat003_csec_lobby_a_dlg,radio_bailey,BIOD_CAT003_250LOBBYCOMBAT
cat003_csec_lockers_a_dlg,no_owner,BIOD_CAT003_260LOCKERSCOMBAT
cat003_csec_washroom_a_dlg,no_owner,BIOD_CAT003_260LOCKERSCOMBAT
cat003_csec_hench_b_dlg,Not found,BIOD_CAT003_330CELLSVISUAL
cat003_csec_executorroom_m_dlg,no_owner,BIOD_CAT003_380DESKSCONVOS
cat003_csec_escape_m_dlg,no_owner,BIOD_CAT003_380DESKSCONVOS
cat003_csec_kaileng_m_dlg,no_owner,BIOD_CAT003_380DESKSCONVOS
cat003_pursuit_splitup_a_dlg,radio_bailey,BIOD_CAT003_550BALCONYCOMBAT
cat003_pursuit_hench_b_dlg,no_owner,BIOD_CAT003_550BALCONYCOMBAT
cat003_pursuit_blocked_a_dlg,no_owner,BIOD_CAT003_550BALCONYCOMBAT
cat003_elev_jumpprompt_a_dlg,no_owner,BIOD_CAT003_620FIRSTCAR
cat003_elev_jump_a_dlg,radio_bailey,BIOD_CAT003_620FIRSTCAR
cat003_elev_kaicelebrate_a_dlg,radio_bailey,BIOD_CAT003_620FIRSTCAR
cat003_elev_overload_a_dlg,radio_bailey,BIOD_CAT003_620FIRSTCAR
cat003_elev_kaishoot_a_dlg,radio_bailey,BIOD_CAT003_620FIRSTCAR
cat003_elev_celebrate_a_dlg,no_owner,BIOD_CAT003_620FIRSTCAR
cat003_elev_ambs2_a_dlg,radio_bailey,BIOD_CAT003_620FIRSTCAR
cat003_elev_2ndattack_a_dlg,no_owner,BIOD_CAT003_620FIRSTCAR
cat003_elev_ambs_a_dlg,radio_bailey,BIOD_CAT003_620FIRSTCAR
cat003_elev_kaireturns_a_dlg,radio_bailey,BIOD_CAT003_620FIRSTCAR
cat003_elev_kaiupdate_a_dlg,radio_bailey,BIOD_CAT003_620FIRSTCAR
cat003_elev_reminder_a_dlg,radio_bailey,BIOD_CAT003_620FIRSTCAR
cat003_pursuit_postatlas_a_dlg,radio_bailey,BIOD_CAT003_580BALCONYREAR
cat003_pursuit_preatlas_a_dlg,radio_bailey,BIOD_CAT003_580BALCONYREAR
cat003_showd_council_m_dlg,no_owner,BIOD_CAT003_780FINALCONVOS
cat003_showd_showdown_m_dlg,no_owner,BIOD_CAT003_780FINALCONVOS
cat003_elev_escape_c_dlg,no_owner,BIOD_CAT003_780FINALCONVOS
cat003_kaileng_wrapup_v_dlg,global_illusive_man,BIOD_CAT003_800WRAPUP
cat004_premech_log_edi_d_dlg,global_illusive_man,BIOD_CAT004_025LOGSCONV_EDI
cat004_premech_log_kleng_d_dlg,global_illusive_man,BIOD_CAT004_025LOGSCONV_KL
cat004_premech_log_laz_d_dlg,global_illusive_man,BIOD_CAT004_025LOGSCONV_LAZ
cat004_premech_log_im_d_dlg,global_illusive_man,BIOD_CAT004_025LOGSCONV_TIM
cat004_hangar_needout_b_dlg,hench_edi,BIOD_CAT004_100HANGARBAY
cat004_hangar_ventwarn_a_dlg,cat004_cerb_pa,BIOD_CAT004_100HANGARBAY
cat004_hangar_doorcontrol_b_dlg,hench_edi,BIOD_CAT004_100HANGARBAY
cat004_hangar_shoottubes_b_dlg,hench_edi,BIOD_CAT004_100HANGARBAY
cat004_premech_firstdoor_m_dlg,hench_edi,BIOD_CAT004_150HANGARCONV
cat004_hangar_fighterup_b_dlg,hench_edi,BIOD_CAT004_150HANGARCONV
cat004_hangar_boom_b_dlg,hench_edi,BIOD_CAT004_150HANGARCONV
cat004_premech_report1_a_dlg,global_hackett,BIOD_CAT004_200DESTROOMA
cat004_shuttle_pilot_a_dlg,radio_shuttle_pilot,BIOD_CAT004_125HANGARBAY
cat004_hangar_postmechs_b_dlg,hench_edi,BIOD_CAT004_125HANGARBAY
cat004_hangar_mechs_b_dlg,hench_edi,BIOD_CAT004_125HANGARBAY
cat004_hangar_shipwarn_b_dlg,hench_edi,BIOD_CAT004_125HANGARBAY
cat004_hangar_nextwave_b_dlg,hench_edi,BIOD_CAT004_125HANGARBAY
cat004_hangar_cerb_pa_a_dlg,cat004_cerb_pa,BIOD_CAT004_125HANGARBAY
cat004_premech_banter1_b_dlg,hench_edi,BIOD_CAT004_225DESTROOMA
cat004_premech_banter3_b_dlg,hench_edi,BIOD_CAT004_300DESTROOMB
cat004_mech_report1_a_dlg,global_hackett,BIOD_CAT004_300DESTROOMB
cat004_gotjack_a_dlg,global_jack,BIOD_CAT004_300DESTROOMB
cat004_core_banter3_b_dlg,hench_edi,BIOD_CAT004_600PROTOREAPER
cat004_eng_fight_banter_b_dlg,Not found,BIOD_CAT004_325DESTROOMB
cat004_core_reaper_p_dlg,hench_edi,BIOD_CAT004_650REAPERCONV
cat004_core_banter1_b_dlg,hench_edi,BIOD_CAT004_625PROTOREAPER
cat004_core_fight_banter_b_dlg,Not found,BIOD_CAT004_625PROTOREAPER
cat004_core_conclude_m_dlg,global_prothean_vi2,BIOD_CAT004_750TIMCONV
cat004_core_confront_m_dlg,global_illusive_man,BIOD_CAT004_750TIMCONV
cerjcb_prefacility_b_dlg,Not found,BIOD_CERJCB_090SHUTTLE
cerjcb_prefacility2_b_dlg,Not found,BIOD_CERJCB_105LANDINGCBT
cerjcb_prefacility2_b_dlg,Not found,BIOD_CERJCB_110LANDINGAMB
cerjcb_jacob_radio_a_dlg,radio_cerjcb_scientist,BIOD_CERJCB_150MAINDOOR
cerjcb_injured_jacob_v_dlg,cerjcb_scientist,BIOD_CERJCB_150MAINDOOR
cerjcb_facility_intro2_m_dlg,cerjcb_scientist,BIOD_CERJCB_150MAINDOOR
cerjcb_upset_scientist_i_dlg,Not found,BIOD_CERJCB_210DOCKINGBAYAMB
cerjcb_cerb_scientist_01_d_dlg,Not found,BIOD_CERJCB_210DOCKINGBAYAMB
not found,Not found,BIOD_CERJCB_210DOCKINGBAYAMB
cerjcb_first_party_b_dlg,Not found,BIOD_CERJCB_210DOCKINGBAYAMB
cerjcb_shuttlebay_amb02_a_dlg,Not found,BIOD_CERJCB_210DOCKINGBAYAMB
cit_fetch_cerjcb_i_dlg,Not found,BIOD_CERJCB_300FACILITY
cerjcb_facility_walkntalk_m_dlg,cerjcb_scientist,BIOD_CERJCB_325FACILWALK
cerjcb_calm_bfr_storm_d_dlg,cerjcb_scientist,BIOD_CERJCB_350FACILAMBS
cerjcb_jacob_convo2_d_dlg,global_jacob,BIOD_CERJCB_350FACILAMBS
cerjcb_jacob_bark_a_dlg,global_jacob,BIOD_CERJCB_350FACILAMBS
cerjcb_post_roof_v_dlg,cerjcb_scientist,BIOD_CERJCB_350FACILAMBS
cerjcb_cerb_scientist_02_a_dlg,cerjcb_hammerlink,BIOD_CERJCB_350FACILAMBS
cerjcb_cerb_scientist_amb_a_dlg,cerjcb_random_scientist,BIOD_CERJCB_350FACILAMBS
cerjcb_civ_chat_a_dlg,cerjcb_civilian_04,BIOD_CERJCB_350FACILAMBS
cerjcb_level03_evac_b_dlg,Not found,BIOD_CERJCB_360FACILCBT
cerjcb_trigger_evac_v_dlg,global_jacob,BIOD_CERJCB_360FACILCBT
cerjcb_trigger_evac_v_dlg,radio_cerjcb_scientist,BIOD_CERJCB_360FACILCBT
cerjcb_trigger_evac_v_dlg,cerjcb_scientist,BIOD_CERJCB_375FACILEVAC
cerjcb_party01_b_dlg,Not found,BIOD_CERJCB_380MNTLWR
cerjcb_roof1_b_dlg,Not found,BIOD_CERJCB_400ROOF
cerjcb_hench_choice_m_dlg,no_owner,BIOD_CERJCB_400ROOF
cerjcb_hench_choice_m_dlg,no_owner,BIOD_CERJCB_400ROOF
cerjcb_hench_fixing_b_dlg,Not found,BIOD_CERJCB_400ROOF
cerjcb_level02_b_dlg,radio_cerjcb_scientist,BIOD_CERJCB_400ROOF
cerjcb_party02_b_dlg,Not found,BIOD_CERJCB_405SATCOMBAT
cerjcb_after_dish_fix_b_dlg,radio_cerjcb_scientist,BIOD_CERJCB_410APPROACH
cerjcb_roof2_b_dlg,Not found,BIOD_CERJCB_410APPROACH
cerjcb_roof2_b_dlg,Not found,BIOD_CERJCB_410APPROACH
cerjcb_hench_fixing_b_dlg,Not found,BIOD_CERJCB_430TOWERWAVE2
cerjcb_escape_j_b_dlg,radio_cerjcb_scientist,BIOD_CERJCB_450EVACUATE
cerjcb_finalcombat_b_dlg,Not found,BIOD_CERJCB_460EVACWAVE1
cerjcb_escape_j_b_dlg,radio_jacob,BIOD_CERJCB_480EVACWAVE3
cerjcb_escape_j_b_dlg,radio_cerjcb_scientist,BIOD_CERJCB_480EVACWAVE3
cerjcb_denoument_m_dlg,cerjcb_scientist,BIOD_CERJCB_500FINALE
cermir_landing_comm_down_b_dlg,no_owner,BIOD_CERMIR_100LANDING
cermir_main_entrance1_b_dlg,no_owner,BIOD_CERMIR_100LANDING
cermir_cerberus_ambush2_b_dlg,cermir_cerberus_soldier1,BIOD_CERMIR_150COURTYARD
cermir_why_cerberus_b_dlg,no_owner,BIOD_CERMIR_150COURTYARD
cermir_cerberus_ambush_p_dlg,cermir_cerberus_soldier1,BIOD_CERMIR_160POI
cermir_welcome_shuttles_a_dlg,no_owner,BIOD_CERMIR_200RECEPTION
cermir_welcome_view_b_dlg,no_owner,BIOD_CERMIR_200RECEPTION
cermir_landing_warzone_a_dlg,no_owner,BIOD_CERMIR_200RECEPTION
cermir_welcome_admin1_a_dlg,citprs_csec_guard01,BIOD_CERMIR_200RECEPTION
cermir_welcome_admin2_a_dlg,Cerjcb_civillan_02,BIOD_CERMIR_200RECEPTION
cermir_welcome_admin3_a_dlg,end001_turian_captain,BIOD_CERMIR_200RECEPTION
cermir_welcome_vids_b_dlg,no_owner,BIOD_CERMIR_200RECEPTION
cermir_poi_shuttle_flyby_p_dlg,no_owner,BIOD_CERMIR_210RECEPPOI
cermir_welcome_vids_b_dlg,no_owner,BIOD_CERMIR_215RECEPVID
cermir_cerberus_sniper_b_dlg,no_owner,BIOD_CERMIR_170COMBAT
cermir_landing_cer_banter_b_dlg,no_owner,BIOD_CERMIR_170COMBAT
cermir_mir_ori_vid_alert_a_dlg,no_owner,BIOD_CERMIR_225RECEP_LOW
cermir_vid_alert1_a_dlg,no_owner,BIOD_CERMIR_225RECEP_LOW
cermir_welcome_audio_log1_a_dlg,no_owner,BIOD_CERMIR_225RECEP_LOW
cermir_welcome_audio_log2_a_dlg,no_owner,BIOD_CERMIR_225RECEP_LOW
cermir_welcome_cerberus_a_dlg,no_owner,BIOD_CERMIR_225RECEP_LOW
cermir_reaper_shock_b_dlg,no_owner,BIOD_CERMIR_250POOLS
cermir_miranda_vid_m_dlg,no_owner,BIOD_CERMIR_250POOLS
cermir_pool_reapertech_b_dlg,no_owner,BIOD_CERMIR_250POOLS
cermir_welcome_more_cer_b_dlg,no_owner,BIOD_CERMIR_230R_COMBAT
cermir_pool_view_b_dlg,Not found,BIOD_CERMIR_230R_COMBAT
cermir_pool_past_door_b_dlg,no_owner,BIOD_CERMIR_275POOLTRANS
cermir_observation_after_b_dlg,no_owner,BIOD_CERMIR_300LAB
cermir_observation_enter_b_dlg,no_owner,BIOD_CERMIR_300LAB
cermir_observation_damnit_a_dlg,no_owner,BIOD_CERMIR_300LAB
cermir_mir_ori_vid_alert_a_dlg,no_owner,BIOD_CERMIR_300LAB
cermir_miranda_vid_power_v_dlg,no_owner,BIOD_CERMIR_375LAB_VID
cermir_father_logs3_d_dlg,radio_cermir_miranda_father,BIOD_CERMIR_500SECONDFLR
cermir_father_logs3_d_dlg,radio_cermir_miranda_father,BIOD_CERMIR_500SECONDFLR
cermir_experiments_b_dlg,no_owner,BIOD_CERMIR_500SECONDFLR
cermir_mir_ori_vid_alert_a_dlg,no_owner,BIOD_CERMIR_500SECONDFLR
cermir_mir_ori_vid_alert_a_dlg,no_owner,BIOD_CERMIR_525_2NDTRAN
cermir_miranda_vid2_m_dlg,no_owner,BIOD_CERMIR_525_2NDTRAN
cermir_processing_fight2_b_dlg,no_owner,BIOD_CERMIR_510_COMBAT
cermir_father_logs2_d_dlg,radio_cermir_miranda_father,BIOD_CERMIR_400FACTORY1STFLR
cermir_experiments_b_dlg,no_owner,BIOD_CERMIR_400FACTORY1STFLR
cermir_father_logs1_d_dlg,radio_cermir_mirandas_father,BIOD_CERMIR_400FACTORY1STFLR
cermir_father_logs2_d_dlg,radio_cermir_miranda_father,BIOD_CERMIR_400FACTORY1STFLR
cermir_father_logs1_d_dlg,radio_cermir_mirandas_father,BIOD_CERMIR_400FACTORY1STFLR
cermir_processing_floor_b_dlg,Not found,BIOD_CERMIR_400FACTORY1STFLR
cermir_processing_fight1_b_dlg,no_owner,BIOD_CERMIR_400FACTORY1STFLR
cermir_observation_husks_b_dlg,no_owner,BIOD_CERMIR_400FACTORY1STFLR
cermir_observation_husks2_b_dlg,no_owner,BIOD_CERMIR_400FACTORY1STFLR
cermir_miranda_vid3_m_dlg,no_owner,BIOD_CERMIR_550MIRANDA
cermir_after_tram_a_dlg,no_owner,BIOD_CERMIR_650FACTORY2NDFLR
cermir_fix_tram_a_dlg,no_owner,BIOD_CERMIR_650FACTORY2NDFLR
not found,Not found,BIOD_CERMIR_725TRANS
cermir_father_logs4_d_dlg,cermir_miranda_father,BIOD_CERMIR_600THIRDFLR_A
cermir_experiments_b_dlg,no_owner,BIOD_CERMIR_600THIRDFLR_A
cermir_processing_pods2_b_dlg,no_owner,BIOD_CERMIR_600THIRDFLR_A
cermir_processing_fight3_b_dlg,no_owner,BIOD_CERMIR_600THIRDFLR_A
cermir_father_test_room_a_dlg,cermir_console_voice,BIOD_CERMIR_600THIRDFLR_A
cermir_combat_prelab_b_dlg,no_owner,BIOD_CERMIR_600THIRDFLR_A
cermir_processing_pods_b_dlg,no_owner,BIOD_CERMIR_600THIRDFLR_A
cermir_office_get_ready_a_dlg,no_owner,BIOD_CERMIR_750OFFICE
cermir_office_get_ready_a_dlg,no_owner,BIOD_CERMIR_750OFFICE
cermir_miranda_m_dlg,cermir_miranda_father,BIOD_CERMIR_750OFFICE
cermir_miranda_resolution_m_dlg,cermir_miranda_father,BIOD_CERMIR_750OFFICE
cermir_processing_pods3_b_dlg,no_owner,BIOD_CERMIR_700THIRDFLR_B
cermir_preelevator_lock_a_dlg,no_owner,BIOD_CERMIR_700THIRDFLR_B
cermir_mir_ori_vid_alert_a_dlg,no_owner,BIOD_CERMIR_700THIRDFLR_B
cermir_pre_elevator_2_b_dlg,no_owner,BIOD_CERMIR_700THIRDFLR_B
cermir_pre_elevator_1_b_dlg,no_owner,BIOD_CERMIR_700THIRDFLR_B
cit_branding_a_dlg,cit_background_male,BIOD_CITHUB
cit_news_a_dlg,cit_news_announcer,BIOD_CITHUB
promar_anderson_vid_v_dlg,global_hackett,BIOD_CITHUB_001PROCIT
promar_wrapup_m_dlg,hench_liara,BIOD_CITHUB_001PROCIT
procit_medics_m_dlg,hench_marine,BIOD_CITHUB_002PROCIT
citwrd_aria1_narl_d_dlg,citwrd_narl,BIOD_CITHUB_ARIA1
citwrd_aria2_dealer_d_dlg,citwrd_dealer,BIOD_CITHUB_ARIA2_PRES
citwrd_aria3_baileyassist_d_dlg,citwrd_sederis,BIOD_CITHUB_ARIA3_PRES
citwrd_aria3_bailey_d_dlg,global_bailey,BIOD_CITHUB_ARIA3_PRESB
citprs_ash_char_moment_m_dlg,hench_ashley,BIOD_CITHUB_ASH_MOMENT
cithub_avina_presidium_d_dlg,global_avina,BIOD_CITHUB_AVINA_PRES
citwrd_rp1_bailey_m_dlg,global_bailey,BIOD_CITHUB_BAILEY
citwrd_aria3_bailey_d_dlg,global_bailey,BIOD_CITHUB_BAILEY
