"ACTION" :2656,
"Spirit Body" :1,
"Clone #9" :1,
"Bystanders" :1,
"Item Plaques" :1,
"Staff Person" :1,
"Man Practicing Kicks" :1,
"Soldier outside Cargo Ship" :1,
"Soldiers Sleeping" :1,
"Bald Black Man" :1,
"Soldiers Practicing Victory Poses" :1,
"Man outside Godo's House" :1,
"Pub [Turtle's Paradise] Publicity Flyers! Notice" :1,
"Shinra Soldiers" :1,
"Old Man outside Item Shop" :1,
"Man Looking at Painting" :1,
"Weapons Shopkeeper (Rocket Town)" :1,
"Escapee Report no. 4" :1,
"Escapee Report no. 3" :1,
"Escapee Report no. 2" :1,
"Escapee Report no. 1" :1,
"Second Tank" :1,
"Glass Tank" :1,
"Small Clone" :1,
"Report" :1,
"Clone #4" :1,
"Clone #11" :1,
"Clone #5" :1,
"Clone #12" :1,
"Clone #6" :1,
"Flyer on wall" :1,
"Sign" :1,
"Mayor" :1,
"Race Announcement" :1,
"Jockeys" :1,
"Carriage Driver" :1,
"Prison Bartender" :1,
"Guards Outside Trailer" :1,
"Three Liars" :1,
"Man Following" :1,
"Man Near Gate" :1,
"Guy Near Submarine Game" :1,
"Guy on Snowboard Game" :1,
"Guy on Motorcycle Game" :1,
"People Playing Wonder Catcher" :1,
"Chocobo Mascots" :1,
"Couple 2" :1,
"Couple" :1,
"Ghost Square Receptionist" :1,
"Zombie" :1,
"Info Board inside the Station" :1,
"Chocobo Mascot" :1,
"Tool Shopkeeper" :1,
"Man on the Beach" :1,
"Man on Beach" :1,
"Bar del Sol Barkeeper" :1,
"Man in Corner" :1,
"Manager" :1,
"Sailor on the Helipad" :1,
"Sailor 3" :1,
"Sailor 2" :1,
"Soldier Near Lift" :1,
"Sailor Outside Underwater Reactor" :1,
"Ghost 2" :1,
"Ghost" :1,
"Big Bald Man" :1,
"Bald Man in Suspenders" :1,
"Man with Head on Table" :1,
"Billy" :1,
"Innkeeper (Kalm)" :1,
"Man 5" :1,
"Man 4" :1,
"Sign in Bathroom" :1,
"Man in Nap Room" :1,
"Vending Machine" :1,
"Man Lifting Weights" :1,
"Man on Treadmill" :1,
"Woman on Treadmill" :1,
"Gym Receptionist" :1,
"Man Sitting Down" :1,
"Woman Sitting Down" :1,
"Guard 2" :1,
"Shinra Employee" :1,
"Bulletin" :1,
"Boy in trio" :1,
"Shopkeeper (Items Sector 7)" :1,
"Guy Outside" :1,
"Pharmacy Owner" :1,
"Dark-haired Man" :1,
"Tanned Man" :1,
"Other Guys" :1,
"Man Waiting Outside Bathroom" :1,
"Wall Market Barkeeper" :1,
"Men Doing Squats" :1,
"Person Running Around" :1,
"Brown-haired Guy" :1,
"Naked Man 3" :1,
"Naked Man 2" :1,
"Naked Man 1" :1,
"Downed Man" :1,
"Thief" :1,
"Passenger" :1,
"Three Guys Posing" :1,
"A sign to the far left" :1,
"Train Worker" :1
