"STATUS" :3972,
"Quickthinx Allthoughts" :5,
"Hirase" :5,
"Captive" :5,
"Boisterous Pixie" :5,
"Imperial Pilus Prior" :5,
"Kotokaze" :5,
"Vath Fleetfoot" :5,
"Thon Ton" :4,
"Administrative Node" :4,
"Afumi" :4,
"Sicard" :4,
"Chambui" :4,
"Miyama" :4,
"Aranami" :4,
"Ondo Guide" :4,
"Willowy Mol Girl" :4,
"Boisterous Mol Boy" :4,
"Reserved Mol Boy" :4,
"Bright-eyed Mol Girl" :4,
"Flame Honor Guard" :4,
"Echoing Voice" :4,
"Sahagin Priest" :4,
"Resistance Herald" :4,
"Guillaime" :4,
"Estaine" :4,
"Khanswys" :4,
"Ahtbyrm" :4,
"Mogmug" :4,
"Y'mhitra" :4,
"Scion of the Seventh Dawn" :4,
"Flame Sergeant" :4,
"Amarod03304" :4,
"Amaroc03304" :4,
"Amarob03304" :4,
"Amaroa03304" :4,
"Pfrewahl" :4,
"Teteroon" :4,
"Janremi Blackheart" :4,
"Flavien de Fortemps" :4,
"Bronze-skinned Beauty" :4,
"Kindly Voice" :4,
"Adorable Voice" :4,
"Overworked Porter" :4,
"Adventurers' Guild Assistant" :4,
"Wounded Flame Soldier" :4,
"Wounded Serpent Soldier" :4,
"E-Sumi-Yan" :4,
"Doware" :4,
"Youthful Voice" :4,
"Enchanted Broom" :4,
"Ingaret" :4,
"Noirterel" :4,
"Emerissel" :4,
"Auriaune" :4,
"Tourcenet" :4,
"Plain-spoken Porter" :4,
"Ermegarde" :4,
"Aylmer" :4,
"Zazawaka" :4,
"Fandaniel" :4,
"Sylph Emissary" :4,
"Yuyutazi" :4,
"Bubukkuli" :4,
"Tutumoko" :4,
"Ryssfloh" :4,
"Ludovoix" :4,
"Ironworks Technologist" :4,
"Pierriquet" :4,
"Jantellot" :4,
"Joellaut" :4,
"Aergmhus" :4,
"Tense Temple Knight" :4,
"Adventurers' Guild Emissary" :4,
"Vault Priest" :4,
"Unruffled Refugee" :4,
"Unnerved Fisher" :4,
"Masgud" :4,
"Serpent Runner" :4,
"Resistance Fighter" :4,
"Hathenbet" :4,
"Serendipity" :4,
"Cracked Fist" :4,
"Administrative Clerk" :4,
"Midnight Dew" :4,
"Karaku" :4,
"Mosha-Moa" :4,
"Placid Elder" :4,
"Alliance Herald" :4,
"Kupta Kapa" :3,
"Mhul Mul" :3,
"Crystarium Medic" :3,
"Brass Blade" :3,
"Ondo Youth" :3,
"Synthetic Auracite System" :3,
"Annia quo Soranus" :3,
"Angular Adventurer" :3,
"Adept Adventurer" :3,
"Wood Wailer Lance" :3,
"Quzal Huatotl the Shrieker" :3,
"Enclave Skiff Captain" :3,
"Qoyar" :3,
"Koko" :3,
"Mergen" :3,
"Masatsuchi" :3,
"Honami" :3,
"Seasick Doman Recruit" :3,
"Baidur" :3,
"Yesui" :3,
"Wounded Imperial (Specula Imperatoris)" :3,
"Wounded Resistance Fighter (Specula Imperatoris)" :3,
"Wounded Resistance Fighter (Ala Ghiri)" :3,
"Storm Honor Guard" :3,
"Immortal Flames Pilot" :3,
"Stunned Citizen" :3,
"Stupefied Citizen" :3,
"Airship Crewman" :3,
"Storm Private (The Company You Keep)" :3,
"2nd Order Patriarch Za Da" :3,
"Prison Guard" :3,
"Sifrid" :3,
"Lyulf" :3,
"Cassana" :3,
"Curious Pixie" :3,
"House Haillenarte Knight" :3,
"Haunted Elder" :3,
"Unfit Knight" :3,
"Unsettled Knight" :3,
"Determined Caregiver" :3,
"Euphoric Youth" :3,
"Skyfryn" :3,
"Ceinguled" :3,
"Rhoswen" :3,
"Roger" :3,
"Preoccupied Petticoat" :3,
"Begrimed Bloke" :3,
"Knight of Darkness" :3,
"Ranger of Darkness" :3,
"Yagoro" :3,
"Gun-toting Compatriot" :3,
"Muddled Moogle" :3,
"Eylgar" :3,
"Jocea" :3,
"Dwarf Observer" :3,
"Gnath Priest" :3,
"Swynbroes" :3,
"Maxio" :3,
"Kuplu Kopo" :3,
"Tattooed Man" :3,
"Blessed Man" :3,
"Haldrath" :3,
"Stone Torch" :3,
"Painted Mesa" :3,
"Grimold" :3,
"Loupard" :3,
"Addled Assistant" :3,
"Languid Youth" :3,
"Yusui" :3,
"Shihoji" :3,
"Hiun" :3,
"Multiloquent Merchant" :3,
"Impassive Merchant" :3,
"Absent-minded Merchant" :3,
"Elaisse" :3,
"Gallien" :3,
"Albreda" :3,
"Shiun" :3,
"Rokka" :3,
"Gyoku" :3,
"Gyosan" :3,
"Gruff Voice" :3,
"R'ashaht Rhiki" :3,
"3rd Unit Brave" :3,
"Josseloux" :3,
"Mournful Mother" :3,
"Heretics" :3,
"Liavinne" :3,
"Kikina" :3,
"E'manafa" :3,
"Begrimed Townsman" :3,
"Beatin" :3,
"Theophilain" :3,
"Iliud" :3,
"Former Mayor" :3,
"Imperial Guard" :3,
"Imperial Courier" :3,
"Chadden" :3,
"Monranguin" :3,
"Ironworks Engineer" :3,
"Resonatorium Guard" :3,
"Lady-in-Waiting" :3,
"Adelstan" :3,
"Aurildis" :3,
"Swaenhylt" :3,
"Knerl" :3,
"Eginolf" :3,
"Loyal Scrag A" :3,
"Ghimthota" :3,
"Paulecrain" :3,
"Grinnaux" :3,
"Frightened Coeurl" :3,
"Suspicious Coerthan" :3,
"Wood Wailer" :3,
"Ghen Gen" :3,
"Registration Officer" :3,
"Immigration Officer" :3,
"Boorish Bowman" :3,
"Boorish Banneret" :3,
"Gnath Drone" :3,
"Proud Confederate" :3,
"Brume Starveling" :3,
"Kunu Vali" :3,
"Serpent Officer (Amarissaix's Spire)" :3,
"Diplomatic Ancient One" :3,
"Composed Fisher" :3,
"Flame Herald" :3,
"Pauline" :3,
"Cornenne" :3,
"J'nasshym" :3,
"Armelle" :3,
"Hannish Spice Trader" :3,
"Meticulous Merchant" :3,
"Curt Captain" :3,
"Liberation Front Guard" :3,
"Gilow" :3,
"Dalmascan Fusilier" :3,
"Nagxian Emissary" :3,
"Blue Kojin Emissary" :3,
"Asgeir" :3,
"Shanti" :3,
"Villager of the Everlasting Dark" :3,
"Kupdi Koop" :2,
"Kupli Kipp" :2,
"Trembling Guard" :2,
"Anguished Guard" :2,
"Dying Guard" :2,
"Haldbroda" :2,
"Imperious Wyvern" :2,
"Keiten" :2,
"Mistreated Merchant" :2,
"Otelin" :2,
"Hungry Beggar" :2,
"Mirthful Maiden" :2,
"Starving Child (tall boy)" :2,
"Wauter" :2,
"Tatty Townswoman" :2,
"Heretic 4" :2,
"Heretic 3" :2,
"Shadowy Woman" :2,
"Eulmoran Aristocrat" :2,
"Edmelle" :2,
"Keeled-over Knight" :2,
"Ninne" :2,
"Son of Saint Coinach" :2,
"Saint Coinach Ferryman" :2,
"Hulking Hunter" :2,
"Aokumo" :2,
"M'hahtoa" :2,
"M'rahz Nunh" :2,
"Goro Horsemaster" :2,
"Carrilaut" :2,
"Ala Mhigan Resistance Fighter" :2,
"Eulmoresoldier03305a" :2,
"Gnath Trio" :2,
"Exultant Gnath" :2,
"Excited Gnath" :2,
"Vira Battlemaid" :2,
"Confederate Recruit" :2,
"Surviving Squire" :2,
"House Durandaire Knight" :2,
"Loudspeaker" :2,
"Tribunii" :2,
"Airship Attendant" :2,
"Hida" :2,
"Sahagin Enemy" :2,
"Brunadier" :2,
"Nimbus" :2,
"Blue Skiff Captain" :2,
"Ernold" :2,
"Retired Roegadyn" :2,
"Middle-aged Highlander" :2,
"Nervous Guard" :2,
"Serpent Private (MSQ)" :2,
"Flame Private" :2,
"Ixali Chieftain" :2,
"Unsavory Character" :2,
"Hardyss" :2,
"Crystarium Guard" :2,
"Angry River" :2,
"Yayazuku" :2,
"Osric" :2,
"Gisilbehrt" :2,
"Dadanen" :2,
"Heretic 2" :2,
"Raffe" :2,
"Alestan" :2,
"Louistiaux of the First Line" :2,
"Tristechambel" :2,
"Adelphel" :2,
"Wounded Guard" :2,
"Desperate Refugee" :2,
"Crystarium Scout" :2,
"Ardent Scout" :2,
"Bernadette" :2,
"Unnerved Knight" :2,
"Clamorous Node" :2,
"Ala Mhigan Brigade Officer" :2,
"Fromelaut" :2,
"Fearful Man" :2,
"Delirious Youth" :2,
"Imperial Tribunus Militum" :2,
"Yellow Moon" :2,
"H'naanza" :2,
"Archer01607" :2,
"House Borel Steward" :2,
"Monne" :2,
"Hopeful Citizen" :2,
"Chocobokeep" :2,
"Fuath Prankster" :2,
"Adalbert" :2,
"Airship Ticketer" :2,
"Devout of Darkness" :2,
"Magus of Darkness" :2,
"Sekiseigumi Blade" :2,
"Resistance Officer" :2,
"Merilda" :2,
"Serious Sultansworn" :2,
"Hierytha" :2,
"Kyokyoroon" :2,
"Baensyng" :2,
"Gegeruju" :2,
"Established Astrologian" :2,
"Rowena" :2,
"Styrnlona" :2,
"Adala" :2,
"Amalj'aa Warrior 2" :2,
"Captured Flame Private 2" :2,
"Captured Flame Private 1" :2,
"Shiva" :2,
"Serpent Herald" :2,
"Temple Herald" :2,
"Kokosamu" :2,
"F'hobas" :2,
"Suspicious Youth" :2,
"Ewmond" :2,
"Bernard" :2,
"Junghbhar" :2,
"Avere" :2,
"Yellowjacket (Sastasha Seagrot)" :2,
"Firkmann" :2,
"L'khonebb" :2,
"Bloisirant" :2,
"Brawny Knight" :2,
"Alboise" :2,
"Gracine" :2,
"Aspiring Amaro Tamer" :2,
"Flame Officer" :2,
"Straggler" :2,
"Faramund" :2,
"Collected Voice" :2,
"Storm Officer (Floating City of Nym)" :2,
"Ysaudore" :2,
"Ghon Gon" :2,
"Shul Sul" :2,
"Rhil Ril" :2,
"Imedia" :2,
"Hastelot" :2,
"Suspicious Coerthan (For the Greater Good)" :2,
"Uncombed Urchin" :2,
"Panicked Knight" :2,
"Hardened Man" :2,
"Proud Patriot" :2,
"Modest Matron" :2,
"Abelie" :2,
"Careless Imperial" :2,
"Beguiled Imperial" :2,
"Beleaguered Imperial" :2,
"Cross Imperial" :2,
"Amiable Imperial" :2,
"Rickeman" :2,
"Amelain" :2,
"Paiyo Reiyo" :2,
"Idle Shipwright" :2,
"Ignemortel" :2,
"Ombeline" :2,
"Pierremons" :2,
"Bricelt" :2,
"Imperial Pilot" :2,
"Flame Investigator" :2,
"Drunken Duskwright" :2,
"Mead-soaked Midlander" :2,
"Ossine" :2,
"Theodore" :2,
"C'nangho" :2,
"Jeantremont" :2,
"Nawashiro" :2,
"Gullible Gambler" :2,
"Grehfarr" :2,
"F'zhumii" :2,
"Abylfarr" :2,
"Ahldskyf" :2,
"Temple Knight Gateguard" :2,
"Vortefaurt" :2,
"Blauthota" :2,
"Shinobi" :2,
"Serpent Officer (Call of the Sea)" :2,
"Riled Youth" :2,
"Riled Lass" :2,
"6th Cohort Enemies" :2,
"Rhesh Polaali" :2,
"4th Unit Brave" :2,
"Beltardois" :2,
"Dependable Temple Knight" :2,
"Timorous Temple Knight" :2,
"Tyr Nee" :2,
"Earnest Pixie" :2,
"Storm Runner" :2,
"Male Voice" :2,
"Scream" :2,
"Distressed Soldier" :2,
"Mord Souq Guard" :2,
"Mowen" :2,
"Imperial Patrol 2" :2,
"Imperial Patrol 1" :2,
"Leonnie" :2,
"Voracious Vath" :2,
"Bewildered Citizen" :2,
"Tebbe" :2,
"Gerraldieux" :2,
"Hiding Child 2" :1,
"Hiding Child 1" :1,
"Kupqu Kogi" :1,
"Kupcha Kupa" :1,
"Traveling Goldsmith" :1,
"Goudernoux" :1,
"Faint-hearted Recruit" :1,
"Brooding Recruit" :1,
"Earnest Recruit" :1,
"Fiery Recruit" :1,
"Devout Recruit" :1,
"Latgar" :1,
"Mhil Mil" :1,
"Bhun Bun" :1,
"Hremfing" :1,
"Phrontistery Chirurgeon" :1,
"Ourdilic" :1,
"Lancefer" :1,
"Crystarium Officer" :1,
"Bedraggled Crystarium Soldier" :1,
"Distressed Townsman" :1,
"Devious Derelict" :1,
"Petrified Pauper" :1,
"Altima" :1,
"Emmerololth" :1,
"Nabriales" :1,
"Mitainie" :1,
"Forward Fille" :1,
"Tireless Trader" :1,
"Sun-baked Merchant" :1,
"Starving Child (small boy)" :1,
"Starving Child (small girl)" :1,
"Starving Child (tall girl)" :1,
"Zuzumeda" :1,
"Wayward Warrior" :1,
"1st Legion Centurion" :1,
"3rd Legion Centurion" :1,
"Imperial Hoplomachus" :1,
"Urswyrst" :1,
"Shoina" :1,
"Loymet" :1,
"Nymet" :1,
"Korille" :1,
"Ixali Occultists" :1,
"Gods' Quiver Instructor" :1,
"Fyrbryda" :1,
"Ambushed Porter" :1,
"Elmar" :1,
"Strapping Soldier" :1,
"Spindly Soldier" :1,
"Stocky Soldier" :1,
"Male Voice 2" :1,
"Suspicious Man" :1,
"Panicked Caregiver" :1,
"Ozun Nazun" :1,
"Cravellin" :1,
"Ume" :1,
"Pushy Pawnbroker" :1,
"Perky Pawnbroker" :1,
"Crystalbrave00088" :1,
"Heretic 1" :1,
"Eulmoresoldier03305d" :1,
"Eulmoresoldier03305c" :1,
"Eulmoresoldier03305b" :1,
"Katherine" :1,
"Fridurih" :1,
"Announce" :1,
"Shipwright" :1,
"Oroniri Spearson" :1,
"Storm Sergeant (The Gift of Eternity)" :1,
"Alliance Recruit" :1,
"Discomposed Cataloger" :1,
"Imperial Officer" :1,
"Pragmatic Amaurotine" :1,
"Anxious Amaurotine" :1,
"Optimisitic Amaurotine" :1,
"Eo An" :1,
"Rispa" :1,
"Traveller" :1,
"Mature Maid" :1,
"Spectral Berserker" :1,
"Spectral Paladin" :1,
"Spectral Necromancer" :1,
"Nu Mou" :1,
"Aenc Thon" :1,
"Spectral Thief" :1,
"Ghun Gun" :1,
"Spectral Swordsman" :1,
"Storm Conjurer" :1,
"Amalj'aa War Chief" :1,
"Qiqirn Meat Gnasher" :1,
"Adalind" :1,
"Waldhar" :1,
"Noraxia" :1,
"Geva" :1,
"Blaisette" :1,
"Ysabel Hawthorne" :1,
"Ahlduwil" :1,
"Louis" :1,
"Erapi Taropi" :1,
"Jovial Pixie" :1,
"Nunuzofu" :1,
"Sultansworn Squire" :1,
"Child of the Everlasting Dark" :1,
"Gagari" :1,
"Cicidoa" :1,
"Injured Hearer" :1,
"Confused Conjurer" :1,
"Cool-headed Conjurer" :1,
"Overwrought Wood Wailer" :1,
"Witless Wood Wailer" :1,
"Worried Wood Wailer" :1,
"Giah Molkoh" :1,
"Wyrkrhit" :1,
"Doman Miner" :1,
"Wide-eyed Boy" :1,
"Capitol Attendant" :1,
"Steadfast Guard" :1,
"Convalescent Guard" :1,
"Serpent Reaver" :1,
"Obstreperous Node" :1,
"Malodorous Node" :1,
"Hot-blooded Youth" :1,
"Skysteel Engineer" :1,
"Owen" :1,
"Agitated Man" :1,
"Female Onlooker 1" :1,
"Male Onlooker 2" :1,
"Male Onlooker 1" :1,
"Fraeloef" :1,
"Panicked Son" :1,
"Landebert" :1,
"Syntgoht" :1,
"Gaunt Figure" :1,
"Mistrustful Merchant" :1,
"Lancer01607" :1,
"Victor" :1,
"Nathaxio" :1,
"Pelixia" :1,
"Elderly Citizen" :1,
"Resolute Citizen" :1,
"Dazed Citizen" :1,
"Hopeful Heretic" :1,
"Hihira" :1,
"Baron Von Quiveron IV" :1,
"Ignace" :1,
"Servile Sultansworn" :1,
"Stern Sultansworn" :1,
"Ahldfoet" :1,
"Wineburg" :1,
"Mogtoe" :1,
"Mogomo" :1,
"Lothaire" :1,
"Haribehrt" :1,
"Porogo Mouthtrap" :1,
"Sylphic Servant" :1,
"Rhotwyda" :1,
"Hospitalier Captain Abel" :1,
"Puro Roggo the Unwashed" :1,
"Leodaire" :1,
"Gobwatch" :1,
"Seseli" :1,
"Charline" :1,
"Agitated Ala Mhigan" :1,
"Crystal Brave Archer" :1,
"Crystal Brave Lancer" :1,
"Grynewyda" :1,
"Durim Falurim" :1,
"Seasoned Adventurer" :1,
"V'mellpa" :1,
"Q'ahnebb" :1,
"Alza Gamilza" :1,
"Blessed Woman" :1,
"Patrick" :1,
"Hourlinet" :1,
"Brigie" :1,
"Nathelain" :1,
"Shar" :1,
"Brume Rat" :1,
"Brume Elder" :1,
"Perplexed Pedestrian" :1,
"Alliance Leaders" :1,
"Ascian Prime" :1,
"Flame Private Third Class" :1,
"Flame Private First Class" :1,
"Flame Private Second Class" :1,
"Experienced Adventurer" :1,
"Frontier Hand" :1,
"Rhitskylt" :1,
"Hughoc" :1,
"Hrotmar" :1,
"Isobe" :1,
"Hateful Harrier" :1,
"Temple Knight Herald" :1,
"Bitter Knight" :1,
