QuestName,Level,Scenario,XP,Gil,femaleWords,maleWords
A Glimpse of Madness,Lv. 64,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Stormblood Main Scenario Quests ⇒  Stormblood,104000,745,360,241
A Gnathic Deity,Lv. 53,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Heavensward Main Scenario Quests ⇒  Heavensward,49140,479,268,789
A Good Samurai Is Hard to Find,Lv. 61,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Stormblood Main Scenario Quests ⇒  Stormblood,101000,885,723,584
A Grand Adventure,Lv. 80,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Post-Shadowbringers Main Scenario Quests ⇒  The Voyage Home,22440,4800,263,764
A Great New Nation,Lv. 58,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Heavensward Main Scenario Quests ⇒  Heavensward,53040,792,450,271
A Greater Purpose,Lv. 80,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Shadowbringers Main Scenario Quests ⇒  Shadowbringers,22440,2370,576,1364
A Guilty Conscience,Lv. 70,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Post-Stormblood Main Scenario Quests ⇒  Post-Ala Mhigan Liberation,10800,752,241,750
A Haven for the Bold,Lv. 60,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Stormblood Main Scenario Quests ⇒  Stormblood,100000,810,647,79
A Hearer Is Often Late,Lv. 13,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Umbral Era Main Scenario Quests ⇒  Seventh Umbral Era,5280,200,134,0
A Helping Hand,Lv. 74,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Shadowbringers Main Scenario Quests ⇒  Shadowbringers,221760,931,639,181
A Hero in Need,Lv. 49,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Umbral Era Main Scenario Quests ⇒  Seventh Umbral Era,27840,NA,0,289
A Hero in the Making,Lv. 20,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Umbral Era Main Scenario Quests ⇒  Seventh Umbral Era,6960,968,565,288
A Knight's Calling,Lv. 57,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Heavensward Main Scenario Quests ⇒  Heavensward,52260,5000,578,486
A Life More Ordinary,Lv. 60,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Stormblood Main Scenario Quests ⇒  Stormblood,100000,745,217,395
A Little Faith,Lv. 74,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Shadowbringers Main Scenario Quests ⇒  Shadowbringers,221760,779,100,604
"A Little Slow, a Little Late",Lv. 60,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Dragonsong Main Scenario Quests ⇒  Dragonsong War,5000,843,179,684
A Matter of Tradition,Lv. 14,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Umbral Era Main Scenario Quests ⇒  Seventh Umbral Era,5520,230,493,127
A Mizzenmast Repast,Lv. 14,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Umbral Era Main Scenario Quests ⇒  Seventh Umbral Era,5520,319,85,182
A Modest Proposal,Lv. 30,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Umbral Era Main Scenario Quests ⇒  Seventh Umbral Era,12480,NA,0,308
A New Ruby Tithe,Lv. 64,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Stormblood Main Scenario Quests ⇒  Stormblood,104000,1189,486,215
A Notable Absence,Lv. 80,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Post-Shadowbringers Main Scenario Quests ⇒  The Voyage Home,22440,655,149,645
A Party Soon Divided,Lv. 74,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Shadowbringers Main Scenario Quests ⇒  Shadowbringers,221760,967,118,1117
A Power in Slumber,Lv. 70,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Post-Stormblood Main Scenario Quests ⇒  Post-Ala Mhigan Liberation,10800,1054,563,393
A Promising Prospect,Lv. 41,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Umbral Era Main Scenario Quests ⇒  Seventh Umbral Era,22000,1575,123,167
A Proper Burial,Lv. 18,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Umbral Era Main Scenario Quests ⇒  Seventh Umbral Era,6480,NA,183,363
A Purchase of Fruit,Lv. 70,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Shadowbringers Main Scenario Quests ⇒  Shadowbringers,216000,1445,673,9
A Requiem for Heroes,Lv. 70,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Post-Stormblood Main Scenario Quests ⇒  Post-Ala Mhigan Liberation,10800,NA,321,1550
A Resounding Roar,Lv. 73,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Shadowbringers Main Scenario Quests ⇒  Shadowbringers,220320,885,23,523
A Reward Long in Coming,Lv. 50,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Heavensward Main Scenario Quests ⇒  Heavensward,46800,461,165,580
A Royal Reception,Lv. 14,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Umbral Era Main Scenario Quests ⇒  Seventh Umbral Era,5520,319,503,773
A Season for War,Lv. 65,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Stormblood Main Scenario Quests ⇒  Stormblood,105000,614,117,42
A Series of Unfortunate Events,Lv. 50,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Heavensward Main Scenario Quests ⇒  Heavensward,46800,1220,0,819
A Silence in Three Parts,Lv. 63,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Stormblood Main Scenario Quests ⇒  Stormblood,103000,905,113,305
A Simple Gift,Lv. 24,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Umbral Era Main Scenario Quests ⇒  Seventh Umbral Era,7920,1201,66,129
A Simple Plan,Lv. 50,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Astral Era Main Scenario Quests ⇒  Seventh Astral Era,2340,658,389,68
A Sleep Disturbed,Lv. 80,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Post-Shadowbringers Main Scenario Quests ⇒  The Voyage Home,22440,2760,2016,221
A Soldier's Breakfast,Lv. 9,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Umbral Era Main Scenario Quests ⇒  Seventh Umbral Era,3240,186,316,0
A Spectacle for the Ages,Lv. 60,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Dragonsong Main Scenario Quests ⇒  Dragonsong War,5000,2793,508,996
A Still Tide,Lv. 70,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Shadowbringers Main Scenario Quests ⇒  Shadowbringers,216000,1080,289,284
A Sultana's Duty,Lv. 70,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Post-Stormblood Main Scenario Quests ⇒  Post-Ala Mhigan Liberation,10800,825,742,325
A Sultana's Resolve,Lv. 70,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Post-Stormblood Main Scenario Quests ⇒  Post-Ala Mhigan Liberation,10800,2896,342,171
A Sultana's Strings,Lv. 70,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Post-Stormblood Main Scenario Quests ⇒  Post-Ala Mhigan Liberation,10800,1875,884,209
A Swift and Secret Departure,Lv. 67,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Stormblood Main Scenario Quests ⇒  Stormblood,107000,996,331,358
A Taste of Honey,Lv. 70,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Shadowbringers Main Scenario Quests ⇒  Shadowbringers,216000,1080,728,334
A Time to Every Purpose,Lv. 50,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Astral Era Main Scenario Quests ⇒  Seventh Astral Era,2340,877,97,757
A Trial Before the Trial,Lv. 65,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Stormblood Main Scenario Quests ⇒  Stormblood,105000,890,421,261
A Visit to the Nu Mou,Lv. 73,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Shadowbringers Main Scenario Quests ⇒  Shadowbringers,220320,922,15,931
A Warrior's Welcome,Lv. 65,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Stormblood Main Scenario Quests ⇒  Stormblood,105000,717,299,1163
A Welcome Guest,Lv. 80,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Post-Shadowbringers Main Scenario Quests ⇒  The Voyage Home,22440,1500,279,408
A Whale's Tale,Lv. 80,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Post-Shadowbringers Main Scenario Quests ⇒  The Voyage Home,22440,NA,382,1674
A Wild Rose by Any Other Name,Lv. 17,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Umbral Era Main Scenario Quests ⇒  Seventh Umbral Era,6240,203,536,407
Above the Churning Waters,Lv. 68,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Stormblood Main Scenario Quests ⇒  Stormblood,108000,703,393,608
Acht-la Ormh Inn,Lv. 73,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Shadowbringers Main Scenario Quests ⇒  Shadowbringers,220320,3290,83,510
Acting the Part,Lv. 46,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Umbral Era Main Scenario Quests ⇒  Seventh Umbral Era,25300,NA,0,139
Administrative Decision,Lv. 50,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Astral Era Main Scenario Quests ⇒  Seventh Astral Era,2340,517,644,100
Aether on Demand,Lv. 50,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Astral Era Main Scenario Quests ⇒  Seventh Astral Era,2340,1019,330,662
Aetherial Trail,Lv. 57,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Heavensward Main Scenario Quests ⇒  Heavensward,52260,1790,131,680
Against the Dying of the Light,Lv. 60,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Dragonsong Main Scenario Quests ⇒  Dragonsong War,5000,713,769,1051
Alisaie's Quest,Lv. 80,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Post-Shadowbringers Main Scenario Quests II ⇒  Dark Reprise,22440,935,924,519
Alisaie's Stones,Lv. 62,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Stormblood Main Scenario Quests ⇒  Stormblood,102000,995,147,289
All Due Respect,Lv. 50,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Astral Era Main Scenario Quests ⇒  Seventh Astral Era,2340,1783,415,335
All Good Things,Lv. 34,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Umbral Era Main Scenario Quests ⇒  Seventh Umbral Era,14620,1404,46,0
All Things in Time,Lv. 50,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Astral Era Main Scenario Quests ⇒  Seventh Astral Era,2340,2220,34,59
All the Little Angels,Lv. 64,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Stormblood Main Scenario Quests ⇒  Stormblood,104000,984,450,346
Alphinaud's Way,Lv. 51,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Heavensward Main Scenario Quests ⇒  Heavensward,47580,610,43,1029
Amalj'aa Wrong Places,Lv. 19,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Umbral Era Main Scenario Quests ⇒  Seventh Umbral Era,6720,238,82,316
An Allied Decision,Lv. 60,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Post-Dragonsong Main Scenario Quests ⇒  Post-Dragonsong War,5000,857,368,338
An Allied Perspective,Lv. 50,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Astral Era Main Scenario Quests ⇒  Seventh Astral Era,2340,2000,90,588
An Ally for Ishgard,Lv. 60,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Dragonsong Main Scenario Quests ⇒  Dragonsong War,5000,1031,204,788
An End to the Song,Lv. 60,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Dragonsong Main Scenario Quests ⇒  Dragonsong War,5000,5000,61,835
An Ending to Mark a New Beginning,Lv. 60,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Post-Dragonsong Main Scenario Quests ⇒  Post-Dragonsong War,5000,1420,804,1648
An Engineering Enterprise,Lv. 57,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Heavensward Main Scenario Quests ⇒  Heavensward,52260,533,96,643
An Envoy for Ishgard,Lv. 60,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Post-Dragonsong Main Scenario Quests ⇒  Post-Dragonsong War,5000,885,117,531
An Eye for Aether,Lv. 59,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Heavensward Main Scenario Quests ⇒  Heavensward,53820,737,416,613
An Illuminati Incident,Lv. 58,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Heavensward Main Scenario Quests ⇒  Heavensward,53040,760,274,266
An Impossible Dream,Lv. 65,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Stormblood Main Scenario Quests ⇒  Stormblood,105000,683,227,208
An Indispensable Ally,Lv. 50,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Heavensward Main Scenario Quests ⇒  Heavensward,46800,461,190,267
An Offer You Can Refuse,Lv. 32,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Umbral Era Main Scenario Quests ⇒  Seventh Umbral Era,13940,2000,0,279
An Old Friend,Lv. 80,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Post-Shadowbringers Main Scenario Quests ⇒  The Voyage Home,22440,1155,766,903
An Uncertain Future,Lv. 60,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Dragonsong Main Scenario Quests ⇒  Dragonsong War,5000,745,463,768
An Unexpected Ambition,Lv. 50,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Astral Era Main Scenario Quests ⇒  Seventh Astral Era,2340,961,463,0
An Uninvited Ascian,Lv. 50,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Astral Era Main Scenario Quests ⇒  Seventh Astral Era,2340,2064,118,179
An Unwanted Proposal,Lv. 74,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Shadowbringers Main Scenario Quests ⇒  Shadowbringers,221760,1144,117,198
An Unwelcome Guest,Lv. 72,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Shadowbringers Main Scenario Quests ⇒  Shadowbringers,218880,1026,189,1068
"Ancient Ways, Timeless Wants",Lv. 50,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Astral Era Main Scenario Quests ⇒  Seventh Astral Era,2340,1343,383,0
"Another Time, Another Place",Lv. 60,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Dragonsong Main Scenario Quests ⇒  Dragonsong War,5000,824,554,235
Arenvald's Adventure,Lv. 70,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Post-Stormblood Main Scenario Quests ⇒  Post-Ala Mhigan Liberation,10800,752,221,487
"As Goes Light, So Goes Darkness",Lv. 60,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Dragonsong Main Scenario Quests ⇒  Dragonsong War,5000,10000,692,1689
As It Once Was,Lv. 60,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Dragonsong Main Scenario Quests ⇒  Dragonsong War,5000,1807,727,1083
As You Wish,Lv. 33,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Umbral Era Main Scenario Quests ⇒  Seventh Umbral Era,14280,1377,0,165
As the Gods Will,Lv. 66,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Stormblood Main Scenario Quests ⇒  Stormblood,106000,690,103,648
At the End of Our Hope,Lv. 50,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Heavensward Main Scenario Quests ⇒  Heavensward,46800,1399,306,535
Awakening in Ul'dah,Lv. 54,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Heavensward Main Scenario Quests ⇒  Heavensward,49920,857,18,1006
Back and Fourth,Lv. 50,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Astral Era Main Scenario Quests ⇒  Seventh Astral Era,2340,2000,356,565
Back to Square One,Lv. 27,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Umbral Era Main Scenario Quests ⇒  Seventh Umbral Era,10080,1289,118,0
Bait and Switch,Lv. 50,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Astral Era Main Scenario Quests ⇒  Seventh Astral Era,2340,958,0,267
Battle Scars,Lv. 33,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Umbral Era Main Scenario Quests ⇒  Seventh Umbral Era,14280,1289,0,196
Bearing with It,Lv. 75,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Shadowbringers Main Scenario Quests ⇒  Shadowbringers,223200,1033,530,188
Before the Dawn,Lv. 50,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Astral Era Main Scenario Quests ⇒  Seventh Astral Era,2340,10000,0,66
Believe in Your Sylph,Lv. 24,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Umbral Era Main Scenario Quests ⇒  Seventh Umbral Era,7920,1201,0,158
Beneath a Star-filled Sky,Lv. 60,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Post-Dragonsong Main Scenario Quests ⇒  Post-Dragonsong War,5000,1670,1017,1913
Beneath the Surface,Lv. 80,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Post-Shadowbringers Main Scenario Quests ⇒  The Voyage Home,22440,4000,495,687
Bereft of Hearth and Home,Lv. 61,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Stormblood Main Scenario Quests ⇒  Stormblood,101000,589,270,376
Best Laid Schemes,Lv. 50,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Astral Era Main Scenario Quests ⇒  Seventh Astral Era,2340,1077,201,568
Best Served with Cold Steel,Lv. 60,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Stormblood Main Scenario Quests ⇒  Stormblood,100000,1883,89,383
Better Late than Never,Lv. 43,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Umbral Era Main Scenario Quests ⇒  Seventh Umbral Era,22880,NA,0,208
Beyond the Clouds,Lv. 53,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Heavensward Main Scenario Quests ⇒  Heavensward,49140,449,87,167
Beyond the Great Wall,Lv. 60,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Stormblood Main Scenario Quests ⇒  Stormblood,100000,1498,833,931
Big Trouble in Little Ala Mhigo,Lv. 27,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Umbral Era Main Scenario Quests ⇒  Seventh Umbral Era,10080,NA,144,527
Black and the White,Lv. 57,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Heavensward Main Scenario Quests ⇒  Heavensward,52260,502,0,912
Blood for Blood,Lv. 40,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Umbral Era Main Scenario Quests ⇒  Seventh Umbral Era,21560,NA,446,337
Bloodlines,Lv. 56,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Heavensward Main Scenario Quests ⇒  Heavensward,51480,496,98,115
"Bolt, Chain, and Island",Lv. 57,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Heavensward Main Scenario Quests ⇒  Heavensward,52260,5000,15,771
Boys with Boats,Lv. 62,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Stormblood Main Scenario Quests ⇒  Stormblood,102000,762,170,414
Brave New Companions,Lv. 50,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Astral Era Main Scenario Quests ⇒  Seventh Astral Era,2340,7000,291,731
Breaking and Delivering,Lv. 63,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Stormblood Main Scenario Quests ⇒  Stormblood,103000,973,538,30
Breaking into Hives,Lv. 53,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Heavensward Main Scenario Quests ⇒  Heavensward,49140,626,255,155
Breaking the Cycle,Lv. 60,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Dragonsong Main Scenario Quests ⇒  Dragonsong War,5000,1066,553,323
Bringing out the Dead,Lv. 35,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Umbral Era Main Scenario Quests ⇒  Seventh Umbral Era,15840,1791,85,354
"Broken Steel, Broken Men",Lv. 67,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Stormblood Main Scenario Quests ⇒  Stormblood,107000,908,350,868
Brotherly Love,Lv. 22,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Umbral Era Main Scenario Quests ⇒  Seventh Umbral Era,7440,1624,0,282
Build on the Stone,Lv. 50,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Astral Era Main Scenario Quests ⇒  Seventh Astral Era,2340,7000,445,581
Bury Me Not on the Lone Prairie,Lv. 35,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Seventh Umbral Era Main Scenario Quests ⇒  Seventh Umbral Era,15840,NA,129,199
By the Grace of Lord Lolorito,Lv. 61,Main Scenario (ARR/Heavensward/Stormblood/Shadowbringers) ⇒ Stormblood Main Scenario Quests ⇒  Stormblood,101000,754,132,204
