"ACTION" :1940,
"Announcer (Corneo Cup)" :4,
"Staff (2)" :4,
"Innkeeper" :4,
"Undercity Resident (Concerned)" :4,
"Console" :4,
"Undercity Resident (Posters)" :4,
"Shinra Employee (train 2)" :4,
"Shinra Employee (train 1)" :4,
"Security Officer (4)" :4,
"Deepground Soldier" :3,
"Corneo Lackey (3)" :3,
"Robed Man (first)" :3,
"Shinra Employee (vent 1)" :3,
"Shinra Employee (vending)" :3,
"Administrative Assistant" :3,
"Woman" :3,
"Honeygirl (3)" :3,
"Honeygirl (2)" :3,
"Honeygirl (1)" :3,
"Sharp-Tongued Woman" :3,
"Critical Woman" :3,
"Sweet Old Man" :3,
"Staff (8)" :3,
"Staff (7)" :3,
"Patient" :3,
"Claudia" :3,
"Undercity Resident (Community Center)" :3,
"Flametrooper" :3,
"NPC (Male 2)" :3,
"Mobile Unit Officer (2)" :3,
"Mobile Unit Officer (1)" :3,
"Hoodlum (3)" :3,
"DJ" :3,
"Captain" :3,
"Corneo Lackey (4)" :2,
"Robed Man (scrap boulevard)" :2,
"Shinra Employee (vent 2)" :2,
"Shinra Employee (tips)" :2,
"Shinra Employee (sim)" :2,
"Shinra Employee (phone)" :2,
"Shinra Employee (glasses)" :2,
"Shinra Employee (lift)" :2,
"Man" :2,
"Undercity Resident (Male 3)" :2,
"Betty's Dad" :2,
"Neighborhood Watch Member (Female)" :2,
"Neighborhood Watch Member (Male 2)" :2,
"Neighborhood Watch Member (1)" :2,
"Helitrooper" :2,
"Girl (Vision)" :2,
"Boy (Vision, 2)" :2,
"Staff (6)" :2,
"Kind Old Man" :2,
"Spectator (male 2)" :2,
"Spectator (male 1)" :2,
"Undercity Resident (Older Man with Glasses)" :2,
"Thug" :2,
"Cowgirl" :2,
"Bandit (2)" :2,
"Bandit (1)" :2,
"Undercity Resident (Female 2)" :2,
"Girl (2)" :2,
"Girl (1)" :2,
"Boy (In Cloud'S Memory)" :2,
"Weapon Vendor" :2,
"Topside Resident (Male 3)" :2,
"Announcer (Anchor)" :2,
"Elite Security Officer" :2,
"Item Vendor" :2,
"Trooper" :2,
"Elite Shock Trooper" :2,
"Undercity Resident (tunnel entrance)" :2,
"Security Officer (6)" :2,
"Security Officer (5)" :2,
"Topside Resident (Male 2)" :2,
"Topside Resident (2)" :2,
"Topside Resident (1)" :2,
"Topside Resident (Male 1)" :2,
"Chocobo Bill" :1,
"Shock Trooper" :1,
"Subordinates" :1,
"Newspaper Reporter" :1,
"Train Attendant" :1,
"Undercity Resident (Intermission female)" :1,
"Undercity Resident (Intermission male)" :1,
"Counterfeiter" :1,
"Robed Man (wolves)" :1,
"Undercity Resident (Patron)" :1,
"Undercity Resident (Server)" :1,
"Mobile Officer" :1,
"Air Traffic Controller" :1,
"Avalanche Helicopter" :1,
"Shinra Employee (business)" :1,
"Shinra Employee (woman)" :1,
"Shinra Employee (table)" :1,
"Host" :1,
"Hologram Receptionist" :1,
"Soldier" :1,
"3-C Soldier" :1,
"Leslie'S Fiancée (Flashback)" :1,
"Neighborhood Watch Member (Male 4)" :1,
"Guest" :1,
"Undercity Resident (Female 6)" :1,
"Undercity Resident (Male 6)" :1,
"Undercity Resident (Woman)" :1,
"Bandit" :1,
"Security Officer (Computer)" :1,
"Undercity Resident (Male 5)" :1,
"Undercity Resident (Female 3)" :1,
"Neighborhood Watch Member (Male 1)" :1,
"Undercity Resident (Crash)" :1,
"NPC (Female)" :1,
"Neighborhood Watch Member (Not Found)" :1,
"Neighborhood Watch Member (2)" :1,
"NPC (Male 1)" :1,
"Avalanche Member" :1,
"Train Announcer" :1,
"Honeyboy" :1,
"Customer" :1,
"Staff (5)" :1,
"Vending Machine" :1,
"Staff (3)" :1,
"Spectator (male 4)" :1,
"Spectator (male 3)" :1,
"Spectator (female)" :1,
"Honeygirls" :1,
"Staff (Beasthandler)" :1,
"Staff (4)" :1,
"Singer" :1,
"Man In Line" :1,
"Undercity Resident (Older Man)" :1,
"Undercity Resident (Male 8)" :1,
"Undercity Resident (Female 5)" :1,
"Undercity Resident (Male 2)" :1,
"Undercity Resident (Female 4)" :1,
"Boy (4)" :1,
"Boy (3)" :1,
"Boy 2" :1,
"Boy 1" :1,
"Undercity Resident (5)" :1,
"Undercity Resident (4)" :1,
"Undercity Resident (Male 7)" :1,
"Station Worker" :1,
"Undercity Resident (Older Female)" :1,
"Undercity Resident (Male 1)" :1,
"NPC (Male 4)" :1,
"NPC (Male 3)" :1,
"Elite Grenadier" :1,
"Grenadier" :1,
"Passenger" :1,
"Mobile Unit Officer" :1,
"Undercity Resident (Male 4)" :1,
"Undercity Resident (Female 1)" :1,
"Marco" :1,
"Announcer (TV)" :1,
"Announcer (Train)" :1,
"Security Officer (8)" :1,
"Security Officer (7)" :1
