id,name,levelobjectid,charactername,gender,characterdescription,speechpattern,accent,race,appearance,characterarchetype,charactertype,ttsvoice,subcharacters,voices,agerange,isplayer,voeligible,member
03b42c99-35d1-a49e-ccd4-3278d2a169e2,,FollowerPlots/Odette/odt_grand_cleric_marcelline,,Grand Cleric Marcelline,Female,"One of the leaders of the Chantry, and the sister of Duke Bastien de Ghyslain.",,French,human,,,Minor,Heather22k_HQ,,,46,False,True,
35e020e4-cc28-5066-18f7-d103336a5529,,FollowerPlots/Odette/odt_duke_bastien,,Duke Bastien,Male,"Duke Bastien de Ghyslain is in his 80s and on his deathbed. He suffered a stroke and has been drifting in and out of consciousness for some time. His mistress, Odette, is a very powerful mage, however, and she concocts a potion that will restore his youth, hoping this will save his life. She is partially successful. He becomes younger, but it is not enough to save him in the end.",,French,Human,,,Minor,Ryan22k_HQ,,,28,False,True,
9f12f224-9aa1-efcd-cadc-0ae01ecad500,,Global/Followers/Solas,Solas,Solas,Male,"Solas is an elf who has lived most of his life as a solitary apostate. He is an expert on the Fade, the world of spirits and dreams. He is polite, reserved, calm, and difficult to antagonize. Years of study and seclusion have made him incredibly intelligent, but also skeptical of the value of most poltiical goals and ideals. As such, he tends to pragmatism rather than idealism. He responds well to people who are intelligent and clever, and thinks less of people who are thuggish and crude.

Note that some of his lines are marked ""ancient times"", which is when Solas is remembering something profound he experienced in the Fade. These lines are written with a specific cadence. They should NOT be sung or forced into a sing-song voice pattern, but knowing that there is a bit of rhythm there might help the actor.",,Welsh,Elf,,,Major,Graham22k_HQ,,,23,False,True,
65ca43d3-b981-7edf-b2d9-aeead0bfee40,,global/Followers/Cole,Cole,Cole,Male,"Cole appears to be a young man, shy and uncertain, who speaks with odd non sequitors that don't always make a ton of sense. In reality, however, Cole is a spirit who has crossed into this world, and who is trying to find out whether he is a spirit, a demon, or a real person.

Cole is first and foremost compassionate. He cares about people and cannot bear to see harm come to them. He tries to help people in the most direct (and often least beneficial, long-term) way possible. Most of the time, Cole hides from everyone -- most people cannot see him, or forget him after they interact with him, thanks to innate magic on Cole's part. He is only remembered by people important to him.

He thinks in terms of feelings and emotions, often unconsciously reading the feelings of others (though never in a way concrete enough to let the player really take advantage of it), so a lot of times, he'll be speaking thoughts that aren't his. He also uses synesthesia at times -- thinking of how a feeling tastes, or smells, or sounds. When he focuses enough to say something simple and direct, it is often an effort.

In his follower plot, Cole can be urged more toward the Spirit or Human side of things, which results in him either becoming more gentle and free-form in his thoughts, or more human and grounded.

Cole has a few distinct flavors that show up in almost all scenes. Iâve marked lines with these as a useful shorthand to give general voice feeling, although most lines will also have a specific context that should be respected as well:

Sensory: On these lines, Cole is either trying to interpret something outside the realm of human understanding or is reading someoneâs minds. These are going to have a lot of weird sensory crossover. Treat all punctuation here as essentially optional. Cole may be talking in a happy dreamy voice or rattling something off with urgent intensity, depending on the scene, but itâs always going to have this disjointed, run-on-sentence feeling to it, and the actor should run with that and use whatever read works best.

Empathic: On these lines, Cole is getting into someone elseâs mind, either lightly (in which case he might say, âShe sees the body on the tableâ) or deeply (in which case he would say, âI see the body on the table,â talking from the point of view of the person heâs reading). These often go along with the sensory lines, but Iâll try to mark them specifically for when weird pronoun usage pops up.

More Spirit: Lines marked âSpirit Onlyâ or âMore Spiritâ can sound a bit more flowing and loose, as though Cole is looking calmly and distantly at whatever is happening. Individual lines will have specific reads, of course, but in general, Cole as a spirit is much calmer and more relaxed about everything.

More Human: Lines marked âHuman Onlyâ or âMore Humanâ should have Cole sounding as close to ânormalâ as he gets. He usually makes more sense, and whether heâs offering normal advice or arguing or whatever, he should sound very close to ânormal person saying thisâ, with little of the free-association rambling that marks his other lines.",,Lower class British,Human,"A nondescript young man in a floppy shapeless hat, thin and always in motion. He can move with amazing speed and disappear into the shadows without a trace.",,Major,Peter22k_HQ,,,13,False,True,
fefaafd2-57f6-6b1e-476a-0eccf44d2d7f,,Global/Followers/Sera,,Sera,Female,"Sera is young, raw, frenetic. An activist passionate about causes, but also a selfish criminal. Robs from the rich, keeps it. Sheâs young and hasnât thought her beliefs through yet. She is impulsive, and itâs often not about whatâs right, itâs about whatâs right now. Has next to no self awareness.",,,Elven,,,Major,Laura22k_HQ,,,14,False,True,
e30a068f-c54a-2456-990f-356f8c588c41,,Global/Followers/IronBull,,Iron Bull,Male,"Iron Bull is a Qunari, a massive guy with huge horns and a monstrous ogrelike appearance. Most Qunari speak in a flat, reserved tone, but Iron Bull breaks the stereotype. He is boisterous, good-natured, confident, and relaxed. He's a guy who is always happy to indulge his appetites, whether you're talking food, drink, or women. It would be easy for him to come off as a thug, but he's just so damn likeable and charismatic that he pulls it off. Picture a former athlete who retired a couple of years ago and is now doing sideline commentary, happy to joke around and still confident that he could get out there and play if he wanted to.

Iron Bull is almost always casual. It's difficult to scare him (unless demons are involved), and the most you're going to get by way of disagreement is a wordless ""Oh, you gotta be kidding me"" grumble like you'd from somebody who just stepped in dog poop.

Most of this casual attitude comes from the fact that Iron Bull was essentially part of the secret police in his former life. He doesn't hide it, but in his life as a mercenary who occasionally sends reports, he's hiding FROM it. That grim resolve and constant paranoia burned him out, and he's afraid that if he takes things too seriously again, he'll just find more disappointment. Life is too short for that kind of pain, and it's a lot easier to relax and have fun.",,American,Qunari,"Tall, broad, and heavy. A big massive warrior. He lost an eye somewhere, and it gives him a savage appearance, but he's got an infectious grin that makes him look less scary.",,Major,Micah22k_HQ,,,1E,False,True,
0e8176e5-5363-71ee-06f3-14e59bad0670,,FollowerPlots/Solas/sol_mainplot_spirit,,Solas Follower Plot Spirit,Female,"A spirit of wisdom and grace. It was summoned to this world against its will, and corrupted by mages until it turned into a mindless demon. Now it is free, though dying. It speaks elven in the style of the ancient elves.

Processing for spirit.",,Welsh,Elf (spirit),,,Minor,Rachel22k_HQ,,,1E,False,True,
1f3a871a-7906-d20c-70ab-8774f9193d12,,FollowerPlots/Solas/sol_mainplot_keeper,,Solas Plot Summoner Mage,Male,"A mage from Kirkwall who was forced to leave after the Kirkwall Circle went rogue. He has been on the run from templars and bandits and is less a rebel than a scared man looking for safety. He has summoned a demon to defend him and his friends from bandits, but lost control of it, and now the demon is attacking people. General voice nervous, but intelligent enough to try to gloss over details that make him look bad.",,British,Human,,,Minor,Peter22k_HQ,,,2D,False,True,
Ebx da3/DesignContent/Characters/global/Followers/Blackwall [0aaaf116-f327-e7be-71fa-39325ef53064,,,,,Male,,,,,,,,,,,,,,
48d07d43-0d3b-95dd-33a7-0f131fc59c43,,FollowerPlots/Blackwall/blk_mainplot_bailiff,,Bailiff,Male,"A bailiff, overseeing the execution of Lieutenant Mornay.",,French,Human (Orlesian),,,Minor,Tyler22k_HQ,,,1E,False,True,
09736877-7a81-25b0-9a4d-62e9968843e6,,FollowerPlots/Blackwall/blk_mainplot_mornay,,Mornay,Male,"A veteran soldier, sentenced and imprisoned for crimes he was not fully responsible for. He's beat down, hopeless, and resigned to his fate.","Weathered, tired.",French,Human (Orlesian),,,Minor,Micah22k_HQ,,,28,False,True,
010093eb-1321-ce8f-314e-7f559f715c53,,FollowerPlots/Blackwall/blk_mainplot_agent_messenger,,Inquisition Agent,Male,An agent sent by Leliana to discuss something with the Inquisitor.,,Lower class British,Human,,,Minor,Graham22k_HQ,,,14,False,True,
3358d972-d58d-d668-000f-d20fdbc5322f,,Global/Specialist/Cullen,Cullen,Cullen,Male,"After serving as a templar for over ten years, Cullen is now Commander of the Inquisition's forces. He believes in the Inquisition's cause and is proving to be a strong leader. Cullen is trying to move on from the events of his past. Since DA2, he has taken a step back from his more extreme views. He still distrusts magic, but is less prejudice towards mages as people. Wishing to break from his old life, Cullen has stopped taking lyrium.

Cullen has been working with Leliana (the Inquisition's Spymaster) and Josephine (the Inquisition's Ambassador) for the past few months. During meetings, Cullen acts as a military advisor and tends to prefer the direct approach.",,Standard British,Human,,,Major,Ryan22k_HQ,,,1E,False,True,
e960fc9d-1b69-cde9-80bf-6936b5948dd9,,FollowerPlots/Blackwall/blk_recruitment_Farmer,,Giles,Male,A simple farmer who's just trying to get by.,,Lower class British,Human (Ferelden),,,Minor,,,,37,False,True,
0a849d9e-cd7d-cbae-b10f-4a545ca62bf9,,FollowerPlots/Blackwall/blk_recruitment_bandit_1,,Bandit 1,Male,A soldier from Blackwall's past who has had to turn to crime.,,French,Human,,,Minor,Ryan22k_HQ,,,1C,False,True,
d7bbeccf-71cb-e0de-4747-26da5abf3b9c,,FollowerPlots/Sera/sra_plot_noble_enemy,,Lord Pel Harmond,Male,The manipulator behind the ambush that tries to kill Sera. A haughty noble used to being in control of the situation because he can buy/sell anyone.,,Standard British,Human,,Manipulator,Minor,Graham22k_HQ,,,2D,False,True,
db168d3f-f4db-f1de-b475-2d301aa2889c,,FollowerPlots/Sera/sra_plot_scared_friend,,Mathius,Male,A lowerclass servant who has been bullied into acting as an ambush. Scared out of his mind.,,Standard British,Human,,,Minor,Ryan22k_HQ,,,19,False,True,
8926ed4b-019d-dc43-5f2f-c80c0097ed6b,,FollowerPlots/Sera/sra_plot_last_merc,,Male Mercenary,Male,A soldier of fortune,,Standard British,Human,,,Minor,Graham22k_HQ,,,1E,False,True,
4de93f42-f5e9-7fed-3135-c98afa841839,,FollowerPlots/Sera/sra_recruitment_noble,,Lord Marchande,Male,"A noble who is secretly a mage. Fanatical devotion, to the point of dying for hsi cause when discovered. Absolutely certain of his own righteousness.",Haughty,French,Human,"Rich mage. During combat, rich mage with an arrow through his mouth.",Cult leader,Minor,Graham22k_HQ,,,23,False,True,
cdaba41a-0723-2cdb-8c34-b829f8958297,,FollowerPlots/Sera/sra_recruitment_guard_01,,Hostile male guard 01,Male,A hired soldier,,French,Human,,,Minor,Tyler22k_HQ,,,19,False,True,
71f1f1af-67fa-0320-a720-342929428d6e,,FollowerPlots/Sera/sra_recruitment_guard_02,,Hostile female guard 01,Female,A hired soldier,,Standard British,Human,,,Minor,Laura22k_HQ,,,19,False,True,
3bc99515-dede-d34e-be1f-614888ee2f6f,,FollowerPlots/Sera/sra_recruitment_guard_03,,Hostile male guard 02,Male,A hired soldier,,Standard British,Human,,,Minor,Peter22k_HQ,,,19,False,True,
a7979f35-f826-d387-4f99-dcb5ab6663d9,,FollowerPlots/Dorian/dor_ponchard,,Ponchard de Lieux,Male,A scheming merchant who hopes to use the fact he holds something over Dorian to get the Inquisitor to provide him favors.,"Practical, business-like, ruthless",French,Human,,,Minor,Graham22k_HQ,,,32,False,True,
8c459576-8365-b445-52b3-ae384aa999c2,,Global/HUBs/in1_chantry_mother,,Revered Mother Giselle,Female,"Mother Giselle is a priest of the Chantry. She is a staunch traditionalist - the past made the Chantry the power it is today, and she sees no reason to go about changing traditions or questioning centuries-old doctrine. Mother Giselle believes in order, proper behaviour, and her god, the Maker, above all things.",,French,Human,"A Chantry cleric. In her mid-50s. Grey hair, a few wrinkles on her face. The strain of events is wearing on her.",,Medium,Heather22k_HQ,,,37,False,True,
Ebx da3/DesignContent/Characters/global/Followers/Dorian [8671c526-9464-3db0-dffd-1873dd51450b,,,,,Male,,,,,,,,,,,,,,
18b137a6-89f6-f3ed-b5ce-de591b417f84,,FollowerPlots/Dorian/dor_halward_pavus,,Magister Pavus,Male,"This is Dorian's father, a respected and wealthy magister back in Tevinter. Deep down he's a principled man, but he's very traditional. He believes that duty to the family should come first, and thus he doesn't understand why his son and heir would willingly cast aside everything he considers important to pursue ""idle pleasures"". Since Dorian wouldn't see reason, he resorted to forbidden magic to try and change him-- and that's what split Dorian and his father apart. He knows it was wrong, but he was desperate. Appearances in Tevinter are everything, and to Dorian's father this is just his duty to keep the family legacy from falling apart.","Cultured, stern but not unkind. He's a good man, a paternal authority figure.",British Indian,Human,,,Minor,Graham22k_HQ,,,32,False,True,
d96faefc-5e78-f17c-53cb-b86578b24fb9,,FollowerPlots/Cole/cole_mainplot_templar,,Cole Main Plot Former Templar,Male,"This is the templar who killed the (real, human) Cole years ago in the Circle at Val Royeaux. He has since fled the templars and eked out a life in a village, buying lyrium from carta dwarves and protecting the village from outside threats. Still young, but old enough to have been disillusioned by watching organizations go to war while he was caught in the middle.",,French,Human,,,Minor,Ryan22k_HQ,,,19,False,True,
Ebx da3/DesignContent/Characters/global/Followers/Varric [cd55830f-88f4-c8f0-dbaa-600bdace9847,,,,,Male,,,,,,,,,,,,,,
02d8b597-6c03-665a-6b32-b6c567d198ce,,FollowerPlots/Cole/cole_friendly_greeter,,Cole Friendly Scene Greeter,Male,The greeter at a posh dining establishment in Val Royeaux. He is *very* happy to have the Inquisitor patronize his establishment.,,French,Human,,,Minor,Graham22k_HQ,,,2D,False,True,
c6110280-38bf-0dbe-9a1c-ae6f15e86b96,,global/Specialist/leliana,Leliana,Leliana,Female,"Leliana was once the companion of the Hero of Ferelden. After the Blight, she became the Left Hand of the Divine, and was tasked with handling the spies who worked for Divine Justinia V. She is now the Inquisition's spymaster. He methods are efficient, but often ruthless.",,French American,,,,Major,Rachel22k_HQ,,,25,False,True,
be667af9-9b6d-2463-b8c7-17d134b9265b,,global/Specialist/Joesphine,Josephine,Josephine,Female,"The Ambassador to the Inquisition, Josephine Montilyet is a potential love interest in her late 20s. Prim, orderly, and educated, her manner is proper and professional. Josephine strongly wants to convey a sense of dignity befitting her position as an Antivan noblewoman and a diplomat.

An old acquaintance of the Divineâs Left Hand, Josephine was asked by Leliana to become the Inquisitionâs Ambassador, a trusted diplomat who forges alliances and bridges hostilities with tact, favors, and connections. Josephine is a planner who understands something as audacious as resurrecting the Inquisition requires substantial support from Thedas' rich and powerful. Fortunately she enjoys a challenge, and believes the Inquisition is in the best way to halt the chaos stemming from the death of the Divine. The pragmatic Josephine wants stability to return in the quickest fashion possible. 

Josephine is the eldest child of an old house of nobility that was driven to exile in Antiva. She feels responsible for the fortunes of her family, since she's first in line to become the head of her household. Josephine ambitiously dreams of bringing the name Montilyet the clout she feels its ancient lineage deserves. Thereâs a spark of an idealist in Josephine â rules and orders should be used to make peopleâs lives better â but she doesnât know it's there yet.",,Italian,Human,Human Noble,,Major,Lucy22k_HQ,,,1C,False,True,
14f1b1ef-f230-3a52-5bf6-f291c2632289,,FollowerPlots/IronBull/bull_merc_buddy,,Cremisius Aclassi,Female,"Cremisius ""Crem"" Aclassi is the second in command of Bull's Chargers (Iron Bull's mercenary group). Experienced and intelligent, Crem is a trusted lieutenant who does most of the complex work Iron Bull can't be bothered with. Crem and Bull have a friendly trash-talking relationship -- they give each other grief as two veteran soldiers, but that informality covers a layer of deep mutual respect.

Cremisius was born in Tevinter as a woman but identified as a man. Because the Tevinter Imperium doesn't tolerate people cross-dressing and changing their gender identities, Crem was forced to flee Tevinter for more accepting cultures. Now, he acts (and is identified as) male in all cases, but should be voiced by a female (or trans-male) actor doing a masculine voice.","Slightly deep and consciously masculine speech pattern, despite female (or trans-male) voice actor.",British,,,,Minor,Deepa22k_HQ,,,19,False,True,
c461850b-9818-5264-7f56-4ec0571a9ba3,,FollowerPlots/IronBull/bull_merc_dalish,,Iron Bull Merc Band Dalish Elf,Female,"A Dalish elf who left her clan and has now joined Iron Bull's mercenary band. You're secretly a mage -- that's why you left your clan -- but you hide it (badly) from people, since you know you'd be considered an apostate out here in the normal world.",,Irish,Elf,,,Minor,Laura22k_HQ,,,19,False,True,
503fadee-b6f8-b0ea-ea38-b04205e87088,,FollowerPlots/IronBull/bull_merc_cityelf,,Iron Bull Merc Band City Elf,Female,"An elf escaped from an Orlesian alienage, now part of Iron Bull's mercenary company. Angry and with a bit of a chip on your shoulder, but happy to be part of the team.",,French,Elf,,,Minor,Tracy22k_HQ,,,16,False,True,
95662176-5cb8-f197-ab78-a58ff8d3b83f,,FollowerPlots/IronBull/bull_mainplot_contact,,Iron Bull Plot Ben-Hassrath,Male,"An elf agent for the Ben-Hassrath who is meeting Iron Bull and the Inquisitor for a possible alliance. A ""good, kind"" face of the Qunari, polite and respectful, but still a believer in the Qun.",,Lower class British,Elf,,,Minor,PeterHappy22k_HQ,,,19,False,True,
94d0518c-cc9a-5ff9-2253-b385f0c9d52f,,FollowerPlots/IronBull/bull_assassin,,Ben-Hassrath Assassin for Bull,Male,An assassin sent from the Ben-Hassrath to kill Iron Bull after Bull becomes Tal-Vashoth. Barks a single line in Qunari language before dying.,,Lower class British,Human,,,Minor,Peter22k_HQ,,,14,False,True,
6b0dcc9d-fb19-0cc1-5621-0dfc00333131,,FollowerPlots/IronBull/bul_merc_dwarf,,Iron Bull Merc Band Dwarf,Male,"A dwarf from Orzammar, member of Iron Bull's mercenary group, Enthusiastic and intelligent. You're a sapper, an expert on taking down enemy fortifications.",,U.S.,Dwarf,,,Minor,Tyler22k_HQ,,,19,False,True,
1ef67a61-6356-1f98-9bb9-8fbad39b83b5,,FollowerPlots/IronBull/bull_merc_doc,,Iron Bull Merc Band Doc,Male,"A soldier with a background as a healer. You're part of Iron Bull's mercenary band, the experienced veteran who looks after the new recruits.",,British,Human,,,Minor,Peter22k_HQ,,,28,False,True,
75b952ba-66f3-1f28-06c0-ddeffab12749,,FollowerPlots/IronBull/bul_merc_grim,,Iron Bull Merc Band Grim,Male,A mercenary in Iron Bull's mercenary band. You're a grim loner who speaks almost entirely in grunts.,"Monosyllabic grunts at all times, as though words are too much work.",British,Human,,,Minor,Micah22k_HQ,,,1E,False,True,
Ebx da3/DesignContent/Characters/global/Followers/Cassandra [d8dcdc9d-f325-f3b9-a9f6-ce75bc16175e,,,,,Female,,,,,,,,,,,,,,
9c4ec8f8-09cb-4ec2-83bd-82adb909f5ac,,Global/gc1_gc1_Lord_Seeker_01,npc_gc1_TemplarGuard_01,Lord Seeker Lucius Corin,Male,"The head of the Seekers, a religious order of knights who police the Templars. This version has secretly been replaced by a doppelganger. He is strong, cold, a hint of a growl in his sneer. Perfectly calm until completely losing his mind.",Educated but spartan,British,Human,,,Medium,PeterSad22k_HQ,,,23,False,True,
a4bd2573-d42b-f274-4c42-12dd7c1c6451,,FollowerPlots/Cassandra/cas_mainplot_daniel,Seeker Daniel,Seeker Daniel,Male,"A young and promising Seeker who was once under Cassandra's tutelage. She finds him dying of red lyrium corruption. At that point, he's weak and in a great deal of pain-- quickly dying-- and has realized his mistakes only too late.",,British,Human,,,Minor,Tyler22k_HQ,,,14,False,True,
76140ef1-673d-f8dc-60cd-00a850f58d98,,FollowerPlots/Cassandra/cas_romance_bookseller,Bookseller,Dwarven Bookseller,Male,"A refined, articulate dwarven merchant who sells books and other scholarly supplies.",,American,Dwarf,,,Minor,Ryan22k_HQ,,,1E,False,True,
608f2637-e6ec-6f26-0610-c1d57554bc4b,,FollowerPlots/Varric/var_bianca,,Bianca,Female,"The brilliant, but maybe not particularly moral, dwarven smith responsible for building Varric's crossbow.",,American,Dwarf,,,Minor,,,,23,False,True,
Ebx DA3/designcontent/Characters/Ferelden/fer_Wilderness_010/Cre_Chantry_Mother [701e431a-59f3-6226-7cee-ec9d2b588174,,,,,Female,,,,,,,,,,,,,,
Ebx DA3/designcontent/Characters/Ferelden/Cre_bandit_01 [a4b575d7-6aa0-6e76-943d-b64b4bb19abd,,,,,Male,,,,,,,,,,,,,,
Ebx DA3/designcontent/Characters/Ferelden/Cre_bandit_03 [00384bcd-8a96-364f-c82c-bea074d9dcc3,,,,,Female,,,,,,,,,,,,,,
Ebx DA3/designcontent/Characters/Ferelden/fer_Wilderness_010/Cre_annoyed_fade_spirit [53565578-eabc-4afe-bb77-9811a42e6f08,,,,,Female,,,,,,,,,,,,,,
Ebx DA3/designcontent/Characters/Ferelden/fer_Wilderness_010/fer_lake_villager_m4 [31ce6508-a04d-d661-4533-7a33647f77fd,,,,,Male,,,,,,,,,,,,,,
a2b35ea4-cf01-9efb-2665-8c646369c86f,,InquisitionBase/FirstBase/in1_flavor_ambs_elder_1,,Charter (Haven Elven Inquisition Agent),Female,An Inquisition spy trying to gather information on who destroyed the Conclave and why.,,British,Elf,,,Minor,Laura22k_HQ,,,1E,False,True,
Ebx DA3/designcontent/Characters/Ferelden/fer_Wilderness_010/fer_lake_villager_m1 [99d1b225-957a-bb7f-e753-70f9cab47b34,,,,,Male,,,,,,,,,,,,,,
Ebx DA3/designcontent/Characters/Ferelden/Cre_bandit_04 [301a4efa-2326-dec2-8905-38a427f5bad2,,,,,Male,,,,,,,,,,,,,,
Ebx DA3/designcontent/Characters/Ferelden/fer_Wilderness_010/fer_lake_villager_m3 [fa3104ed-08a6-3bb6-2253-c20e1861310c,,,,,Male,,,,,,,,,,,,,,
Ebx DA3/designcontent/Characters/Ferelden/fer_Wilderness_010/Cre_villager_grieving_father [4a26cb91-fdf6-8ee6-e779-f56e0c824b98,,,,,Male,,,,,,,,,,,,,,
Ebx DA3/designcontent/Characters/Ferelden/fer_Wilderness_010/fer010_lake_magistrate [32c27470-ffe2-1b02-2fc2-8935892903f4,,,,,Male,,,,,,,,,,,,,,
Ebx DA3/designcontent/Characters/Ferelden/fer_Wilderness_010/fer_lake_villager_m2 [fd38c65a-4a6a-d888-5d47-0d0516ea05d5,,,,,Male,,,,,,,,,,,,,,
27ae4389-c793-4673-321a-397aac750d6b,,Adamant/ada_crs_good_warden_leader,,Grey Warden Hunting Party Leader,Male,"The leader of a group of Grey Wardens who are hunting for the Warden Ally. He is a good low-ranking soldier following orders, and as far as he is concerned, he is fighting for truth and justice and the freedom of people everywhere.",,Lower Class British,Human,,,Minor,,,,19,False,True,
Ebx DA3/designcontent/Characters/Ferelden/fer_Wilderness_010/Cre_villager_naturalist_a [22ab950e-1246-0f97-f122-c39b0aee8825,,,,,Female,,,,,,,,,,,,,,
0df6cb4d-a0c8-1abb-30a3-bb2e65c64ee9,,Ferelden/fer_Wilderness_010/Cre_keep_Soldier_03,,Crestwood Keep Soldier 03,Male,A professional soldier working for the Inquisition.,,British,Human,,,Minor,Graham22k_HQ,,,19,False,True,
1c8f2956-cb30-65b1-b02e-ccd6791a3832,,Ferelden/fer_Wilderness_010/Cre_keep_soldier_04,,Crestwood Keep Soldier 04,Female,,,British,Human,,,Minor,Laura22k_HQ,,,19,False,True,
7bcb4027-8a62-fe6b-3875-2105d8c1bd53,,Adamant/ada_crs_warden_protector,,Grey Warden Hunting Party Warrior,Male,"Part of a group of Grey Wardens who were hunting for a renegade member of their order but are now stopped to protect villagers from an attack by walking corpses. A junior recruit, he is eager to show his skills and protect people.",,Lower Class British,Human,,,Minor,,,,14,False,True,
db0a387a-eb83-8edc-067d-a8e0daa48925,,Adamant/ada_crest_potential_recruit,,Starstruck Potential Recruit,Female,"A young elven woman in Crestwood. She is saved by Grey Wardens from an attack on her village, and as a result, the grateful and starstruck young woman considers joining their order. Imagine a sheltered 18-year-old who has just been saved by a big hunky firefighter and has Had Her Life Changed.",,Lower Class British,Elf,,,Minor,,,,12,False,True,
Ebx DA3/designcontent/Characters/Ferelden/fer_Wilderness_010/fer_lake_villager_f2 [039af08f-139b-61da-4f7b-47d424688504,,,,,Female,,,,,,,,,,,,,,
2e0b2cb7-af5f-335f-a5ae-9d8b20fe0d34,,Ferelden/fer_Wilderness_010/fer_lake_villager_f1,,Worried Villager,Female,A villager in Crestwood. Worried about how your village will survive after attacks by monsters and bandits.,,British,Human,Ferelden peasant,,Minor,Ryan22k_HQ,,,19,False,True,
c4b3d94c-ae05-8d0c-f76a-71346366c90e,,Ferelden/fer_Wilderness_010/Cre_keep_soldier_01,,Crestwood Keep Spy 01,Male,"A professional spy, working for the Inquisition.",,British,Human,,,Minor,Peter22k_HQ,,,28,False,True,
c43feffc-2b97-9042-8e0d-c1f440386f55,,Ferelden/fer_Wilderness_010/Crestwood_Keep_Soldier_02,,Crestwood Keep Spy 02,Female,"A professional spy, working for the Inquisition.",,British,Human,,,Minor,Rachel22k_HQ,,,28,False,True,
1d5b4683-1a67-4e63-b377-39daa6316407,,Global/fer_forward_scout,,Forward Scout Harding,Female,"A professional Inquisition scout who grew up near Redcliffe. Friendly and intelligent, she becomes one of the Inquisitionâs master scouts very quickly. A small-town girl who has hit it big and loves that she is helping make the world better. She can be sassy once she gets to know the Inquisitor better.",,American,Dwarf,,,Minor,Rachel22k_HQ,,,19,False,True,
Ebx DA3/designcontent/Characters/Ferelden/fer_Wilderness_010/Cre_keep_spy_05 [16586c3e-e490-4fc0-99f6-27c955821d2f,,,,,Male,,,,,,,,,,,,,,
Ebx DA3/designcontent/Characters/Ferelden/fer_Wilderness_010/Cre_keep_merchant [7cca7f5e-7f6d-3d19-546e-2283a785781e,,,,,Female,,,,,,,,,,,,,,
Ebx DA3/designcontent/Conversations/Cre_keep_spy_09 [e1d4a4ab-e9eb-daa9-f9b1-6e6d9ff9459f,,,,,Male,,,,,,,,,,,,,,
Ebx DA3/designcontent/Characters/Ferelden/fer_Wilderness_010/fer_lake_villager_f3 [bd826715-6644-8942-3a62-4d11863d1fa5,,,,,Female,,,,,,,,,,,,,,
Ebx DA3/designcontent/Characters/Ferelden/fer_Wilderness_010/Cre_concerned_villager [c74fbb7b-d387-7d33-dcc1-f77857e5fcb3,,,,,Male,,,,,,,,,,,,,,
