CharName,Line,LastNamedChar,LastButOneNamedChar,location
UnknownChar33,"Sorry, neighbor. That's one piece of dirt I don't have.",Yuri,Yuri,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_030_010
UnknownChar34,"THE Mordio? You mean to say you've got connections ta the famed mage from Aspio, the City of Scholars?",Yuri,Yuri,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_030_010
UnknownChar35,"Oho! Want ta know, huh? I'm afraid that information won't come cheap ... ",Yuri,Yuri,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_030_010
UnknownChar36,"W-wait, that's not it. He's the, uh, the head of the gourmet guild! No wait, it's the, uh, I mean ... ",Yuri,Yuri,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_030_010
UnknownChar37,Out.,Yuri,Yuri,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_030_010
UnknownChar38,"Ah well, just when things were gettin' good.",Yuri,Yuri,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_030_010
UnknownChar39,Hurry up.,Yuri,Yuri,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_030_010
UnknownChar40,Whoa!,Yuri,Yuri,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_030_010
UnknownChar41,Beneath the statue of the goddess.,Yuri,Yuri,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_030_010
UnknownChar42,"All right, easy. I'm coming.",Alexei,Yuri,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_030_010
UnknownChar43,Who's there?!,,,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_030_030
UnknownChar44,You again!,Yuri,,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_030_030
UnknownChar45,How'd you get away?! You little ... Get over here!,Yuri,Yuri,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_030_030
UnknownChar46,Why don't we just go back?,,,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_030_040
UnknownChar47,I can't go back now!,,,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_030_040
UnknownChar48,"This is for your own good, Miss, you know that.",,,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_030_040
UnknownChar49,"As for the “incident”, we assume full responsibility and will inform the lieutenant ourselves.",,,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_030_040
UnknownChar50,How can you say that when you haven't done anything to help me?,,,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_030_040
UnknownChar51,"Please, don't come any closer.",,,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_030_040
UnknownChar52,"Now, now, why don't you put that down? You'll only end up hurting yourself ... ",,,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_030_040
UnknownChar53,I know how to use a sword!,,,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_030_040
UnknownChar54,I'm afraid you leave us no choice. I was hoping it wouldn't come to this.,,,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_030_040
UnknownChar55,Hey! There she is! This way!,,,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_030_040
UnknownChar56,"Please, you've got to let me go!",,,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_030_040
UnknownChar57,I have to warn Flynn!,,,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_030_040
UnknownChar58,Aaah!,Yuri,Yuri,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_030_040
UnknownChar59,Hey!,Yuri,Yuri,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_030_040
UnknownChar60,Flynn?! You came to help me ... ?,Yuri,Yuri,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_030_040
UnknownChar61,W-who are you?,Yuri,Yuri,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_030_040
UnknownChar62,Identify yourself!,Yuri,Yuri,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_030_040
UnknownChar63,"Careful, I think he's got a blastia.",Yuri,,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=BTL_EP_030_040
UnknownChar64,It shouldn't be a problem if we take him together.,Yuri,,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=BTL_EP_030_040
UnknownChar65,"Want some more, huh?",Yuri,Yuri,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_030_040b
UnknownChar66,Let's finish him!,Yuri,Yuri,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_030_040b
UnknownChar67,Aaah!,Yuri,Yuri,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_030_040b
UnknownChar68,Aaah!,Yuri,Yuri,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_030_040b
UnknownChar69,Hyah!,Yuri,Yuri,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_030_040b
UnknownChar70,"Well ... you don't belong in the castle, right?",Yuri,Yuri,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_030_040b
UnknownChar71,Yuri Looowell! Where are yooou?,Yuri,Yuri,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_030_040b
UnknownChar72,"Louder, fools! Say it like you mean it!",Yuri,Adecor,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_030_040b
UnknownChar73,"Yuri Lowell? You're one of Flynn's friends, aren't you?",Boccos,Yuri,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_030_040b
UnknownChar74,And you used to belong to the Imperial Knights?,Yuri,Boccos,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_030_040b
UnknownChar75,Yes.,Yuri,Yuri,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_030_040b
UnknownChar76,Yuri! I need to talk to Flynn!,Yuri,Yuri,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_030_040b
UnknownChar77,Over here!,Yuri,Yuri,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_030_040b
UnknownChar78,"Ah, yes!",Yuri,Yuri,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_030_040b
UnknownChar79,"Oh, you're right. What could it be?",Yuri,,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_030_050
UnknownChar80,"Yeah, it was around here ... ",,,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_030_070
UnknownChar81,Then ... That means I'm too late.,Yuri,Yuri,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_030_080
UnknownChar82,Me? I haven't done anything wrong.,Yuri,Yuri,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_030_080
UnknownChar83,"Um, you see ... Yuri!",Yuri,Yuri,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_030_080
UnknownChar84,"I can't be specific, but Flynn is in terrible danger!",Yuri,Yuri,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_030_080
UnknownChar85,I've got to go and warn him.,Yuri,Yuri,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_030_080
UnknownChar86,I wish I knew ... ,Yuri,Yuri,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_030_080
UnknownChar87,"In that case, would you take me with you? Please?",Yuri,Yuri,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_030_080
UnknownChar88,"Other than Flynn, there's no one I can depend on.",Yuri,Yuri,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_030_080
UnknownChar89,Will you at least help me get out of the castle?,Yuri,Yuri,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_030_080
UnknownChar90,"Please, I'm begging you.",Yuri,Yuri,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_030_080
UnknownChar91,Aaah!,Yuri,Yuri,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_030_080
UnknownChar92,Prepare to fall victim to my blade ... ,Yuri,Yuri,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_030_080
UnknownChar93,"Yuri, let me help you!",Yuri,Zagi,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=BTL_EP_030_080
UnknownChar94,But--!,Yuri,Yuri,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=BTL_EP_030_080
UnknownChar95,I will.,Yuri,Zagi,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=BTL_EP_030_080
UnknownChar96,He's not Flynn!,Yuri,,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_030_080b
UnknownChar97,"Zagi, we're leaving. The Knights are onto us.",Yuri,Zagi,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_030_080b
UnknownChar98,How dare you!,Yuri,Zagi,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_030_080b
UnknownChar99,"Hurry, before the Knights get here. Or would you rather have your fun end today?",Zagi,Yuri,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_030_080b
UnknownChar100,"Yuri, um.",Yuri,Yuri,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_030_080b
UnknownChar101,"When are you going to fix the fountain, Sir Knight?",Estellise,Hanks,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_040_050
UnknownChar102,"Hey cool, a knight!",Estellise,Hanks,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_040_050
UnknownChar103,Hooray! Hooray!,Estellise,Hanks,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_040_050
UnknownChar104,Won't you help this old man find his dentures?,Estellise,Hanks,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_040_050
UnknownChar105,Don't you make her cry!,Leblanc,Estellise,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_040_050
UnknownChar106,This might come in handy if you're going to Halure.,Yuri,Leblanc,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_040_050
UnknownChar107,What did you expect? It's better than nothing considering people don't normally leave the city.,Yuri,Yuri,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_040_050
UnknownChar108,You'll have to fill in the empty spaces on your own.,Yuri,Yuri,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_040_050
UnknownChar109,"First off, you should head for Deidon Hold to the north.",Yuri,Yuri,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_040_050
UnknownChar110,Welcome. I've got some nice gear in stock today.,Yuri,Yuri,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_050_010
UnknownChar111,This blade was forged by none other than Assam the blademaster. It even comes equipped with weapon skills.,Yuri,Yuri,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_050_010
UnknownChar112,No traveler should be without them. Feel free to give it a try.,Yuri,Yuri,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_050_010
UnknownChar113,"My, this young lady knows her stuff. That about sums it up.",Estelle,Estelle,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_050_010
UnknownChar114,In order to find the fighting style that meets your needs ... ,Yuri,Estelle,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_050_010
UnknownChar115, ... it's best to think carefully about weapon skills when choosing your weapon.,Yuri,Estelle,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_050_010
UnknownChar116,"There are even weapons without weapon skills, that focus instead on raw attack power. It all depends on your preference.",Yuri,Estelle,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_050_010
UnknownChar117,If a weapon has weapon skills sealed inside it ... ,Yuri,Estelle,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_050_010
UnknownChar118, ... those weapon skills will be stored inside your bodhi blastia when you keep the weapon equipped for a while.,Yuri,Estelle,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_050_010
UnknownChar119,"If you have a weapon equipped, you can use the weapon skills sealed inside whenever you want.",Yuri,Estelle,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_050_010
UnknownChar120,"However, if you unequip that weapon, you'll have to set the weapon skills to be able to use them.",Yuri,Estelle,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_050_010
UnknownChar121,Each weapon skill belongs to one of four different categories.,Yuri,Estelle,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_050_010
UnknownChar122,"When you set a few different skills, depending on what category they are ... ",Yuri,Estelle,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_050_010
UnknownChar123, ... a particular glyph will appear on the core of your bodhi blastia.,Yuri,Estelle,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_050_010
UnknownChar124,"So, if you had a bunch of weapon skills for attacking, you'd see a glyph called fleck.",Yuri,Estelle,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_050_010
UnknownChar125,That glyph lets you know the strength of your physical attacks has gone up.,Yuri,Estelle,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_050_010
UnknownChar126,Try all of the combinations you can think of to see what they do.,Yuri,Estelle,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_050_010
UnknownChar127,I'm afraid the sun would set long before I could explain them all to you.,Yuri,Estelle,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_050_010
UnknownChar128,Did you get all of that?,Yuri,Estelle,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_050_010
UnknownChar129,You learn fast.,Yuri,Estelle,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_050_010
UnknownChar130,You should be able to read all about it in that young lady's book.,Yuri,Estelle,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_050_010
UnknownChar131,"Hmmm, well, it is pretty complicated.",Yuri,Estelle,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_050_010
UnknownChar132,You should be able to read all about it in that young lady's book.,Yuri,Estelle,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_050_010
UnknownChar133,"Don't get me wrong, I'm not here because I want to be.",Yuri,Yuri,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_050_010
UnknownChar134,"There are monsters on the far side of the Hold, so I'm stuck.",Yuri,Yuri,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_050_010
UnknownChar135,"That's all right, go ahead and take it. It's pretty old and it has some pages missing, but it's yours if you like.",Estelle,Yuri,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_050_010
UnknownChar136,"Hurry, get inside! The gate's closing!",,,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_050_020
UnknownChar137,Arrows! Bring the arrows!,,,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_050_020
UnknownChar138,Shut the gate now!,,,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_050_020
UnknownChar139,Dammit! What are they doing here this time of the year.,,,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_050_020
UnknownChar140,The monsters will fall back if we stop the main charge! Remember your training!,,,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_050_020
UnknownChar141,Okay! They're all in! Close it up!,,,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_050_020
UnknownChar142,Hold the gate! There's still more ... ,,,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_050_020
UnknownChar143, ... ?! The gate!,Yuri,Yuri,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_050_020
UnknownChar144,Wh-what the hell! Cut it out!,Repede,Yuri,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_050_020
UnknownChar145,P-Please ... I can't get up ... Owww ... ! The monsters! The monsters!,Yuri,Estelle,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_050_020
UnknownChar146," ... Hey, I can ... I can stand ... ",Estelle,Yuri,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_050_020
UnknownChar147,"My doll, mama's doll!",Estelle,Estelle,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_050_020
UnknownChar148,How can I ever thank you?,Estelle,Yuri,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_050_021
UnknownChar149,I'm not sure what I would have done if you hadn't cured me. Thanks!,Estelle,Estelle,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_050_021
UnknownChar150,You two there. I'd like to have a word with you.,Yuri,Estelle,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_050_021
UnknownChar151,So why don't you let us through? I'll beat those monsters to a pulp with these fists of mine!,Yuri,Estelle,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_050_021
UnknownChar152,How many times do I have to say it? These monsters are tougher than you think!,Yuri,Estelle,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_050_021
UnknownChar153,You dare to doubt the power of the monster hunters?,Yuri,Estelle,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_050_021
UnknownChar154,S-stop!,Yuri,Estelle,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_050_021
UnknownChar155,"Stay out of this! You Knights cheated us out of a job back there, and now we're gonna work off some steam!",Yuri,Estelle,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_050_021
UnknownChar156,"Hey, hold it!",Yuri,Estelle,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_050_021
UnknownChar157,It's always the same with these guild idiots!,Yuri,Estelle,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_050_021
UnknownChar158,"You there, how about coming to work for me? You'll be paid, of course.",,,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_050_030
UnknownChar159,"Watch your manners around the President. Well, whaddya say?",,,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_050_030
UnknownChar160,Watch your mouth!,Yuri,,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_050_030
UnknownChar161,"You're just as charming as I expected. I'm Kaufman of the merchants' guild, Fortune's Market.",Yuri,,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_050_030
UnknownChar162,We handle everything from trade to distribution.,Yuri,,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_050_030
