name,gender,offer,accept,refuse
A0C00Y08#_questgiver_,male,"My name is unimportant. All you need to know is that I need someone who isn't afraid to spill a little blood for, say, _gold_ gold. Tell me now if you're not interested. Are you willing to take this job? // Shhh! Keep your voice down. Before I say anything else, are you the kind of %ra that will kill for gold? How about _gold_ gold? // I am looking for someone that won't faint at the sight of blood. Human blood. For _gold_ gold, would you kill a man?",I want _darkb_ killed. The problem is that the Dark Brotherhood won't take the job. Something about a favor they owe. I need an independent. Do the job and get back to me within a week and I'll pay you the _gold_ gold. Just ask for _questgiver_. I'll be waiting right here for you.,You never saw me. // Scram. I don't want anyone to see us talking together. // Fine. Be that way.
A0C00Y10#_giver_,random,"Excuse me?! Can't you see I'm busy, you smelly %ra? Are you looking for trouble or something? // What? What did you say? I hope I didn't hear you say something. Did you say something? // Can't you see I'm busy?! And not in a good mood, I might add! If you don't leave now, there could be trouble. Is that what you want? // Well, excuse me! Didn't want to get in your way, you fat %ra pig. You want to step outside?","Oh... you want to play, do you? // I think we've got a live one! // Well... looks like my day just got more interesting! // You really are as stupid as you look! Fine, %ra, I'll play too. // So that's the way you want it! I'm game to any %ra!",That's more like it. Now shove off. // I didn't think so. Go on with whatever you do. // Didn't think you would say yes anyway. Now begone with yourself.
A0C00Y11#_giver_,male,"Excuse me, are you a doctor or have you any healing abilities? I really need someone that can heal my cousin. // My cousin is dying! Can you help me?","Thank you, thank you! My name is _giver_. I recently received word that my cousin _cousin_ of ___cousin_ is deathly ill and will probably die in =questtime_ days! Whatever you can do to cure %g2 will be greatly appreciated. Here is _gold1_ gold. I will pay you _gold2_ gold more if you can heal %g2.",Damn. I could have used some help. // Just my luck. Thanks anyway. // I'm sorry to bother you then.
A0C00Y12#_giver_,male,"Pardon me. Have you ever read the book _book_? It is excellent, and I have a first printing of it. Or, might I say, had a first printing. Seems someone has taken it. I'll gladly pay _gold_ gold pieces to the first one who returns it to me. Do you think you can find it?","Great! It is very important to me, being a first printing and all. Unfortunately, I have no idea who took it. You may try to ask around town.",Too bad. I really need to find that book.
A0C00Y14#_questgiver_,random,"My name is _questgiver_. I have a simple task. If you could see your way to delivering an item to a friend of mine, I would be grateful to the tune of _gold_ gold pieces. What do you say, %pcf? // Hi, I'm _questgiver_. I need someone to drop off an item for me. It's a just a short trip across town, but I'm too busy right now. There's _gold_ gold in it for ya.","Great! Here is the package. Take it to _pickuplocal_ here in town. %g will pay you. It needs to be there by this time tomorrow. // At last, someone willing to work for a living. Just take this to _pickuplocal_ here in town. %g'll give you the _gold_ gold. Get it to %g2 by this time tomorrow.",Too bad. // You don't have to get uppity about it! // I'll have to find someone willing to work for a living.
A0C00Y15#_questgiver_,random,"I have heard of you, %pcn. I am _questgiver_. May I beg a boon of you? Are you passing by ___pickupregion_ any time soon? If so, I need to deliver a package to someone there. I would gladly pay you _gold_ gold pieces. // Your reputation precedes you, %pcn. I am in need of a courier. Would you by chance be heading toward ___pickupregion_ anytime soon? Could I entrust you to drop off a package there for me? I would pay you _gold_ gold pieces for your trouble.","Great! Take this package to ___pickupregion_ and ask for _pickupregion_. %g will pay you. It needs to be there in =traveltime_ days. Here is the package. // What luck! My friend is _pickupregion_ in ___pickupregion_. Just ask around, everyone knows %g2. %g will pay you right away. If you take longer than =traveltime_ days, you might as well throw it away. Here it is.",Too bad. // I'll have to find someone willing to work for a living. // You must be a different %pcn than the one whom I've heard so much about.
A0C00Y16#_questgiver_,male,My name is _questgiver_. Can you help me find my friend? I can only pay you _gold_ gold. // Please help me. My friend _missingperson_ is missing. I am afraid that %g might have been hurt. I will pay you _gold_ gold pieces if you find %g2.,"My prayers have been answered. _missingperson_ has not been seen for four days, and I am very worried about %g2. %g has been seen consorting with _friend1_ and _friend2_. You might want to start with them. If you can't find _missingperson_ within two days, you need not search any further.","Good day, %ra. I will look for someone else. // Is no-one willing to help me? // A thousand pardons. I mistook you for a heroic adventurer."
A0C00Y17#_questgiver_,male,I am _questgiver_. I am in need of an escort. Would you protect me on my journey to __destination_? It's less than =traveltime_ days from here. // My name is _questgiver_. I have to get out of ___questgiver_ right away. I want to hire you to guard me on my journey to __destination_. I can pay you _gold_ gold pieces. // You have to help me! My name is _questgiver_. I need to get to __destination_ within =traveltime_ days and I need an escort.,"Blessings upon you, %pcn. I travel light, so I'm ready to go. I know you don't work for free. Take me to _destination_ in __destination_ and I'll pay you _gold_ gold when we get there.",I guess I'll have to find someone else to protect me on my journey. // Heartless oaf!
A0C01Y01#_qgiver_,random,"%pcn, I fear for my very life. Will you protect me? _villains_s have threatened to kill me tonight because I have refused to sell my land. I can pay you _gold_ gold. // You find me in desperate straits, my dear %ra. I have received word from some %cn thugs that they intend to ransack my house tonight. I don't suppose you'd be available to do a little creative facial rearrangement on these fellows?","Thank you and bless you! They will strike at _qgiverhome_ in the three hours before midnight. Be there and wait with me for that time. Once they have been defeated, I will be safe once again.","Fear not for my safety, %pcn. I shall find another protector... somehow."
A0C01Y03#_qgiver_,male,"I am _qgiver_, and I need the services of a hunter of men. I am in love with _spouse_. Alas, %g refuses to marry unless I prove my worthiness by answering a riddle %g3 mentor _hermit_ left behind when %g vanished. I need you to find %g2 and find the answer to %g3 riddle. I will pay you _gold_ gold pieces if you succeed.","The only person who might help you find _hermit_ is _spouse_. %g can be found in ___spouse_. Take these flowers. They are %g3 favorites. They may gain you some favor with %g2. Here is a letter with _hermit_'s riddle inscribed upon it. If you have not returned in three months, I will assume that you have failed.","I will continue my search for an adventurer willing to take up my charge. If you meet anyone who would be interested in such a quest, direct them to _qgiver_."
A0C01Y06#_qgiver_,male,"My name is _qgiver_. My master has asked me to find a brave adventurer for a dangerous mission. I cannot tell you more, other than to say that it is worth _gold_ gold pieces to whoever succeeds. Are you interested? // Call me _qgiver_. I know someone that may have some work of interest. There's _gold_ gold in it for whoever can do the job.","Go to _meetingplace_. There you will find my master, _master_. // Ask for _master_ in _meetingplace_ and %g will have a job for you.",I shall seek elsewhere for a hero to fulfill my master's quest.
A0C01Y09#_questg_,random,"Excuse me? _questg_ is the name. I don't know how I feel about you, but I do need a favor. My sister, _sister_, is having a birthday next month and I could really use some _item_ for the celebration. It's worth _gold_ gold pieces. What do you say?","Excellent! You are a smart one. This is easy gold. Go to _store_ and find _merchant_. %g has the specific _item_ I need. Remember, there is only a month 'til the celebration. // Very good. This is easy gold. You'll have to go to _store_ to find the exact kind I need. Talk to _merchant_. %g runs the place.","Just as well, I suppose. Good day. // Sorry I asked. // Then we never talked. I'd hate for you to spoil the surprise. // Whatever. It was easy gold, you know. // Leave me then. I have a celebration to plan."
A0C01Y13#_giver_,male,"Good day. _giver_ is the name. You may have heard of me lately. Somebody has been filling the streets with horrible lies concerning my private life. I'll pay _gold_ gold to the person who puts a stop to them. What do you say? // The malicious, downright slanderous rumors about me must cease and desist immediately. I need someone anonymous to trace these rumors back to their infernal source. Would _gold_ gold pieces be enough to buy your investigative skills in this matter?","You will? Excellent. Come back when you have some proof of who's behind all these nasty rumors about me. I'll give you the gold then. If you're not back within a month, I will assume that you have failed.",I guess you heard the one about me not keeping my promises. Damn lies!
A0C0XY04#_agent_,male,"My name is _agent_. I represent a someone that needs to... acquire something. Whoever delivers it will be rewarded with _artifact_. I don't know what that is, but I am told it is an item of power. Are you willing?","You must get the daedric _ingredient_ from ___dungeon_. I don't know where that is, but I'm sure you can find it. When you have the daedric _ingredient_, bring it to _meetingplace_ here in town. There you will meet _qgiver_, and %g will give you the _artifact_.","Forget you ever saw me. I have powerful friends. If you cause me any trouble, they will hunt you down like a rogue thief."
A0C10Y02#_qgiver_,random,"I am desperate. The Dark Brotherhood has taken my child _child_ and will kill %g2 if I do not pay a ransom. I do not have enough to buy %g3 freedom, but I can pay you _money_ gold pieces if you will free %g2. // My child, my poor _child_ is gone, stolen away by the Dark Brotherhood for %god knows what hideous purpose. You must help me, %pcf. I'll give you all I have, _money_ gold, if you will bring my child back home to me.","You are my savior! My name is _qgiver_. Quickly now, for you only have =timeforq_ days before they kill _child_. %g is being held in _dbguild_ in __dbguild_.",This is a dark day for me. _child_ will surely be slain by the Dark Brotherhood. May %g3 ghost haunt you for the rest of your days!
A0C10Y05#_qgiver_,male,"I am betrothed to _betrothed_. My great misfortune is that _ruler_ has other plans for _betrothed_. My only hope is to get %g2 to the temple and complete the marriage ceremony before _ruler_ catches us. Will you protect me while I get my betrothed to the temple? I can pay you _gold_ gold pieces. // In __betrothedhome_, my darling _betrothed_ awaits me, tormented by the tyranny of the cruel _ruler_. I cannot sleep while _betrothed_ is so imprisoned, but I fear the agents of _ruler_, who work to keep us apart. Will you go with me to __betrothedhome_ and protect me?","My gratitude will be endless, %pcn. Quickly, let us away to get _betrothed_. We can find %g2 at _betrothedhome_ in __betrothedhome_.","Alas, I shall have to find another guardian to protect my beloved _betrothed_ from _ruler_"
A0C41Y18#_giver_,male,"I need someone to deliver something for me, and I'm willing to pay very generously. _gold1_ gold up front, _gold2_ more when the job is done. Will you help me out?","Thank %god! You don't know how much this means to me. Here's your gold. Now, take this to _dummy_ in ___dummy_. %g'll pay you the rest. I really must be going now. Thank you so much!","%oth, I'll never be rid of this thing! Why will no one help me?"
B0B00Y00#_qgiver_,random,"%pcf, the Princess _lady_ has been captured from our protection, and it is the responsibility of us knights to rescue her. Unfortunately, many of our members are off fighting in the war. In the truest spirit of chivalry, will you go to rescue the princess from the _monster_ who has captured her? // The war has busied the order to such a degree that important duties such as protecting the virtue of the noblewomen of %reg has fallen rather by the wayside. There is literally no one available to rescue Princess _lady_ who was carried off the other day. Are you free for this most worthy of quests?","You will? I must say, your heart is brave. A _monster_ is a fearsome foe. Be certain to prepare for a battle. Do not be foolhardy -- we care only for the rescue of the princess. If the _monster_ can be left alone, leave him. And if you are not returned in =2mondung_ days, we will assume that you have failed, and someone will be sent in your place. I am certain you do not want someone else to earn the honor of the rescue. May %god bless your journey to ___mondung_.","Ah, that is not the spirit of our order. There is nothing more important to us than protecting the virtue of the innocent."
B0B00Y01#_qgiver_,male,"We have a traitor in __qgiver_, a villianous _monster_ who has turned against %g3 brethren. Our honor is at stake, %pct. Join our righteous fury. // __qgiver_ has been betrayed by a perfidious _monster_. Will you help us track the cowardly villian down and destroy %g2?","Very good. The traitor is a _monster_ named =monster_ who has taken refuge in ___mondun_ to the %di. If you have not returned in =queston_ days, your honor will be forfeit and another will take your place. Do not fail us in this, %pcf.",An ignoble reply. I expected better.
B0B10Y04#_qgiver_,male,"Welcome %pcn. My name is _qgiver_. The order has just been told of a crazed, orc mercenary that needs to be stopped. Are you willing to take up this quest?","Very well. In a dark pit not too far away, a cursed place called ___mondung_, an _soldier_ named =soldier_ has been conspiring with a group of renegade mages, even worse than the Necromancers, to destroy %reg. Perhaps he feels that he was wronged by the %t, perhaps it is merely the unreasoning hate that orcs often exhibit toward humans. The important thing is that he must be stopped, before his blind fury and the magic of the mages have truly disastrous results. Stop him, %pcf any way you can. If you have not returned with the situation remedied in =2mondung_ days, if it isn't too late, we knights will do the job ourselves. Pray, do not let it come to that.","Your modesty does you justice, %pcf. Feel free to return when you are less faint of heart."
B0B20Y07#_qgiver_,male,"Let me introduce myself. I am _qgiver_ of ==qgiver_. Seems there is a bandit band of orcs holed up around here. The glory of %reg will go to whomever wipes them out. Can I count on you, %pcf? // The orcs are moving into fair %reg, befouling the land as they progress. Will you help us in this purgation?","You don't need to kill every single orc in the band. Just get a decent number of them and be sure to kill their leader, =monster_. I happen to know that they are holed up in __dungeon_. If you're not back in =2dung_ days, I'll sing your praises at the funeral ceremony.",You're my fourth rejection today. Seems like nobody wants to tackle orcs any more.
B0B40Y08#_qgiver_,male,"They call me _qgiver_. I have a quest for you, if you are feeling up to it. A powerful orc band has been raiding caravans in %reg. Someone needs to slay the orc warlord that leads them.","The orcs are using ___dungeon_ as a base of operations. Kill as many of them as you want, but be sure to cut =monster_'s throat. He's their warlord. If I hear from you within =2dung_ days, your honor will be untarnished.",Wimp.
B0B40Y09#_qgiver_,male,I've just gotten word of a _monster_ raiding farms and devouring cattle. My name? A thousand apologies %pcf. I am _qgiver_. Will you go slay the _monster_?,"The _monster_ has made a den out of ___dungeon_. Go there and kill him. You might find other _monster_s there. Kill them if you must, but be sure to get the one with the bear claw branded on his arm. I can only give you =2dung_ days.",Where are the noble knights? Have they all vanished from %reg? Begone %pcn.
B0B50Y11#_qgiver_,male,"I am _qgiver_. One of the local nobles, _nobleman_, has just gotten the deed to an abandoned piece of property. Too late, %g found out it is haunted. Someone needs to go out and banish the ghost that haunts it. Are you willing to take up this quest?","_nobleman_ wants to begin rebuilding within =2dung_ days. %g has the deed to ___dungeon_, where you'll find the spirit.",Ghosts are normally the temple's problem. Maybe I'll turn this one over to them.
B0B60Y12#_qgiver_,male,"Have I got a good one for you. It seems _nobleman_ just read about an ancient family curse. Now %g is scared out of %g3 mind. %g wants someone to go destroy %g3 great, great, great grandmother, whom %g fears walks the earth as an undead monstrosity. Are you interested, %pct? // This may potentially be nothing more than a simple poke around a tomb, but _nobleman_ has asked us to investigate the resting place of %g3 great, great, great grand mother. Apparently %g had a dream that %g had been brought to life and would escape from the family burial mound in =2dung_ days. Perhaps it is all perfect rot, but perhaps not. Will you investigate, %pct?","_nobleman_'s ancient ancestor is entombed in a mausoleum named ___dungeon_ that was designed to prevent graverobbing. There is no proof she is even undead. Odds are she's just a corpse. If so, burn the body in a proper funeral pyre. Get back within =2dung_ days, or _nobleman_ says the curse will be triggered.","If you run into any knights that might take this job, send them to me."
B0B70Y14#_qgiver_,male,"%pcf, we have an emergency. The Mages Guild has discovered a rift in the wall between Oblivion and our dimension, Mundus. I don't pretend to understand exactly what that means, but it's bad. All sorts of Daedric beings are entering into our world. The Mages Guild says it can seal the breach, but it falls to us to slay the Daedras that have already crossed over. Will you take up this quest, not for gold, but for glory? // The end, %pct, may be here at last. For centuries, prophets have spoken of the day when the aetherial walls that separate our dimension, Mundus, from Oblivion, the land of the Daedra, will crack asunder. The Mages Guild will attempt to repair the breach, but they need us to slay the infernal creatures who have already broken through. Can we rely on you for this, %pct?","Go quickly then to ___dungeon_. We have no way of knowing how many Daedra are wandering its halls. The Mages Guild says to slay all Daedric beings you encounter. They will contact you by spell when they detect the last invader gone. Hurry, for in =2dung_ days it will be too late.",Our world hangs in the balance and you can think only of yourself. I am ashamed to know you are a ==qgiver_.
B0B70Y16#_qgiver_,male,"Shhh! Don't let anyone else hear this, %pct. I just got word that a dragon has been spotted! Well, not a full grown dragon, just a little dragonling. There is no quest more heroic for a member of ==qgiver_ than to slay a dragon. I know where it is, you go kill it. We can both lay claim to the glory. Is it a bargain? // 'Tis time for you to prove that you are truly of ==qgiver_, %pct. It is time for you to slay a dragon.",The dragon egg just hatched in ___dungeon_. I don't know if there are any other dragonlings there or not. I can keep it all a secret for =2dung_ days.,You tell anyone else about this and I'll see you drummed out of ==qgiver_.
B0B71Y03#_questgiver_,random,"A rumor has surfaced as to the whereabouts of an ancient artifact of power. This is a once in a lifetime opportunity. Are you up to it, %pct?","I thought I detected the gleam of ambition in your eyes %pcf. Supposedly, a witch living deep in the bowels of ___dungeon1_ has discovered a clue about where to find this thing. I'd start with her.","Not the ambitious type, eh? Some other lucky knight will be sure to snap this one up."
B0B80Y17#_qgiver_,male,I am _qgiver_ of ==qgiver_. I have a most dangerous quest %pcn. You are one of the few that could possibly take it on. A lich is raising an army of undead. We need someone to go in and put a stop to it.,"You are brave indeed. The lich has made ___dungeon_ into its lair. Go there and destroy the foul thing. In =2dung_ days we will send out someone else, should you not return.","I understand, %pcn. This is too dangerous even for you. There are one or two other heroes that might be able to pull this one off. I'll go ask them."
B0B81Y02#_qgiver_,male,I am _qgiver_ of this knightly order. I have a most dangerous quest %pcf. You are one of the few that could possibly take it on. A lich is raising an army of undead. We need someone to go in and put a stop to it.,"You are brave indeed. The lich has made ___dungeon_ into its lair. Go there and destroy the foul thing. In =2dung_ days we will send out someone else, should you not return.","I understand, %pcn. This is too dangerous even for you. There are one or two other heroes that might be able to pull this one off. I'll go ask them."
B0C00Y05#_qgiver_,male,"You are not yet a trusted member of our knightly order, %pcn. However, I think I know a way you can earn our trust. There is a traitor to the order in ___qgiver_, a dastardly _monster_ who has betrayed us to our enemies. Death is a fair punishment for treason, don't you think %pcn? Will you do this for the order?","The traitor is a _monster_ named =monster_ who is hiding like a craven coward in ___mondun_. If you have not returned in =queston_ days, our trust is forfeit and another will take your place.",Don't expect any favors from this knightly order anytime soon.
B0C00Y06#_qgiver_,male,"I don't trust you, %pcn. You are not a member of our order. If you would like to earn my trust, and maybe even a modicum of respect, go kill the _monster_ raiding the farms. Are you up to it?","The _monster_ has made its lair in ___dungeon_. Go there and kill it. There may be other _monster_s there, but I don't care. I am only interested in one with a large burn mark on its back. It's the one that has been raiding the peasants. You have =2dung_ days.",I thought so. The heart of a coward beats within your chest. The sight of you makes me ill.
B0C00Y10#_qgiver_,male,"I am _qgiver_. You are not a member of this knightly order. We are not sure if you can be trusted yet. If you were to slay the leader of the bandit band of orcs troubling our area, it might change our minds. Do you have the stomach for such work?","Kill as many orcs as you can, but be sure to kill their leader, =monster_. The foul band is hiding up in ___dungeon_. If you're not back in =2dung_ days, I will know you are the coward everyone says you are.",Why am I not surprised? Come back when you are ready to earn our respect.
B0C00Y13#_qgiver_,male,"Why should I trust you, %pcn? I suppose some small trial of arms is in order. I certainly wouldn't give you anything important, seeing as you are not a member of this knightly order. I own a building that is infested with creatures. Kill them for me and maybe I'll put in a good word for you.","I am only giving you 1 day to clean _house_ out. After that, I'll just do it myself and tell everyone what a coward you really are.",I guess I'll just have to do it myself. You are even more worthless than I thought.
C0B00Y00#_qgiver_,random,A house over in __house_ is being haunted by some sort of undead. We need someone to exorcise the spirit. Are you up to it? It pays _gold_ gold pieces.,"Remember, if the haunt is too tough for you to handle yourself, just get out of there. No one will blame you for saving your skin. The place is called _house_ and it's in __house_. You have =traveltime_ days or we send someone else out to do the job.",No shame in that. I'll keep an eye open for jobs more to your liking.
C0B00Y01#_qgiver_,random,"%god be with you, %pct. You may have heard of _prophet_. If you have not yet, you will. We are investigating %g3 claims that %g is a prophet. We are not, I think, censorious by nature, but we must ever be alert to the presence of heretical influences. Would you be available to assist in this important investigation? // It falls upon us to investigate the claims of _prophet_ that %g has seen the face and heard the words of %god. Perhaps you have time to assist in this inquiry?","Good. We have already sent one of the Temple, _priest_ to the desacrilized ___mondung_, where _prophet_ asserts that %g first witnessed the miracle. If _priest_ needs assistance, I will send for you. In the meanwhile, I want you to find some more secular information on _prophet_, by asking around in %g3 hometown, __tavern_. A loyal cleric of ours, _contact_ will meet you in _tavern_. I want to see evidence of the true nature of _prophet_ in no more than =queston_ days. I would leave immediately. May Great %god bless your enterprise, %pct.","That's a pity, %pct. I hope you will find time in your busy schedule for the temple in the near future."
C0B00Y02#_qgiver_,male,"Would you be willing to assist in an exorcism, %pct? // _guardian_, a local knight, has entreated us to help %g3 ward, who has been showing signs of daedric possession. Would you be willing to assist with the exorcism, if that's what the situation requires?","Would you? %oth, you have a heart as big as %reg, %pct. The child's name is _child_, %g's a =child_ over at _house_ here in __house_, but the person you'll want to speak with is %g3 guardian, _guardian_ over in _tavern_. If based on what %g has to say, you feel that an exorcism is in order, go see _priest_ in _house3_ of __house3_. I'll expect this whole unfortunate affair to be resolved in =queston_ days and to see you here then. Good luck, %god be with you.",That's unfortunate. I hope we can find someone else then.
C0B00Y03#_qgiver_,male,"%pct, one of our clerics, a =cleric_ named _cleric_ has disappeared while on an archaeological dig. Will you help us find %g2? // I fear that one of our noblest scholars, _cleric_ has disappeared while investigating an old ruined temple. Will you help us find %g2?","That's good, good. Now then, _cleric_ went to ___mondung_ close to a fortnight ago to conduct a dig. It's possible that all is well, but ... I'll give you =queston_ days to go there, find _cleric_ and come back. %god walk with you, %pct. Fare well.","That's a rather callous point of view to be quite frank, %pcf."
C0B00Y04#_qgiver_,random,"__qgiver_ often delves into mysteries of cosmic proportions, and occasionally we misjudge one of our priests' suppleness of sanity in the face of eternity. In other words, one of our priests has gone off his nut. Will you help us bring the lunatic back to __qgiver_? // Old =priest_ is on a rampage again. Could be that %g got into __qgiver_ wine cellars again. Regardless, are you available to help bring the old loony back home?","Good of you, %pct. Now then, =priest_ has run off to a place called ___mondung_. Try not to hurt the poor maniac too much. =priest_ doesn't know what %g's doing right now. Just give %g2 a little knock on the head and bring %g2 back here. I'll wait =queston_ days for you. Be careful.","%oth, I hope that when you lose your mind, someone is kind enough to come to your rescue, %pct."
C0B00Y14#_questgiver_,male,"%pct, I have a dangerous mission for you. I will tell you up front it involves slaying a rather powerful undead creature. Are you still willing to undertake this task for __questgiver_?","Your courage honors our order, %pcf. We wish to begin cleansing a place called ___mondung_. Long ago it was one of our temples, but its desecrated corridors are now haunted by some undead apparition. You must slay this unquiet spirit and sprinkle its body with this specially prepared holy water. If you have not returned in =qtime_ days I will burn incense for your departed soul and send someone else to avenge you. May %god go with you.","Well, I certainly cannot blame you. I myself would not dare it."
C0B10Y05#_qgiver_,random,"%pcn, we have a very dangerous mission for you. The temple has come into the possession of an evil, magical weapon long sought by the orcs. The temple has already been attacked twice by the creatures. It needs to be taken to a safehaven. Will you to this for us? The temple will pay _gold_ gold.","Take this _evilitem_. In ___dungeon_, you will find _custodian_, a servant of this temple for many years. %g will safeguard the item and keep it out of the hands of the orcs. We have bound it in spells to protect you from its evil effects. However, these spells will wear off in =traveltime_ days.","I am saddened that your loyalty to the temple is so low. But in light of the danger, I forgive you."
