"charName","gender","eng_word","eng_syll","eng_char","jap_char","jap_romaji","jap_kana","jap_word","re_word","re_syll","re_char","re_comment","eng","jap","re","RetranslatorComment"
"SYSTEM","neutral","4","4","16","5","12","6","2","1","1","5","0","How about a snooze?","休みますか？","Rest?",""
"crono","male","1","1","4","2","3","2","1","1","1","3","0","Yes.","はい","Yes",""
"crono","male","1","1","3","3","3","3","1","1","1","2","0","No.","いいえ","No",""
"young woman","female","34","40","140","133","250","155","46","70","83","304","21","Hard to believe Guardia is now 1000 years old, and our King is the XXXIII descendant to the throne! But how can he rule a kingdom when he can't even control his own daughter?!","ねえ、知ってる？　ここガルディア王国が できて、今年で1000年。現ガルディア王 つまり、今の王様だけど33代なのよ。 で、その王様のなやみのタネは 一人娘の王女様。 なんでもすっごい、おてんばなんですって。 たぶん今ごろは、お城のなかで 『あたしも、お祭りいきたーい！』 なんて、おおさわぎしてるんじゃ ないかしらね。","Hey, did you know? It's 1000 years this year since Guardia Kingdom here was formed. The current King Guardia, our king now in other words, is the 33rd. And the root of that king's worries is the princess, his only daughter. They say she's an incredible tomboy. I wonder if she isn't making a big fuss in the castle about now, something like “I wanna go to the festival too!”","Marle was directly  foreshadowed as being present at the Millennial Fair in the Japanese version.  This text was trimmed during translation."
"young man","male","11","14","52","41","90","53","14","23","36","124","0","That brat, Lucca, says she's made the discovery of a lifetime.","あの、まいどおさわがせ娘、ルッカが 千年祭会場で、せいきの大発表をするって せんでんしてたぜ。","That girl who's always causing a big fuss, Lucca, was advertising about making the announcement of the century at the Millennial Festival grounds.",""
"young woman","female","6","6","22","22","47","26","8","12","16","53","0","I'm so happy I could scream!","私ね、今がいちばんしあわせな時…… そんな気がするの。","Now is the happiest time for me...... That's the feeling I'm getting.",""
"waitress","female","17","18","67","57","99","60","17","27","34","113","0","Come on in! Take your bloody time...! I'd rather serve you than go to the fair, anyway...","あら、いらっしゃい。 ゆっくりしていってね。 なーんていっても、無理よね。 あ～あ、私もはやくシゴトをおわって お祭りを見にいきたいわ。","Ah, welcome. Take your time. Or whatever, it's overdoing it to say that. Aaah, I wanna hurry up and finish work and go see the festival too!",""
"truce innkeeper","male","8","9","31","15","19","15","4","7","7","23","0","Lodging is 10 G. Check in? No, thanks.","おとまりは10Gです。 はい いいえ","It's 10G to stay here. Yes No",""
"truce innkeeper","male","2","2","12","9","16","9","1","6","6","25","0","Seeya around.","ではいつでもどうぞ。","Well then, feel free any time.",""
"young man","male","5","5","17","12","27","16","5","7","11","35","0","Been to the fair yet?","千年祭には行ってきたかい？","Have you been to the Millennial Festival?",""
"crono","male","1","1","4","2","3","2","1","1","1","3","0","Yes.","はい","Yes",""
"young man","male","11","15","54","24","44","29","10","14","17","66","0","You'll have to wait a thousand years for another Millennial Fair!","この国ができて、今年で1000年って お祭りなんだぜ。","The festival's since this year is the 1000th year since this kingdom was formed",""
"crono","male","1","1","3","3","3","3","1","1","1","2","0","No.","いいえ","No",""
"young man","male","4","5","17","10","18","11","4","5","5","17","0","Well get going, then!!","えっ？　早く行ってこいよ！！","What? Hurry up and go!!",""
"young man","male","15","17","59","84","153","89","26","37","47","165","0","Wasn't that a trip?! I spent all my Silver Points at the «Tent of Horrors!»","ここから北にあるリーネ広場じゃ、今ごろ いろんな店が出ていて、そりゃあもう お祭りさわぎってやつだな。 すげえよな、いろんなものが売ってるし いろんなイベントもある…… まさにフェスティバル！！","In Leene Square, north from here, there are all sorts of shops set up, and it's festival merrymaking by now. It's amazing, selling all sort of things, having all sorts of events...... Now that is a festival!!",""
"young woman","female","5","6","24","20","29","20","4","12","12","35","0","Are you buying? Sure. Sorry.","1ぱい、おごってもらえないかしら？ はい いいえ","Could I get you to treat me to a drink? Yes No",""
"young woman","female","6","6","22","20","34","21","7","10","12","41","0","Thanks! I'll play you a song!","ありがとう、お礼に1きょく プレゼントするわ。","Thanks, I'll play you a song to show my gratitude.",""
"young man","male","6","9","31","18","34","21","3","8","11","40","0","Remember the earthquake we just had?","先日、地震があったのをおぼえているかい？","Remember there was an earthquake the other day?",""
"crono","male","1","1","4","2","3","2","1","1","1","3","0","Yes.","はい","Yes",""
"young man","male","13","16","66","40","79","47","13","20","25","91","0","We've been having too many. Something's wrong... Hope the «Big One» isn't coming!","本当に最近は地震が多いよな。 なにかよくないことが起こる 前ぶれでなきゃいいんだけどね。 ","There's really been a lot of earthquakes lately. I hope it's not an omen that something bad's going to happen.",""
"crono","male","1","1","3","3","3","3","1","1","1","2","0","No.","いいえ ","No",""
"young man","male","6","7","30","17","28","17","5","9","10","37","0","No? Airhead, huh? Well, never mind.","そうか。ノンキなぼうやだな。 まあ、いいや。 ","I see. Such a carefree kid. Well, never mind.",""
"woman","female","17","22","73","26","55","31","9","18","22","76","0","This box has been in the family for generations. Open it, and you may have what's inside.","代々、伝わっているハコです。 開けられた方ごじゆうにどうぞ。","The box has been passed down for generations. If you can open it, feel free to help yourself.",""
"SYSTEM","neutral","5","8","25","13","30","17","6","6","9","31","0","Sealed by a mysterious force...","不思議な力で封印されている……。","It's sealed with a mysterious power......",""
"poyozo doll","neutral","6","6","26","10","25","13","5","7","8","30","0","Visit our stall in Leene Square!","リーネ広場にて出店中！","Currently at a stall in Leene Square!",""
"woman","female","7","10","33","14","28","16","7","10","10","41","0","Hi! Do you know about our establishment?","こんにちは。 この家の事聞きたい？","Good day. Would you like to hear about this house?",""
"crono","male","1","1","3","2","3","2","1","1","1","3","0","No.","はい","Yes",""
"woman","female","14","22","64","39","81","49","16","13","21","74","0","This is the Mayor's Education Center. Think of it as a workshop for beginners!","この家の町長は、ぼうけん者が好きでね。 初心者にぼうけんのノウハウを 教えてくれるのよ。","The mayor in this house likes adventurers. He teaches beginners adventuring know-how.",""
"crono","male","1","1","4","3","3","3","1","1","1","2","0","Yes.","いいえ ","No",""
"woman","female","8","8","30","49","95","57","17","23","29","108","0","You can take the things you find here!","それから、この家にある宝ばこは 町長がぼうけん者のためにって 置いてあるの。 えんりょしないで持って行ってね。 ","Also, the treasure boxes that are in this house, the mayor left for the sake of adventurers. Take them with you without restraint.",""
"young woman","female","7","9","33","20","37","21","6","9","11","40","0","Need a brief Weapons and Items seminar?","武器や防具について 聞かせてあげましょうか？","Shall I let you hear about weapons and armoring?",""
"crono","male","1","1","4","2","3","2","1","1","1","3","0","Yes.","はい","Yes",""
"young woman","female","57","76","285","233","482","272","79","129","163","596","0","Weapons include swords, bows, and guns. Some weapons can only be used by specific party members. You'll find a variety of armor for the head and body. Finally, there are numerous accessories with unique properties and effects. As you gain Power, swords will inflict greater damage. Bows and guns get more powerful as your Hit rate increases.","武器といっても、色々なものがあるのよ。 刀とか、ゆみとか、けんじゅうとかね。 けど人にはとくい、ふとくいがあって その人に合った武器しか、使えないの。 防具には3つのしゅるいがあるわ。 頭につけるものと、体につけるものと それからアクセサリー。 防具も自分の体に合ったものしか 装備できないのよ。 それからアクセサリーには、特別な力が あるものが多いから色々と調べてみると いいわ。 それと、刀は力が上がれば攻撃力も 上がるけど、ゆみやけんじゅうは チョットちがうの。 必要なのは命中りつ、これが上がれば 強いダメージをあたえられるわ。 ","We call them all weapons, but there are a variety of them. Like katanas, bows, and pistols. But everyone has their strengths and weaknesses, and can't use any weapons but those suited to them. There are three types to armoring. The ones you put on your head, the ones you put on your body, and accessories. You can't equip armoring either except for the ones suited to your body. Next, in accessories, many of them have special special powers, so you should try checking out a variety of them. Also, for katanas, if your power increases, your attack power also increases, but for bows and pistols, it's a LITTLE different. What you need is hit rate; the more it increases, the more powerful damage you'll be able to inflict.",""
"crono","male","1","1","3","3","3","3","1","1","1","2","0","No.","いいえ ","No",""
"young man","male","55","72","265","144","314","168","57","78","94","341","0","Scattered throughout this world are places where you can save your game. Save whenever you can, especially in unfamiliar or dangerous areas! That's just a replica. Record your journey whenever you find the real McCoy! You'll find more of them in riskier areas. Also, remember that you can log in anywhere on the World Map!","この世の中には時の記憶がとどまる所が あるという。 そこでは危険にみちた場所でも 旅の記録をとる事が出来る。 それはレプリカさ。　もし本物を見かけたら 旅の記録を取ることをすすめるぜ。 なんせ危険な所ほど出現しやすいと いう話だからな。 おっと、それともう1つ！ ワールドマップでは、どこでも旅の記録を とれる、わすれないでくれ。","It's said there are places in this world where time's memory abides. There, even in places full of danger, you can take a record of your journey. That's a replica. If you happen to see the real thing, I recommend taking a record of your journey. Anyhow, they say they appear more easily the more dangerous the place is. Oh, one more thing! On the world map, you can take a record of your journey anywhere, don't forget.",""
"little boy","male","15","17","60","42","88","50","18","25","26","94","0","You can walk while reading messages. But go too far, and you can miss them!","メッセージが出てる間も、兄ちゃん達は 動き回れるんだぜ。 遠くはなれれば、声も聞こえなくなるよ。","You guys can move around even when there's a message up. If you get too far away, you won't be able to hear the voice.",""
"little girl","female","12","16","51","32","56","35","11","14","18","57","0","Use the Y Button to move the Message/Battle window up or down.","メッセージやバトル中のウインドウは Yボタンで上下に、いどうするのよ。","Move messages and the in-battle window up and down with the Y button.",""
"old woman","female","8","10","43","21","36","22","7","5","6","25","0","Do you know about «Shelters?» They're quite useful!","お前さん『シェルター』のことは 知っているのかい？","Do you know about ""Shelters""?",""
"crono","male","1","1","4","2","3","2","1","1","1","3","0","Yes.","はい","Yes",""
"old woman","female","16","19","69","54","88","58","16","23","27","96","0","Use «Shelters» at Save Points, or on the World Map, to completely restore HP and MP.","『シェルター』はセーブポイントと ワールドマップで使用できるアイテムで HPもMPも全回復するんじゃよ。 べんりじゃの～。 ","Shelters are items you can use at save points and on the world map, and they fully recover both HP and MP. Convenient...",""
"crono","male","1","1","3","3","3","3","1","1","1","2","0","No.","いいえ ","No",""
"soldier","male","12","13","54","25","49","29","10","9","12","50","0","All right, I'll teach you about skills. Are you willing to learn?","よっしゃあ、俺様が技のこうかはんいを 教えてやる。　聞くか？","Okay! I'll teach you about technique effect ranges. Listen?",""
"crono","male","1","1","4","3","3","3","1","1","1","3","0","Yes.","いいえ ","Yes",""
"soldier","male","212","277","910","546","1034","611","187","254","331","1182","0","During combat, the effect of each attack can vary. First, some of your attacks will damage more than one enemy. For example, target this critter... ...and your attack will hit another monster in the area. But if you target this one... ...you can get all three at once! Use this fact to your advantage! Next, you can hit enemies in your direct line of sight. There are two attack patterns. The first one... ...allows you to attack all the enemies oriented on a straight line from you. You may place the cursor on any one of them on the line. The other pattern... ...allows you to hit only the enemies in a straight line between you and the target. As in the previous example, all 3 creatures are targeted here, but... ...select this one, and that's all you'll get! Next, use an enemy to establish a line, and any others on it will also be hit. They're lined up horizontally here... The final pattern puts you at the center of the attack zone. You can't use an attack like this if your enemies are outside of the zone. However, your attack will hit all enemies inside the active zone! ...so you may target any of them. That's about it. Feel more confident?","戦闘時の技には、様々な こうかはんいがある。 まずは、モンスターを中心に 広がるダメージだ。 たとえば、こいつを ターゲットしていしたときは…… このハンイにいるモンスター つまりこの場合は2ヒキに ダメージをあたえる事ができる。 だがな、こいつを ターゲットしていすると…… このとおり、3ビキのモンスターに ダメージをあたえられる。 うまく使いな。 次に、自分から直線的に ダメージをあたえる場合。 これには2しゅるいのパターンがある。 1つめのパターンは…… 自分からまっすぐのびた直線上の モンスターこの場合は3ビキ全てに ダメージをあたえる。 この場合は直線上のどのモンスターに カーソルをもっていってももんだいない。 もう1つのパターンの場合は…… 自分とモンスターをむすぶ直線上の 敵だけにダメージをあたえる。 この場合は先ほどと同じく3ビキだが…… この場合は1ピキになるから 気をつけろ。 次はターゲットしていしたモンスターを ジクにして、ヨコ方向のモンスター全てに ダメージをあたえる。 この場合、ヨコならびなら…… 最後に自分を中心に ダメージをあたえるパターン。 まずこのように、はんい内にモンスターが いない場合は使えない。 はんい内にモンスターがいれば 自分を中心としたはんい内の全ての モンスターにダメージを あたえることができる。 どのモンスターにターゲットしていしても オーケーだ。 ってところかな。 べんきょうになったろ？ ","For techniques used during battle, there are various effect ranges. First, damage that spreads out centered on a monster. For example, when this one's designated target..... You can inflict damage to the monsters in this range, that is, two monsters in this case. But, designate this one target and...... As you can see, you can inflict damage on three monsters. Use it well. Next, the case where you inflict damage on a line from yourself. There are two types of patterns to this. The first pattern is...... You inflict damage on all monsters along a straight line from yourself, three in this case. In this case, no matter which monster along the line has the cursor, there's no problem. In the case of the other pattern...... You inflict damage only on the enemies on the line between you and the monster. This case, like before, is three monsters, but...... In this case, it becomes one monster, so be careful. Next, you make the monster designated as target an axis, and damage all the monsters crosswise from it. In this case, as long as they're in a horizontal line...... Finally, the pattern that inflicts damage with yourself at the center. First, in the case where there are no monsters in range, like this, you can't use it. If there are monsters in range, then you can inflict damage on all the monsters in the range centered on yourself. Whichever monster you designate target, it's okay. That's pretty much how it goes. Learned something, didn't you?",""
"truce mayor","male","3","4","13","11","25","13","5","9","10","29","0","Want my advice?","わしの話を聞きたいかの？","Want to listen to what I have to say?",""
"crono","male","1","1","4","2","3","2","1","1","1","3","0","Yes.","はい","Yes",""
"truce mayor","male","43","57","211","157","296","174","48","65","80","306","0","You've got potential! You'll learn a number of «Techniques» as you progress! «Techniques» are magic attacks that also utilize your weapons. You'll acquire them with discipline. My, my! You're so enthusiastic! Use this to help you get started! A gift of 300 G!","ふむ、お前さんはそしつがありそうじゃの。 お前さんは戦いを続けていくうちに 『技』を身につける事が出来るじゃろう。 技とは、おのれの武器をつかった とくしゅな攻撃法じゃ。 これは、おのれのたんれんでのみ身につく。 日々これ精進じゃ。 ほっほっほっ。 熱心なわかものじゃの！ よし、わしからのプレゼントじゃ。 これで装備でもととのえるとよかろう。 300Gを手に入れた！","Hmm, it seems that you have potential. As you continue fighting, you should be able to learn \""techniques\"". Techniques are unique attack methods using your weapons. You will learn these only by your training. Focus on this daily. Ho, ho, ho. Zealous youngster! All right, a present from me. I hope you use this to ready yourself with some equipment or the like. Got 300G!",""
"crono","male","1","1","3","3","3","3","1","1","1","2","0","No.","いいえ","No",""
"young woman","female","7","9","31","26","49","30","7","10","14","47","0"," Want to learn about damage in battle?"," 戦闘中に受けるダメージについて レクチャーしましょうか"," Shall I lecture about the damage you take during combat? ",""
"young woman","female","93","128","459","326","663","373","101","146","197","721","0","Some monsters have special attacks. Poison HP slowly decreases. Your attacks are weakened. Slow Increases the time between attacks. Sleep Lowers your guard. A good hit will wake you up again! Chaos Confuses you into attacking allies! A little tough on friendships! Blind You can't see too well... It's hard to hit enemies! Lock Can't use any «Techniques.» Stop Immobilizes and disables you. In these situations your guard is down, and you'll sustain more damage. Use «Heal,» or wait until the battle ends to heal automatically. Would you like to hear more?","モンスターの攻撃には特別なダメージを あたえてくるものがあるわ…… 毒 HPが少しずつへっていくの。 このじょうたいでは 攻撃力も落ちるわ。 スロウ スピードがおそくなって、次の攻撃に すばやくうつれなくなるわ。 スリープ 眠ってしまって防御力が下がるの。 けど、攻撃を受けるとめざめるわ。 こんらん 自分が何をしてるのか わからなくなってしまうの。 味方を攻撃したりね。　コワいわよ。 ブラインド 回りがよく見えなくなって モンスターに攻撃をあてにくくなるわ。 ロック いっさいの技がつかえなくなるの。 ストップ これは動きが止まって 何もできなくなるわ。 これらのじょうたいの時は 防御力が落ちてダメージが大きくなるわ。 『ばんのうやく』などの体調回復アイテムで なおせるけど戦闘が終われば、アイテムを 使わなくても自然になおるのよ。 続き聞きます？","Some monster attacks inflict special damage...... Poison: Your HP gradually decreases. Your attack power also drops in this condition. Slow: Your speed slows, and you can't move on to your next attacks as quickly. Sleep: You fall sleep, and your defense drops. But take an attack and you'll wake up. Confusion: You don't know what you're doing any more. You'll do things like attacking allies. Scary! Blind: You can't see your surroundings well and have a hard time hitting monsters with attacks. Lock: You become unable to use any techniques. Stop: This is when your movement stops and you become unable to do anything. You defense power drops and damage increases when you're in these conditions. You can cure them with status recovery items such as the ""panacea"", but if combat ends, you get well naturally even without using items. Will you listen to the continuation?",""
"crono","male","1","1","4","2","3","2","1","1","1","3","0","Yes.","はい","Yes",""
"young woman","female","22","29","107","96","191","110","34","39","56","188","0","When your HP hits 0, you'll be disabled. Use «Revive» to restore yourself, but if everyone goes down, you're through. Be careful!","モンスターの攻撃を受けて、HPが0に なると戦闘不能になっちゃうわ。 もちろん『アテナの水』とかのアイテムで 復活も出来るわよ。 けどね、みんなが戦闘不能になった時は 時のながれのわすれ物になっちゃうの…… 気をつけてね。 ","If your HP goes to 0 from taking monsters' attacks, you become incapacitated. Of course, you can revive too, with items like ""Athena's water"". But when everyone is incapacitated, you'll be lost in the flow of time...... Be careful.",""
"crono","male","1","1","3","3","3","3","1","1","1","2","0","No.","いいえ","No",""
"crono","male","1","1","2","3","3","3","1","1","1","2","0","No","いいえ","No",""
"young man","male","80","102","353","213","430","249","75","110","146","523","0","Hold down the L and R Buttons to escape from battle! Know when to run! But you need to fight to grow strong! Now, about the Equip menu... Numbers next to the Sword and Shield icons indicate Attack and Defense power. The higher the number, the greater the power. «M. Def.» indicates your ability to block magic attacks. If it's 10, then magic damage will be reduced by 10%. A star after any characteristic means it's at maximum strength.","LRを押し続けると戦闘から逃げる！！ こいつも大事だ。 戦術的てったいとでも言おうかな。 けどよ、逃げてばっかじゃ弱いままで 強くなれないから気をつけな。 それから、もう1つ。メニューの説明だ。 武器マークのヨコの数字は攻撃力。 たてマークのヨコの数字は防御力。 防御力は、なぐりや物理攻撃を どれだけふせぐかあらわす。 魔法をふせぐのは『まほうぼうぎょ』。 これがたとえば40だったら 敵の魔法を40パーセントふせぐ。 それと数字が星マークになったら そのパラメーターは最高ということだ。","Keep pressing L and R and you'll run from combat!! This's important too. I guess we'll call it a strategic retreat. But, look, keep running away, and you'll stay weak won't be able to get stronger, so be careful. And one more thing. Menu explanation. The number next to the weapon mark is attack power. The number next to the shield mark is defense power. Defense power indicates how well you defend against hits and physical attacks. It's “magic defense” that defends against magic. If, for example, that's 40, you'll defend 40 percent against enemy magic. Also, if the number becomes a star mark, it means that parameter is maximum.",""
"young man","male","14","19","74","37","72","43","12","19","21","85","0","Sometimes a mysterious whirlpool appears in the ocean near here. What could cause that?","この海いきに、なぞの大うずが 現われる時があるんだ……。 一体あのうずはなんなのだろう？","There are times when a mystery whirlpool appears in the ocean around here...... What the heck is that swirl?",""
"ticket clerk","male","9","9","32","23","38","24","7","11","13","43","0","It's 10 G to Porre. Hop aboard? Yes. No.","船にのりますか？ パレポリまで10Gです。 はい いいえ","Will you ride the boat? It's 10G to Parepoley. Yes No",""
"elaine","female","10","12","43","38","84","45","17","21","23","85","5","If only Fritz would return. I'd ask for nothing more!","彼が……、フリッツが 旅に出たまま、帰ってこないの……。 私は彼がいれば他になにも いらないのに……。","He...... Fritz is away on a journey, and hasn't come back...... Yet if he were here, I wouldn't need anything else......","Or possibly “my boyfriend...”"
"elaine","female","5","7","22","9","20","11","3","7","8","26","53","I guess he's forgotten me.","もう私のことなんて……","I guess I don't matter any more......","The verb's missing, but it's implied that he's forgotten about her or doesn't care any more. Or she could be saying it doesn't matter what happens to her as long as he's okay. That's the problem with these half-finished sentences... it would help if there was tone of voice to go by."
"lara","female","16","23","79","51","96","56","19","27","34","126","0","Oh, hi Crono. Lucca's off at Leene Square with her father, Taban, unveiling her new invention.","おや、クロノかい？ ルッカならお父さんのタバンと リーネ広場にいってるよ。 せいきの大発明を見せるんだとか 言ってね。","Oh, Crono? If it's Lucca, she's gone to Leene Square with her father, Taban. She said they were showing the great invention of the century or something.",""
"taban","male","4","5","25","11","23","13","5","4","7","26","0","You're Lucca's friend right?","おう！ ルッカの仲間達だな。","Oh! You're Lucca's companions.",""
"sign","neutral","7","9","36","12","27","15","5","6","8","35","0","The forest leads north, to Guardia Castle.","森をぬけて北……　ガルディア城","North through the forest...... Guardia Castle",""
"sign","neutral","5","10","39","23","47","27","10","10","16","61","0","Approaching Guardia Castle. No trespassing.","この先、ガルディア城。 用のない者の出入りをきんずる。","Guardia Castle is ahead. Passage prohibited to those without business.",""
"sign","neutral","5","5","21","8","16","9","4","5","5","18","0","An open field lies ahead.","この先、空き地あり。","An open area is ahead.",""
"soldier","male","2","2","10","3","10","5","2","3","3","12","0","Who's there!","何者だ！","Who goes there!",""
"soldier","male","9","11","40","25","54","31","11","15","19","68","0","Can't let you through. Go check out the festival!","民間人を通すワケにいかん。 子供は祭りにでも行くんだな。","There's no way we can let civilians through. Go to the festival or something, kid.",""
"marle","female","6","6","26","15","32","18","8","12","16","49","3","C'mon, let's check out the fair!","な、何してんの？ 早くお祭り行こうよ！","Wh, what're you doing? Let's hurry up and go to the festival!","If Marle's around."
"young man","male","4","5","14","16","35","22","8","7","13","44","0","Going to the fair!","ガルディア王国の千年祭に行くんだ！","I'm going to Guardia Kingdom's Millennial Festival!",""
"old man","male","8","11","36","21","44","27","8","15","22","76","0","Always wanted to go to a 1000th Anniversary!","一度、千年祭とやらに行ってみようと 思っての～。","I've been thinking I'd try going to that Millennial Festival or whatever it's called once.",""
"little girl","female","6","8","25","9","17","11","6","5","9","22","0","Yea! A festival! Let's get crazy!","わ～い！　お祭り、お祭り！","Yay! A festival, a festival!",""
"merchant","male","12","14","50","35","83","45","19","22","27","83","0","I'm opening a  stall at the fairgrounds. Why don't you drop by!?","千年祭の広場へ行って お店を出すつもりです。 あなたも、ぜひ私の店に来て下さい。","I intend to go to the Millennial Festival grounds and put up a store. Please be sure to come to my shop.",""
"man","male","7","9","33","28","50","29","9","14","19","69","0","All right, everyone! Let's have some fun!","うおーっ、祭りだーっ！ ひごろのウサをわすれてガンガン飮むぞー！","Woohoo, it's a festival! I'm forgetting my usual gloom and tossing back some drinks!",""
"porre innkeeper","male","4","5","18","15","22","15","4","6","6","24","0","20G in advance... Well?","20Gになるが…… とまって行くかね？","It's 20G...... Will you stay here?",""
"crono","male","1","1","3","2","3","2","1","1","1","3","0","Yes","はい","Yes",""
"porre innkeeper","male","3","3","14","10","18","10","3","4","4","17","0","Come again soon.","またいつでも来なさい。 ","Come again any time.",""
"crono","male","1","1","2","3","3","3","1","1","1","2","0","No","いいえ ","No",""
"porre innkeeper","male","2","2","8","8","12","8","2","4","4","10","0","Very well!","ほうほう、そうかい！ ","Ho, ho, I see!",""
"young woman","female","9","10","34","19","36","22","9","12","14","48","0","The person I hate most? My dad, of course.","この世で1番きらいな人？ もちろん父さんよ。","The person I hate most in this world? My father, of course.",""
"little boy","male","8","8","31","15","32","19","8","7","7","29","0","Dad loves money more than he loves me...","お父さん、お金大好きなの…… 僕よりも……。","Dad loves money...... Even more than me......",""
"little girl","female","7","10","45","20","35","20","8","8","10","44","4","Everyone says Daddy's greedy. They're lying, right?","みんなが、うちのパパはヨクバリだって 言うの……","Everyone theth daddy'th greedy...... It'th a lie, right?","The 'little kid lisp'"
"woman","female","10","12","43","25","52","28","5","10","12","52","0","The children are slipping away from us. It's so sad...","子供たちの心がはなれていくのが とってもつらいんです……。","It's very painful that the children's hearts are moving away......",""
"porre mayor","male","27","27","83","44","85","53","15","29","30","113","0","Ha! I run this town! And I'm so rich I don't know what to do with it all!! Give you 10G if you act like a chicken!","ガハハッ！ 俺は、この町の町長。 実は金持ちなんだよ！！ 3回まわってコケコッコーで 10Gやってもいいぞ？","Ga ha hah! I'm this town's mayor. The truth is, I'm rich!! I'll could give you 10G if you'll spin around 3 times and cock-a-doodle-doo, okay?",""
"crono","male","1","1","4","2","4","2","1","2","2","4","0","Yes.","やる","Do it",""
"crono","male","1","1","3","4","7","4","1","3","3","9","0","No.","やらない ","Don't do it",""
"porre mayor","male","2","3","8","4","7","4","1","1","2","7","0","Bo-oring!","つまらん。","Boring.",""
"porre mayor","male","5","6","20","10","13","10","2","5","5","16","0","HAAAHAHA! Here ya go, 10G!","ガハハッ！ そーら10G！","Ga ha hah! There, 10G!",""
"young man","male","16","19","78","40","80","47","15","12","17","78","0","Grandpa & Grandma went to the 1000th Anniversary in Truce. We're keeping an eye on things here!","じいちゃんも、ばあちゃんも、みんな トルースの千年祭へ行っちゃって…… 私たちは、るす番ですよ。","Grandpa, grandma, they've all gone to Truce's Millennial Festival...... We're house-watching.",""
"young woman","female","7","9","25","12","21","13","5","7","9","24","0","I wanna go to the festival, too!","わたしもお祭り行きた～い！","I wanna go to the festival too!",""
"young woman","female","9","14","50","30","55","31","8","15","20","70","0","Some monsters coexist with humans. Like that piano player.","なかよく人とくらすモンスターもいるの。 あのピアノひきさんとかね。","Some monsters live with and get on well with humans. That piano player, for example.",""
"man","male","7","10","37","33","63","37","11","14","22","80","0","Everyone's over at the festival. What fools!","みーんなトルースの千年祭へ 行っちまったよ。 ったく。　うかれやがって……　ゲプッ……","Eeeveryone's gone to Truce's Millennial Festival. I mean, come on, getting damn festive...... urp......",""
"young man","male","22","25","93","45","86","55","18","23","25","92","0","400 years ago a woman named Fiona died trying to save the great forest that once flourished to the north. How sad...","400年前、フィオナという女性が 北のあれた大地を森に変えようとして 死んでいった……悲しい話ですね……。","400 years ago, a woman called Fiona died trying to turn the rough land to the north into forest...... it's a sad story......",""
"shop keeper","male","11","13","44","26","44","27","8","9","12","40","0","The piano man's got talent. Stop by and check...it...out!","うちのピアノひきは腕がいいんだ。 ぜひ聞いていっておくれ！","Our piano player's skilled. Be sure to go listen!",""
