"GOTO" :36713,
"Drunk Dwarven Singer (Tapsters)" :8,
"Male Commoner 4 (Commons)" :8,
"Male Commoner 2 (Commons)" :8,
"Female Dwarf Merchant 2 (Frostback)" :8,
"Female Dwarf Merchant 1 (Frostback)" :8,
"Male Dwarf Merchant 2 (Frostback)" :8,
"Male Dwarf Merchant 1 (Frostback)" :8,
"Returning Hunter" :8,
"Nervous Adventurer" :8,
"Jareb" :8,
"House Soldier Gossiping outside Vault 1" :8,
"Drink Servant (Bann Franderel)" :8,
"Cook 2 (Arl of Denerim Estate)" :8,
"Head Cook (Arl of Denerim Estate)" :8,
"Gambling Guard 1 (Arl of Denerim Estate)" :8,
"Guard 1 (Fort Drakon)" :8,
"Orphanage Rage Demon" :8,
"Rear Door Guard 1 (Arl of Denerim Estate)" :8,
"Nigella" :8,
"Dwarven Commander" :8,
"Male Servant (Highever)" :8,
"Female Servant (Highever)" :8,
"The Spirit of Rage" :8,
"Male Laboratory Mage 1" :8,
"Templar Guarding Door with Bran" :8,
"Junar" :8,
"Female Dalish (Sabrae)" :8,
"Guard near Caravan Merchant" :8,
"Quartermaster Servant" :8,
"Female Villager 2 (Redcliffe)" :8,
"Old Man (Redcliffe Chantry)" :8,
"Old Woman (Redcliffe Chantry)" :8,
"Redcliffe Watchman" :8,
"Andraste Rune" :7,
"Lady Vasilia" :7,
"Shartan" :7,
"Maferath" :7,
"Havard" :7,
"Brona" :7,
"Bitter Scholar" :7,
"Wounded Soldier (Ostagar)" :7,
"Gossiping Soldier 2 (Ostagar)" :7,
"Female Officer (Ostagar)" :7,
"Male Elf Servant 2 (Ostagar)" :7,
"Branka's Journal" :7,
"Female Deshyr 1 (Harrowmont)" :7,
"House Aeducan Female Noble 1" :7,
"Orzammar Guard 1 (Diamond Quarter)" :7,
"Male Dwarf 1 (Tapsters)" :7,
"Orzammar Guard 1 (Commons)" :7,
"Male Commoner 1 (Commons)" :7,
"Female Commoner 3 (Commons)" :7,
"Female Commoner 2 (Commons)" :7,
"Orzammar Guard (Hall of Heroes) 2" :7,
"Orzammar Guard (Hall of Heroes) 1" :7,
"Refugee Elf" :7,
"Chantry Sister (Dane's Refuge)" :7,
"Lothering Brother" :7,
"Gaxkang" :7,
"Fayed the Apprentice" :7,
"Sheth the Apprentice" :7,
"Starrick the Apprentice" :7,
"Nobleman (Coronation)" :7,
"Noblewoman (Coronation)" :7,
"House Soldier Gossiping outside Vault 2" :7,
"Front Door Guard 1 (Arl of Denerim Estate)" :7,
"Alley Guard" :7,
"Maid 1 (Denerim)" :7,
"Rear Door Guard 2 (Arl of Denerim Estate)" :7,
"Female Human Companion" :7,
"Cheering Soldier (Random)" :7,
"Dwarven Soldier 1 (Redcliffe)" :7,
"Quartermaster (Circle Tower)" :7,
"Hall Guard (Highever)" :7,
"Eleni Zinovia" :7,
"Young Female Mage Apprentice (Classroom)" :7,
"Male Human Mage Apprentice (Classroom)" :7,
"Female Dalish Hunter (Sabrae)" :7,
"Guard 3 (Arl of Denerim Estate)" :7,
"Nessa's Mother" :7,
"Orzammar Palace Guard 2" :7,
"Orzammar Palace Guard 1" :7,
"Orzammar Palace Guard" :7,
"Caravan Merchant (Commons)" :7,
"Redcliffe Castle Priest" :7,
"Dalish Hunter (Redcliffe Castle) 3" :7,
"Dalish Hunter (Redcliffe Castle) 2" :7,
"Dalish Hunter (Redcliffe Castle) 1" :7,
"Archon Hessarian" :6,
"Ealisay" :6,
"Dragonling Handler" :6,
"New Haven Shopkeeper" :6,
"Peasant 2 (Strange Wood)" :6,
"Peasant 3 (Strange Wood)" :6,
"Templar 1 (Ostagar)" :6,
"Praying Priest" :6,
"Female Elf Servant 2 (Ostagar)" :6,
"Female Elf Servant (Ostagar)" :6,
"Ash Warrior 3" :6,
"Ash Warrior 1" :6,
"Hired Goon (Caridin's Cross)" :6,
"House Aeducan Female Noble 2" :6,
"Male Dwarf 4 (Tapsters)" :6,
"Male Surface Dwarf 1 (Frostback)" :6,
"Elf Child (with Sarel)" :6,
"Chantry Sister 2 (Dane's Refuge)" :6,
"Cook (Dane's Refuge)" :6,
"Robbed Elven Woman" :6,
"Beyha Joam" :6,
"Tract Seeker" :6,
"Guard (Coronation)" :6,
"House Soldier 1 (Bann Franderel)" :6,
"Denerim City Guard (Back Alley)" :6,
"Templar 2 (Denerim Chantry)" :6,
"Gambling Guard 3 (Arl of Denerim Estate)" :6,
"Front Door Guard 2 (Arl of Denerim Estate)" :6,
"Maid 2 (Denerim)" :6,
"Kylon's Guard" :6,
"Trans Female Companion" :6,
"Male Human Companion" :6,
"Male Elf Companion" :6,
"Male Dwarf Companion" :6,
"Female Elf Companion" :6,
"Female Dwarf Companion" :6,
"Dwarven Soldier 2 (Redcliffe)" :6,
"Templar Spirit" :6,
"Templar Dreamer" :6,
"Mage Apprentice in Mouse Form" :6,
"Squire 1 (Highever)" :6,
"Female Kitchen Servant" :6,
"Female Human Mage Apprentice 2 (dormitory)" :6,
"Young Male Mage Apprentice 2 (Classroom)" :6,
"Lord Jonaley" :6,
"Drunken Elf 3 (Alienage)" :6,
"Male City Elf 3" :6,
"Male City Elf 2" :6,
"Male City Elf 1" :6,
"Female City Elf 3" :6,
"Female City Elf 2" :6,
"Female City Elf 1" :6,
"Adal Helmi" :6,
"Proving Guard" :6,
"Dwarven Guard 3" :6,
"Dwarven Guard 2" :6,
"Dwarven Guard (Commons Entrance)" :6,
"Redcliffe Castle Servant" :6,
"Female Villager 1 (Redcliffe)" :6,
"Boy 2 (Redcliffe Chantry)" :6,
"Girl 2 (Redcliffe Chantry)" :6,
"Male Refugee (Redcliffe)" :6,
"Female Refugee (Redcliffe)" :6,
"Chanter Calenhad" :5,
"Urn of Sacred Ashes" :5,
"Haven Wounded" :5,
"Haven Temple Guard" :5,
"Theoretical Scholar" :5,
"Peasant 1 (Strange Wood)" :5,
"Dying Soldier (Korcari Wilds)" :5,
"Ostagar Soldier 3" :5,
"Male Officer (Ostagar)" :5,
"Golem Registry" :5,
"Male Duster 2" :5,
"Shady Corebit" :5,
"Deshyr 10" :5,
"House Aeducan Guard" :5,
"House Aeducan Male Noble 2" :5,
"House Aeducan Male Noble 1" :5,
"Roshen" :5,
"Male Dwarf 2 (Proving Arena)" :5,
"Male Dwarf 1 (Proving Arena)" :5,
"Orzammar Welcoming Guard" :5,
"Female Surface Dwarf (Frostback)" :5,
"Ghostly Boy (Brecilian)" :5,
"Werewolf 1" :5,
"Recovering Elf" :5,
"Male Refugee (Lothering - Inside)" :5,
"Female Refugee (Lothering - Inside)" :5,
"Loghain Soldier (Dane's Refuge)" :5,
"Templar outside Lothering Chantry" :5,
"Refugee Girl (Lothering)" :5,
"Refugee Boy (Lothering)" :5,
"Bandit on the Road (Lothering)" :5,
"Concerned Farmer 2" :5,
"Maleficarum (Thy Brother's Keeper)" :5,
"On-Duty Guard 2 (AoD Estate)" :5,
"On-Duty Guard 1 (AoD Estate)" :5,
"Kennel Guard (AoD estate)" :5,
"Captain (Arl of Denerim Estate)" :5,
"Barracks Guard 2 (AoD estate)" :5,
"Barracks Guard 1 (AoD estate)" :5,
"Armory Guard (Arl of Denerim Estate)" :5,
"Loghain Soldier (Gnawed Noble Tavern)" :5,
"Scullion (Denerim Estate)" :5,
"Chanter Rosamund" :5,
"Bouncer 2 (The Pearl)" :5,
"Bouncer (The Pearl)" :5,
"Panicked Male" :5,
"Panicked Female" :5,
"Eamon's Bodyguard 3" :5,
"Eamon's Bodyguard 2" :5,
"Cursed Dreamer" :5,
"Stanley" :5,
"Female Human Mage Apprentice 3" :5,
"Cook (Arl of Denerim Estate)" :5,
"Elf Bridesmaid 1" :5,
"Elf Laborer" :5,
"Orzammar Palace Cook" :5,
"Shopkeeper (Beraht's)" :5,
"Werewolf (Redcliffe Castle)" :5,
"Templar (Redcliffe Castle)" :5,
"Dwarven Soldier (Redcliffe Castle) 3" :5,
"Dwarven Soldier (Redcliffe Castle) 2" :5,
"Dwarven Soldier (Redcliffe Castle) 1" :5,
"Old Woman 2 (Redcliffe Chantry)" :5,
"Ostagar Mage" :5,
"Cult Leader" :4,
"Eager Cultist" :4,
"Overheard Cultist" :4,
"Crude Torturer" :4,
"Haven Funeral" :4,
"Chatting Villagers" :4,
"Dwarven Rebel (Forest Incline)" :4,
"Bandit Leader (Twisted Path)" :4,
"Mage (Roadside)" :4,
"House Dace Mercenary 3" :4,
"House Dace Mercenary 2" :4,
"House Dace Mercenary 1" :4,
"Dust Town Thug 1" :4,
"Orzammar Guard (Assembly)" :4,
"House Harrowmont Guard" :4,
"House Harrowmont Male Noble 2" :4,
"House Harrowmont Male Noble 1" :4,
"House Harrowmont Female Noble 3" :4,
"House Harrowmont Butler" :4,
"Harrowmont Fanatic" :4,
"Bhelen Fanatic" :4,
"Male Dwarf 3 (Proving Arena)" :4,
"Female Dwarf 1 (Proving Arena)" :4,
"Male Dwarf 3 (Tapsters)" :4,
"Male Dwarf 2 (Tapsters)" :4,
"Female Dwarf 3 (Tapsters)" :4,
"Pro-Harrowmont Noble" :4,
"Ghostly Elf Woman (Brecilian)" :4,
"Werewolf Sparring 2" :4,
"Werewolf Sparring 1" :4,
"Male Hunter (with Sarel)" :4,
"Elf Nurse" :4,
"Attacking Refugee" :4,
"Chasind Man" :4,
"Chasind Woman" :4,
"Accusing Farmer" :4,
"Concerned Farmer 1" :4,
"Guard Contact (New Ground)" :4,
"Irenia" :4,
"Larana" :4,
"Tania" :4,
"Sara" :4,
"Varel Baern" :4,
"Patter Gritch" :4,
"Dernal Garrison" :4,
"Ghost Boy" :4,
"Eerie Elf Child Wisp 1" :4,
"Eerie Elf Child" :4,
"Grand Cleric Elemena" :4,
"Howe's Gatekeeper" :4,
"Cook 1 (Arl of Denerim Estate)" :4,
"Gambling Guard 2 (Arl of Denerim Estate)" :4,
"Carpenter" :4,
"Guard 2 (Fort Drakon)" :4,
"Tevinter Supervisor" :4,
"Hospice Guard 2" :4,
"Hospice Guard 1" :4,
"Amethyne" :4,
"Market Defender" :4,
